Sample 4,,
Wavelength (nm),Intensity (a.u.),
220,274.0235596,
220.9299927,279.4841309,
222.0299988,287.3125916,
222.9600067,302.9334106,
224.0599976,329.0980225,
225,356.5516357,
225.9299927,374.8504028,
227.0299988,388.2048645,
227.9600067,380.4704285,
229.0599976,377.2307129,
230,372.844574,
230.9299927,368.331665,
232.0299988,373.1070251,
232.9600067,393.7391663,
234.0599976,399.8857727,
235,399.1112976,
235.9299927,391.4248352,
237.0299988,373.0665588,
237.9600067,361.5073547,
239.0599976,344.408783,
240,331.7875366,
240.9299927,311.0651245,
242.0299988,299.4992981,
242.9600067,292.5430298,
244.0599976,288.6478271,
245,283.9023438,
245.9299927,276.6253357,
247.0299988,265.9815063,
247.9600067,258.7352295,
249.0599976,247.4690094,
250,243.0917664,
250.9299927,239.6006927,
252.0299988,237.7319946,
252.9600067,232.5887299,
254.0599976,226.0609131,
255,230.1083832,
255.9299927,234.1787109,
257.0299988,240.5198669,
257.9599915,238.6813202,
259.0599976,230.4946899,
260,223.0112305,
261.0700073,211.3555908,
262,203.4519653,
263.0700073,197.7005615,
264,198.4977417,
265.0700073,197.4746552,
266,199.7011566,
267.0700073,206.3401489,
268,213.7354736,
269.0700073,223.5401917,
270,234.4377441,
270.9299927,246.436264,
272.0299988,265.2180176,
272.9599915,280.9596252,
274.0599976,298.3199463,
275,307.1353149,
275.9299927,310.1643677,
277.0299988,307.8822021,
277.9599915,300.3155518,
279.0599976,295.7941895,
280,302.9906921,
280.9299927,311.7050476,
282.0299988,333.4988098,
282.9599915,352.1459351,
284.0599976,367.9424133,
285,366.9542542,
285.9299927,343.9205322,
287.0299988,285.0531311,
287.9599915,226.4259186,
289.0599976,163.2037048,
290,113.5979843,
291.0700073,81.78042603,
292,66.93453217,
293.0700073,57.30542374,
294,53.64558792,
295.0700073,51.18482208,
296,49.74522018,
297.0700073,49.76306915,
298,50.74288559,
299.0700073,52.83120346,
300,55.96599197,
300.9299927,60.1568985,
302.0299988,65.51332092,
302.9599915,69.63114929,
304.0599976,73.73167419,
305,80.89266968,
305.9299927,85.13115692,
307.0299988,86.95104218,
307.9599915,87.05810547,
309.0599976,86.55846405,
310,88.01185608,
311.0700073,88.70204163,
312,90.23271942,
313.0700073,93.18041992,
314,97.09724426,
315.0700073,102.1025467,
316,110.3027496,
317.0700073,119.2642593,
318,128.0624695,
319.0700073,135.6159821,
320,141.9062805,
321.0700073,144.7213287,
322,144.9341278,
323.0700073,143.3758087,
324,139.4309692,
325.0700073,134.6330566,
326,131.8740692,
327.0700073,129.2713623,
328,129.9746246,
329.0700073,131.317337,
330,135.001358,
330.9299927,138.3162994,
332.0299988,142.8364868,
332.9599915,145.0237274,
334.0599976,151.9505768,
335,158.7797394,
335.9299927,164.9511108,
337.0299988,173.5114746,
337.9599915,181.8063049,
339.0599976,187.0466309,
340,189.6251068,
341.0700073,191.0596466,
342,189.0596619,
343.0700073,181.7080536,
344,178.3443298,
345.0700073,171.1503143,
346,165.6360016,
347.0700073,161.2132568,
348,162.2524567,
349.0700073,161.4025726,
350,162.778717,
351.0700073,166.4582214,
352,171.5779266,
353.0700073,178.1880341,
354,183.047287,
355.0700073,188.1638947,
356,190.2441406,
357.0700073,187.307785,
358,178.6078033,
359.0700073,168.4933319,
360,158.1253204,
361.0700073,144.0199432,
362,129.1907806,
363.0700073,113.6347351,
364,100.9941635,
365.0700073,87.83360291,
366,78.22783661,
367.0700073,67.92139435,
368,59.52875519,
369.0700073,52.62908554,
370,45.51288223,
371.0599976,39.1137352,
371.9599915,36.35608292,
373.0299988,32.52931595,
373.9299927,29.21004486,
375,26.44765854,
376.0599976,23.87148285,
376.9599915,22.60275269,
378.0299988,20.35461044,
378.9299927,18.55483818,
380,16.75123215,
381.0700073,15.73841858,
