Sample 5,,
Wavelength (nm),Intensity (a.u.),
220,1.363016725,
220.9299927,0.7928118706,
222.0299988,0.4347826242,
222.9600067,1.042851686,
224.0599976,2.077613831,
225,7.608050346,
225.9299927,13.51460075,
227.0299988,20.24903297,
227.9600067,23.73106384,
229.0599976,26.28216934,
230,25.85971069,
230.9299927,23.36656952,
232.0299988,16.23841095,
232.9600067,9.929279327,
234.0599976,4.441960335,
235,1.236676216,
235.9299927,0.5596795082,
237.0299988,0.6970973015,
237.9600067,0.407771647,
239.0599976,0.364808172,
240,0.4790091515,
240.9299927,0.4352557063,
242.0299988,0.2611576021,
242.9600067,0.2705361545,
244.0599976,0.2721635699,
245,0.2166424841,
245.9299927,0.300627172,
247.0299988,0.3655787408,
247.9600067,0.2722844779,
249.0599976,0.2553002536,
250,0.269607842,
250.9299927,0.2945034802,
252.0299988,0.1680210084,
252.9600067,0.2390057296,
254.0599976,0.3311916292,
255,0.267446965,
255.9299927,0.2311007082,
257.0299988,0.1354004443,
257.9599915,0.270121634,
259.0599976,0.2243719846,
260,0.2694918513,
261.0700073,0.2857755125,
262,0.1195195317,
263.0700073,0.1170611307,
264,0.2008256167,
265.0700073,0.2616630793,
266,0.1328080148,
267.0700073,0.165989697,
268,0.1523420364,
269.0700073,0.1435907781,
270,0.1291416138,
270.9299927,0.1386278868,
272.0299988,0.174469769,
272.9599915,0.1855571866,
274.0599976,0.1116356179,
275,0.1153431088,
275.9299927,0.1364512444,
277.0299988,0.1074939892,
277.9599915,0.1216505542,
279.0599976,0.1621170938,
280,0.1175928786,
280.9299927,0.09122589231,
282.0299988,0.1542773396,
282.9599915,0.2044705451,
284.0599976,0.09430996329,
285,0.2564261854,
285.9299927,0.1713315547,
287.0299988,0.1518287361,
287.9599915,0.05690918118,
289.0599976,0.1672946811,
290,0.1492349654,
291.0700073,0.1524426937,
292,0.1086889058,
293.0700073,0.1129058972,
294,0.09674490988,
295.0700073,0.06965000927,
296,0.0783989504,
297.0700073,0.1223426536,
298,0.1151852533,
299.0700073,0.1139239445,
300,0.1050834134,
300.9299927,0.1325531602,
302.0299988,0.141986385,
302.9599915,0.1137750596,
304.0599976,0.05332366377,
305,0.08620503545,
305.9299927,0.09697857499,
307.0299988,0.1140629277,
307.9599915,0.195222199,
309.0599976,0.1637481898,
310,0.1408762485,
311.0700073,0.1053740755,
312,0.08637069911,
313.0700073,0.1729405671,
314,0.06065016985,
315.0700073,0.03918546811,
316,0.139534235,
317.0700073,0.08859619498,
318,0.09805523604,
319.0700073,-0.04728132114,
320,0.2182180882,
321.0700073,0.0752388835,
322,0.1241889,
323.0700073,0.1582619995,
324,0.09770122916,
325.0700073,0.2114850432,
326,0,
327.0700073,0.2406656146,
328,-0.0165702831,
329.0700073,0.113773033,
330,0.04870920628,
330.9299927,0.1337412447,
332.0299988,-0.04832474142,
332.9599915,0.04750518501,
334.0599976,0.1129414812,
335,0.04726493731,
335.9299927,0.03194990009,
337.0299988,0.1860056072,
337.9599915,0.04962368682,
339.0599976,0.212404415,
340,-0.01661654189,
341.0700073,0.178870514,
342,0.111801438,
343.0700073,0.2107862383,
344,0.07379964739,
345.0700073,0.04675956443,
346,0,
347.0700073,0.1071483269,
348,0.1735864431,
349.0700073,0.06335529685,
350,0.04489002004,
351.0700073,0.1692166626,
352,0.2053950429,
353.0700073,0.01213459671,
354,0.1179857478,
355.0700073,0.1464220732,
356,0.2074360996,
357.0700073,0.05551237985,
358,0.1618719548,
359.0700073,0.1712091416,
360,0.1095890403,
361.0700073,0.09490217268,
362,0.04331516847,
363.0700073,0.0804483667,
364,0.06218969822,
365.0700073,0.05696772039,
366,0.07993604988,
367.0700073,0.1188114136,
368,0.1090314388,
369.0700073,0.0735122934,
370,0.05622209981,
371.0599976,0.1502710283,
371.9599915,0.1782213449,
373.0299988,-0.0519647859,
373.9299927,0.08649437875,
375,0.110663332,
376.0599976,0.008866270073,
376.9599915,0.01780119538,
378.0299988,0.04504098743,
378.9299927,0.07259000838,
380,-0.01846858487,
381.0700073,0,
382,0.1715064645,
383.0700073,0.05172547325,
384,0.02651933767,
385.0700073,0.123157762,
386,0.02488490567,
387.0700073,0.04679968208,
388,0.0157557223,
389.0700073,0.1684958637,
390,0.04338206351,
391.0700073,0.06879093498,
392,0.09302263707,
393.0700073,0.119905673,
394,0.0735117197,
395.0700073,0.04484774172,
396,0.07990701497,
397.0700073,0.1783246398,
398,0.1425025016,
399.0700073,0.1469453722,
400,0.1427439749,
401.0599976,0.2094736099,
401.9599915,0.2455111295,
403.0299988,0.4601259232,
403.9299927,0.4530442655,
405,0.3651840985,
406.0599976,0.3969932795,
406.9599915,0.3422290981,
408.0299988,0.2168353498,
408.9299927,0.1399321854,
410,0.1491463035,
411.0700073,0.0370997861,
412,0.0370073393,
413.0700073,0.04679347575,
414,0.07225754857,
415.0700073,0.05595429987,
416,0.09545218199,
417.0700073,0.004148705862,
418,0.04559686035,
419.0700073,0.01036910526,
420,0.0196321588,
421.0599976,0.009367037565,
421.9599915,-0.01537817996,
423.0299988,0.01244121511,
423.9299927,-0.01261535194,
425,0.01389907207,
426.0599976,0.01832817681,
426.9599915,0.03230130672,
428.0299988,0.01221786905,
428.9299927,0.05979813635,
430,0.06045322493,
431.0599976,0.05983187258,
431.9599915,0.03423075005,
433.0299988,0.05561925843,
433.9299927,0.03836693242,
435,0.03302019089,
436.0599976,0.01228144206,
436.9599915,0.03220585734,
438.0299988,0.09922406822,
438.9299927,0.06769513339,
440,0.07494536787,
441.0599976,0.02199212089,
441.9599915,0.04385243729,
443.0299988,0.0435148403,
443.9299927,0.04282899573,
445,0.04982631654,
446.0599976,0.04288869724,
446.9599915,0.05753553659,
448.0299988,0.02620172314,
448.9299927,0.02361553907,
450,0.03807525337,
451.0599976,0.03888948634,
451.9599915,0.09013231099,

Sample 5,
Sample 5
Collection Time: 31/05/2023 3:12:06 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         452.00
Em. Wavelength (nm)               462.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 31/05/2023 3:03:02 PM
Method Modifications:
Overlayed Graphs Changed: 31/05/2023 3:07:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 31/05/2023 3:07:04 PM, Old: 350.00, New: 358.00
Emission Wavelength Changed: 31/05/2023 3:07:04 PM, Old: 400.00, New: 368.00
Stop Wavelength Changed: 31/05/2023 3:07:33 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 31/05/2023 3:10:49 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 31/05/2023 3:10:49 PM, Old: 450.00, New: 462.00
User Delta Increment Changed: 31/05/2023 3:10:49 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 31/05/2023 3:10:49 PM, Old: 358.00, New: 220.00
Emission Wavelength Changed: 31/05/2023 3:10:49 PM, Old: 368.00, New: 462.00
Stop Wavelength Changed: 31/05/2023 3:10:49 PM, Old: 700.00, New: 452.00
End Method Modifications

