Sample 4,,
Wavelength (nm),Intensity (a.u.),
220,297.4298096,
220.9299927,302.7935791,
222.0299988,312.3391724,
222.9600067,322.3456421,
224.0599976,334.8302002,
225,348.5083923,
225.9299927,351.8099365,
227.0299988,346.3682251,
227.9600067,335.7199707,
229.0599976,321.6767883,
230,311.0023499,
230.9299927,300.6895447,
232.0299988,288.4615479,
232.9600067,285.2079163,
234.0599976,288.3930054,
235,288.637146,
235.9299927,296.5401611,
237.0299988,306.7548523,
237.9600067,323.4476318,
239.0599976,333.8504333,
240,333.7340698,
240.9299927,327.9151306,
242.0299988,324.2561951,
242.9600067,319.050354,
244.0599976,315.9889526,
245,309.3082886,
245.9299927,301.4784851,
247.0299988,291.0713501,
247.9600067,279.8427734,
249.0599976,272.0665588,
250,266.1660461,
250.9299927,265.9319458,
252.0299988,265.387207,
252.9600067,261.8975525,
254.0599976,257.5229187,
255,259.2044983,
255.9299927,267.4542542,
257.0299988,273.10495,
257.9599915,273.2221375,
259.0599976,263.8400879,
260,257.2129517,
261.0700073,249.1108093,
262,238.3847656,
263.0700073,235.5382996,
264,233.7934113,
265.0700073,232.1531982,
266,233.6237335,
267.0700073,240.0047913,
268,246.4310608,
269.0700073,254.5709839,
270,262.6503601,
270.9299927,268.4352722,
272.0299988,277.2789001,
272.9599915,284.8231201,
274.0599976,295.2447205,
275,304.8934631,
275.9299927,306.4089966,
277.0299988,308.7626038,
277.9599915,306.6642456,
279.0599976,306.9300537,
280,307.2804871,
280.9299927,306.8063965,
282.0299988,303.1821899,
282.9599915,298.1891174,
284.0599976,294.7235107,
285,287.4722595,
285.9299927,274.3565674,
287.0299988,243.059433,
287.9599915,209.3657837,
289.0599976,169.9105682,
290,136.2136078,
291.0700073,107.3178101,
292,90.72190094,
293.0700073,78.33635712,
294,73.78244781,
295.0700073,70.0962677,
296,67.66723633,
297.0700073,67.11938477,
298,68.07836151,
299.0700073,70.85770416,
300,73.55026245,
300.9299927,78.68916321,
302.0299988,85.47451019,
302.9599915,92.66055298,
304.0599976,97.8727951,
305,106.9153137,
305.9299927,112.2634811,
307.0299988,116.2590179,
307.9599915,117.0108719,
309.0599976,118.1437531,
310,116.1557159,
311.0700073,118.091835,
312,120.437645,
313.0700073,122.2341843,
314,125.7830734,
315.0700073,132.8187866,
316,140.5909271,
317.0700073,151.7729797,
318,159.5393219,
319.0700073,170.4147644,
320,180.3579407,
321.0700073,185.7928162,
322,185.6564636,
323.0700073,184.7888489,
324,182.012207,
325.0700073,173.9733276,
326,168.4115906,
327.0700073,166.4417114,
328,165.6720886,
329.0700073,168.6332703,
330,172.0622253,
330.9299927,175.7808075,
332.0299988,181.0351563,
332.9599915,184.4888916,
334.0599976,189.5107574,
335,198.6278534,
335.9299927,206.5574188,
337.0299988,217.8494415,
337.9599915,224.5823822,
339.0599976,230.4424744,
340,232.244812,
341.0700073,232.0492401,
342,226.1896057,
343.0700073,220.9314117,
344,215.7014465,
345.0700073,208.2014008,
346,201.1708679,
347.0700073,198.3983765,
348,196.5514679,
349.0700073,197.6181641,
350,199.5201569,
351.0700073,205.5860291,
352,210.3053894,
353.0700073,220.03125,
354,227.2555542,
355.0700073,229.6112823,
356,232.2068329,
357.0700073,226.8264771,
358,219.1810303,
359.0700073,206.4127502,
360,191.8339844,
361.0700073,173.3349152,
362,157.8816986,
363.0700073,139.550354,
364,124.9837189,
365.0700073,109.4587784,
366,98.69931793,
367.0700073,85.1980896,
368,76.03855896,
369.0700073,66.11354828,
370,58.29621124,
371.0599976,51.22417831,
371.9599915,46.50992203,
373.0299988,41.8163681,
373.9299927,38.1114502,
375,34.81355286,
376.0599976,31.5659523,
376.9599915,29.56711769,
378.0299988,27.09869385,
378.9299927,25.42078781,
380,22.87641335,
381.0700073,21.30643463,
382,19.74946404,
383.0700073,17.92811775,
384,16.13910103,
385.0700073,13.92094994,
386,12.2969265,
387.0700073,10.95836449,
388,9.77050972,
389.0700073,8.127644539,
390,7.137753963,
391.0700073,6.26774025,
392,5.693353176,
393.0700073,5.158281326,
394,4.859403133,
395.0700073,4.405774593,
396,3.963521242,
397.0700073,3.672970772,
398,3.559044361,
399.0700073,3.082502127,
400,2.845755816,
401.0599976,2.657450438,
401.9599915,2.419448376,
403.0299988,2.221823454,
403.9299927,1.979500532,
405,1.675885081,
406.0599976,1.373354316,
406.9599915,1.080226898,
408.0299988,0.9739667773,
408.9299927,0.824249506,
410,0.6720430255,
