Sample 10,,
Wavelength (nm),Intensity (a.u.),
220,39.61702347,
220.9299927,39.02439117,
222.0299988,40.45422363,
222.9600067,43.62675095,
224.0599976,50.60288239,
225,59.11188507,
225.9299927,64.76099396,
227.0299988,69.66162109,
227.9600067,72.15982056,
229.0599976,75.21186066,
230,78.50695801,
230.9299927,84.69194031,
232.0299988,95.69992828,
232.9600067,107.5389023,
234.0599976,120.0309067,
235,127.5742493,
235.9299927,132.217453,
237.0299988,134.4962006,
237.9600067,137.2233429,
239.0599976,136.6809998,
240,131.9466095,
240.9299927,128.362442,
242.0299988,123.9119034,
242.9600067,122.71875,
244.0599976,123.5733337,
245,124.7934799,
245.9299927,124.5129547,
247.0299988,122.9438553,
247.9600067,120.5922165,
249.0599976,118.0065308,
250,115.7993164,
250.9299927,114.9976196,
252.0299988,113.8050613,
252.9600067,111.7740631,
254.0599976,109.9492493,
255,112.2229156,
255.9299927,115.4347839,
257.0299988,119.7033997,
257.9599915,119.2209778,
259.0599976,116.701088,
260,113.169342,
261.0700073,109.694519,
262,106.9612885,
263.0700073,105.537117,
264,106.1317825,
265.0700073,105.6342087,
266,106.4932327,
267.0700073,109.4548721,
268,113.0020905,
269.0700073,118.0002365,
270,123.2712097,
270.9299927,130.1719971,
272.0299988,141.3422241,
272.9599915,151.0545807,
274.0599976,164.251358,
275,175.9937744,
275.9299927,183.2568665,
277.0299988,183.665863,
277.9599915,181.6790161,
279.0599976,179.7172241,
280,180.966507,
280.9299927,182.2545776,
282.0299988,191.1617279,
282.9599915,203.2959595,
284.0599976,217.9545135,
285,229.5118256,
285.9299927,229.8590088,
287.0299988,207.60849,
287.9599915,178.4393616,
289.0599976,138.3951874,
290,100.5955353,
291.0700073,69.25536346,
292,51.51361847,
293.0700073,40.64000702,
294,35.86673355,
295.0700073,32.47127151,
296,30.97519493,
297.0700073,30.21326828,
298,30.24312973,
299.0700073,30.73402786,
300,32.60389709,
300.9299927,34.83907318,
302.0299988,37.84857941,
302.9599915,40.17616272,
304.0599976,43.67005539,
305,47.42998505,
305.9299927,50.63640594,
307.0299988,53.11036301,
307.9599915,53.8674202,
309.0599976,54.07421875,
310,53.73894119,
311.0700073,53.98521042,
312,54.68561172,
313.0700073,56.17590332,
314,58.08498001,
315.0700073,61.37373352,
316,65.03907013,
317.0700073,70.77600861,
318,74.77339935,
319.0700073,80.8928833,
320,86.46029663,
321.0700073,90.65320587,
322,92.27914429,
323.0700073,91.16168976,
324,89.38066101,
325.0700073,86.45277405,
326,83.68213654,
327.0700073,82.35864258,
328,81.99524689,
329.0700073,81.79354858,
330,82.82779694,
330.9299927,83.92495728,
332.0299988,86.28488922,
332.9599915,88.04311371,
334.0599976,89.94039154,
335,93.43673706,
335.9299927,97.61065674,
337.0299988,104.6902313,
337.9599915,109.3552322,
339.0599976,113.8790588,
340,118.5059967,
341.0700073,121.2143631,
342,121.7759476,
343.0700073,119.8884583,
344,117.003891,
345.0700073,112.6754532,
346,108.9579239,
347.0700073,105.1929245,
348,103.2070694,
349.0700073,102.9458542,
350,102.6168137,
351.0700073,103.3360748,
352,105.3985062,
353.0700073,108.1693954,
354,111.9708633,
355.0700073,115.0993271,
356,117.1477737,
357.0700073,119.3015518,
358,118.7382431,
359.0700073,115.3915329,
360,110.8464584,
361.0700073,103.1671066,
362,95.66893768,
363.0700073,85.72602844,
364,76.01028442,
365.0700073,66.72270966,
366,60.03455734,
367.0700073,51.91373825,
368,46.07112503,
369.0700073,39.72563553,
370,34.18962097,
371.0599976,30.15272522,
371.9599915,27.14806557,
373.0299988,24.11881447,
373.9299927,21.90262222,
375,19.67464638,
376.0599976,17.64350319,
376.9599915,16.30387497,
378.0299988,14.87470913,
378.9299927,13.68155098,
380,12.51341534,
381.0700073,11.35024071,
382,10.56632233,
383.0700073,9.535786629,
384,8.565357208,
385.0700073,7.682015419,
386,6.769726276,
387.0700073,5.992313862,
388,5.436215401,
389.0700073,4.746835232,
390,4.120490551,
391.0700073,3.620313168,
392,3.331296206,
393.0700073,2.952048779,
394,2.715646982,
395.0700073,2.443989038,
396,2.231571913,
397.0700073,2.021791458,
398,1.905035496,
399.0700073,1.736864924,
400,1.579060316,
401.0599976,1.484886527,
401.9599915,1.338789821,
403.0299988,1.174201012,
403.9299927,1.174401164,
405,0.9681300521,
406.0599976,0.8364083767,
406.9599915,0.7517706752,
408.0299988,0.6361164451,
408.9299927,0.5833075643,
410,0.4792145491,
411.0700073,0.405056715,
412,0.3481003642,
413.0700073,0.3152416945,
414,0.2676689327,
415.0700073,0.2162496448,
416,0.1992339492,
417.0700073,0.1956461966,
418,0.1572718769,
419.0700073,0.1362635046,
420,0.1257267296,
421.0599976,0.1056921631,
421.9599915,0.1053381562,
423.0299988,0.1211829707,
423.9299927,0.1076638848,
425,0.1081193537,
426.0599976,0.1077398434,
426.9599915,0.08530855179,
428.0299988,0.09971381724,
428.9299927,0.163616091,
430,0.208681494,
431.0599976,0.2876650691,
431.9599915,0.3375050426,
433.0299988,0.3935108483,
433.9299927,0.4443480074,
435,0.4217548072,
436.0599976,0.3688907027,
436.9599915,0.3011268377,
438.0299988,0.2212497145,
438.9299927,0.1793761551,
440,0.138087824,
441.0599976,0.1143461317,
441.9599915,0.1032013148,
443.0299988,0.08058136702,
443.9299927,0.08072891086,
445,0.05873080716,
446.0599976,0.08337239921,
446.9599915,0.08424661309,
448.0299988,0.06767904758,
448.9299927,0.07034760714,
450,0.08556324244,
451.0599976,0.07076547295,
451.9599915,0.0793710947,
453.0299988,0.08408871293,
453.9299927,0.06908415258,
455,0.08233005553,
456.0599976,0.08220349997,
456.9599915,0.0809879452,
458.0299988,0.05355053023,
458.9299927,0.07704474032,
460,0.07929396629,
461.0599976,0.05719266832,
461.9599915,0.08639546484,
463.0299988,0.08944176883,
463.9299927,0.1049402952,
465,0.1070043147,
466.0599976,0.1138964891,
466.9599915,0.1236196831,
468.0299988,0.1212118044,
468.9299927,0.1063422561,
470,0.0873105824,
471.0400085,0.1167698354,
471.9400024,0.1147739962,
472.980011,0.1462225616,
474.019989,0.1409451514,
475.0700073,0.1359695643,
475.9700012,0.1507194638,
477.0100098,0.1366122216,
478.0499878,0.123194389,
478.9500122,0.1195937619,
480,0.08383464813,
481.0599976,0.06343775243,
481.9599915,0.03630010411,
483.0299988,0.03637589514,
483.9299927,0.03688423336,
485,0.03613505512,
486.0599976,0.02403980307,
486.9599915,0.0313523747,
488.0299988,0.03610623255,
488.9299927,0.06501181424,
490,0.06492156535,

Sample 10,
Sample 10
Collection Time: 22/08/2023 12:18:19 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         490.00
Em. Wavelength (nm)               500.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 22/08/2023 11:38:10 AM
Method Modifications:
Overlayed Graphs Changed: 22/08/2023 11:47:15 AM, Old:OFF, New:ON
Scan Control Changed: 22/08/2023 11:47:15 AM, Old:Medium, New:Slow
Ave. time (s): Changed: 22/08/2023 11:47:15 AM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 600.00, New: 750.00
Excitation Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 340.00, New: 378.00
Emission Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 350.00, New: 390.00
PMT Volts Changed: 22/08/2023 11:52:22 AM, Old:600, New:800
Emission PMT (V): Changed: 22/08/2023 11:52:22 AM, Old: 600, New: 800
Scan mode: Changed: 22/08/2023 11:59:48 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 22/08/2023 11:59:48 AM, Old: 450.00, New: 483.00
User Delta Increment Changed: 22/08/2023 11:59:48 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 378.00, New: 220.00
Emission Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 390.00, New: 483.00
Stop Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 750.00, New: 373.00
Stop Wavelength Changed: 22/08/2023 12:02:41 PM, Old: 373.00, New: 473.00
PMT Volts Changed: 22/08/2023 12:08:26 PM, Old:800, New:600
Emission PMT (V): Changed: 22/08/2023 12:08:26 PM, Old: 800, New: 600
Scan mode: Changed: 22/08/2023 12:08:56 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 220.00, New: 325.00
Emission Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 483.00, New: 335.00
Stop Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 473.00, New: 750.00
Scan mode: Changed: 22/08/2023 12:18:15 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 22/08/2023 12:18:15 PM, Old: 483.00, New: 500.00
Excitation Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 325.00, New: 220.00
Emission Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 335.00, New: 500.00
Stop Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 750.00, New: 490.00
End Method Modifications

