Sample 31,,
Wavelength (nm),Intensity (a.u.),
220,4.691754818,
220.9299927,4.396705627,
222.0299988,3.888875961,
222.9600067,2.884499788,
224.0599976,2.178683758,
225,2.120426893,
225.9299927,1.873755693,
227.0299988,1.58433938,
227.9600067,1.48443985,
229.0599976,1.025576472,
230,1.249557137,
230.9299927,0.807502389,
232.0299988,1.251456022,
232.9600067,1.359495521,
234.0599976,1.337618709,
235,1.447927713,
235.9299927,1.41233182,
237.0299988,1.317921281,
237.9600067,1.392242074,
239.0599976,1.388576865,
240,1.326181769,
240.9299927,1.048112392,
242.0299988,1.075876832,
242.9600067,1.092770934,
244.0599976,0.9838464856,
245,1.024976492,
245.9299927,0.9900730848,
247.0299988,0.9316203594,
247.9600067,0.8777770996,
249.0599976,0.9304559827,
250,1.217528224,
250.9299927,1.150361657,
252.0299988,1.13512826,
252.9600067,1.108692169,
254.0599976,1.150878429,
255,1.279433608,
255.9299927,1.182374835,
257.0299988,1.039224625,
257.9599915,1.165892839,
259.0599976,0.9726951718,
260,0.9836186767,
261.0700073,1.015794396,
262,0.979806304,
263.0700073,1.339172244,
264,1.137667179,
265.0700073,1.239323735,
266,1.165293097,
267.0700073,1.012815714,
268,1.079873323,
269.0700073,1.078631043,
270,1.046666741,
270.9299927,1.252191424,
272.0299988,0.956743598,
272.9599915,1.135607481,
274.0599976,1.141499162,
275,1.14993751,
275.9299927,1.241879702,
277.0299988,1.260552645,
277.9599915,1.227104902,
279.0599976,1.13579917,
280,0.9962923527,
280.9299927,0.9780299067,
282.0299988,1.029022098,
282.9599915,1.133258939,
284.0599976,1.085909128,
285,1.210766196,
285.9299927,1.152684093,
287.0299988,1.227465749,
287.9599915,1.235744119,
289.0599976,1.189499974,
290,1.507475495,
291.0700073,2.291525364,
292,5.362220287,
293.0700073,10.54980659,
294,18.86486816,
295.0700073,33.80457306,
296,48.98736191,
297.0700073,72.2143631,
298,90.55091858,
299.0700073,112.3147812,
300,135.5507202,
300.9299927,152.9092407,
302.0299988,167.0593719,
302.9599915,176.3048553,
304.0599976,183.8009491,
305,191.793335,
305.9299927,197.6205139,
307.0299988,203.2338867,
307.9599915,206.1481476,
309.0599976,206.3569641,
310,202.5019379,
311.0700073,197.5494995,
312,192.0427094,
313.0700073,188.4747772,
314,182.6772614,
315.0700073,176.0022888,
316,171.9982147,
317.0700073,165.3530884,
318,161.0425873,
319.0700073,161.5738983,
320,163.7736206,
321.0700073,166.7566986,
322,168.6402283,
323.0700073,169.2272644,
324,167.87323,
325.0700073,161.8219452,
326,156.5860748,
327.0700073,147.6624603,
328,138.2272186,
329.0700073,127.8019867,
330,117.5637665,
330.9299927,108.6010437,
332.0299988,98.8554306,
332.9599915,91.34590912,
334.0599976,83.54579163,
335,77.7244873,
335.9299927,71.78832245,
337.0299988,66.45662689,
337.9599915,63.48309708,
339.0599976,60.86923981,
340,58.82158279,
341.0700073,56.37666702,
342,55.4176178,
343.0700073,53.40266418,
344,51.76967239,
345.0700073,50.94393921,
346,49.50308609,
347.0700073,48.53335953,
348,48.37744522,
349.0700073,48.1761055,
350,48.39072418,
