Sample 32,,
Wavelength (nm),Intensity (a.u.),
220,0.3508212268,
220.9299927,0.1121201962,
222.0299988,0.3547021747,
222.9600067,0.2234046906,
224.0599976,0.37414065,
225,0.1137087271,
225.9299927,0.2168764621,
227.0299988,0.1367098391,
227.9600067,0.2817389965,
229.0599976,0.1274903417,
230,0.1184755564,
230.9299927,0.09078025073,
232.0299988,0.08813581616,
232.9600067,0.2539958954,
234.0599976,0.1167700142,
235,0.2530561388,
235.9299927,0.03122092597,
237.0299988,-0.02312218957,
237.9600067,0.13195467,
239.0599976,0.03973106667,
240,0.08644211292,
240.9299927,-0.009629396722,
242.0299988,0.07873648405,
242.9600067,0.0376595147,
244.0599976,0.09913700819,
245,0.07224568725,
245.9299927,0.04917829484,
247.0299988,0.02485269494,
247.9600067,0.05437596142,
249.0599976,0.1049626321,
250,0.1231833622,
250.9299927,0.04324735701,
252.0299988,0.05828600004,
252.9600067,0.1182826757,
254.0599976,0.07188788056,
255,0.111939542,
255.9299927,0.03379800543,
257.0299988,0.08562980592,
257.9599915,0.01634998806,
259.0599976,0.05321540311,
260,0.04836257175,
261.0700073,0.0426742807,
262,0.08362777531,
263.0700073,0.0457162708,
264,0.01944641024,
265.0700073,0.0884295851,
266,0.1671062708,
267.0700073,0.09255033731,
268,0.07244518399,
269.0700073,0.1350796074,
270,0.04754266143,
270.9299927,0.09951397777,
272.0299988,0.03975593299,
272.9599915,0.07167125493,
274.0599976,0.05619718879,
275,0.03918362409,
275.9299927,0.06580643356,
277.0299988,0.0816796273,
277.9599915,0.0725409463,
279.0599976,0.06163982302,
280,0.04142459109,
280.9299927,0.03300432488,
282.0299988,0.05766236782,
282.9599915,0.04790975526,
284.0599976,0.05201749876,
285,0.01225548144,
285.9299927,0.02895859629,
287.0299988,0.03582223877,
287.9599915,0.04596511275,
289.0599976,0.05866843462,
290,0.03854840621,
291.0700073,0.06211252883,
292,0.1529471278,
293.0700073,0.230373174,
294,0.3662361801,
295.0700073,0.5019369125,
296,0.6867679358,
297.0700073,0.8653387427,
298,1.018515348,
299.0700073,1.066747069,
300,1.090169668,
300.9299927,1.005778551,
302.0299988,1.052372813,
302.9599915,1.167493463,
304.0599976,0.9546257257,
305,1.106427193,
305.9299927,1.135925531,
307.0299988,1.139477372,
307.9599915,0.9837917686,
309.0599976,1.119813681,
310,1.21383214,
311.0700073,1.057070732,
312,1.118439555,
313.0700073,1.175201774,
314,1.1729424,
315.0700073,1.227555275,
316,1.246702552,
317.0700073,1.066091537,
318,1.143158913,
319.0700073,1.271050811,
320,1.131885886,
321.0700073,1.111067414,
322,1.0471524,
323.0700073,1.09463954,
324,1.214512944,
325.0700073,0.9346673489,
326,1.067140102,
327.0700073,0.805568397,
328,0.9411122799,
329.0700073,0.8303590417,
330,0.9717803597,
330.9299927,0.8936519623,
332.0299988,1.181506872,
332.9599915,0.9625833631,
334.0599976,1.201776505,
335,0.8742341995,
335.9299927,1.039335966,
337.0299988,0.9029627442,
337.9599915,0.9433147311,
339.0599976,0.873750031,
340,0.8645240068,
341.0700073,0.8533599377,
342,0.8593268991,
343.0700073,0.7545699477,
344,0.8935515285,
345.0700073,0.7114938498,
346,0.7874928713,
347.0700073,0.7342032194,
348,0.7415493727,
349.0700073,0.7402710915,
350,0.7513993979,
351.0700073,1.042485714,
352,0.7369560003,
353.0700073,0.6206513047,
354,0.6693792343,
355.0700073,0.7371149659,
356,0.7532411218,
357.0700073,0.6602360606,
358,0.5631935596,
359.0700073,0.6299974322,
360,0.6609290242,
361.0700073,0.5878233314,
362,0.5957297087,
363.0700073,0.4989815652,
364,0.5662394166,
365.0700073,0.5459340215,
366,0.4618417621,
367.0700073,0.6183092594,
368,0.4497710168,
369.0700073,0.4569164813,
370,0.5342987776,
371.0599976,0.555221796,
371.9599915,0.557474792,
373.0299988,0.6002781391,
373.9299927,0.600497365,
375,0.5282956362,
376.0599976,0.4853668511,
376.9599915,0.4465764165,
378.0299988,0.3653574586,
378.9299927,0.4435309768,
380,0.5159363747,
381.0700073,0.5107387304,
382,0.5038465261,
383.0700073,0.4670214057,
384,0.4975314438,
385.0700073,0.3982661068,
386,0.440720588,
387.0700073,0.3512849808,
388,0.4211757481,
389.0700073,0.3834261298,
390,0.3987904787,
391.0700073,0.3705096543,
392,0.3669395745,
393.0700073,0.3829627335,
394,0.4269819856,
395.0700073,0.4370898008,
396,0.4365562797,
397.0700073,0.3727865815,
398,0.3724561334,
399.0700073,0.3205803931,
400,0.3900032043,
401.0599976,0.3076326549,
401.9599915,0.3028814793,
403.0299988,0.4139078259,
403.9299927,0.3009441197,
405,0.4014090598,
406.0599976,0.2499711663,
406.9599915,0.3341146708,
