Sample 5,,
Wavelength (nm),Intensity (a.u.),
220,42.03262329,
220.9299927,39.4514389,
222.0299988,32.64793015,
222.9600067,28.39520645,
224.0599976,21.7778244,
225,15.61536217,
225.9299927,12.45743465,
227.0299988,9.611945152,
227.9600067,8.565518379,
229.0599976,7.731623173,
230,8.070135117,
230.9299927,8.364124298,
232.0299988,9.214488983,
232.9600067,10.88535404,
234.0599976,10.76849556,
235,11.87757778,
235.9299927,11.34195518,
237.0299988,11.55628872,
237.9600067,10.03398514,
239.0599976,9.188937187,
240,7.510435104,
240.9299927,7.097659111,
242.0299988,6.091883659,
242.9600067,6.142707825,
244.0599976,5.733856201,
245,5.420581818,
245.9299927,5.46500349,
247.0299988,5.678143024,
247.9600067,6.25047493,
249.0599976,6.608792782,
250,7.761847973,
250.9299927,8.718865395,
252.0299988,9.941916466,
252.9600067,11.11512089,
254.0599976,12.49606705,
255,12.96324253,
255.9299927,13.58306503,
257.0299988,12.49127483,
257.9599915,12.54584789,
259.0599976,13.33483315,
260,15.99367142,
261.0700073,24.97270393,
262,44.21034622,
263.0700073,87.34545898,
264,145.3141937,
265.0700073,228.274231,
266,304.2247009,
267.0700073,403.9923401,
268,476.623291,
269.0700073,550.4871826,
270,600.6386108,
270.9299927,638.9198608,
272.0299988,668.088501,
272.9599915,691.8912964,
274.0599976,711.0559692,
275,734.151001,
275.9299927,757.2575684,
277.0299988,786.0596924,
277.9599915,797.6547241,
279.0599976,822.09729,
280,835.8768311,
280.9299927,851.8598633,
282.0299988,853.0769043,
282.9599915,852.6060181,
284.0599976,859.6134644,
285,862.9799194,
285.9299927,864.864502,
287.0299988,875.5921021,
287.9599915,880.6548462,
289.0599976,886.321106,
290,894.7542725,
291.0700073,899.9348755,
292,904.0975342,
293.0700073,920.1998901,
294,929.791626,
295.0700073,930.1253662,
296,915.5541992,
297.0700073,917.7440186,
298,911.7199097,
299.0700073,899.6427612,
300,902.7258301,
300.9299927,910.6414185,
302.0299988,906.9628296,
302.9599915,902.3186035,
304.0599976,907.2820435,
305,920.4942627,
305.9299927,942.4906616,
307.0299988,961.1952515,
307.9599915,962.1856079,
309.0599976,964.3875122,
310,946.1784668,
311.0700073,916.6589355,
312,898.4633179,
313.0700073,872.7007446,
314,854.3113403,
315.0700073,827.7988281,
316,802.6817017,
317.0700073,771.3557129,
318,773.3897705,
319.0700073,775.6137695,
320,794.8034668,
321.0700073,817.9721069,
322,842.7337036,
323.0700073,851.5070801,
324,839.208374,
325.0700073,809.3710938,
326,763.0063477,
327.0700073,695.2713013,
328,624.3648071,
329.0700073,531.3725586,
330,447.9283142,
330.9299927,379.1997375,
332.0299988,303.5589294,
332.9599915,260.119812,
334.0599976,223.3679199,
335,200.9249268,
335.9299927,183.0023651,
337.0299988,173.2130127,
337.9599915,167.3368225,
339.0599976,164.0370483,
340,165.91716,
341.0700073,168.6814728,
342,171.2197876,
343.0700073,169.466095,
344,174.5842285,
345.0700073,178.185257,
346,177.7667084,
347.0700073,182.079361,
348,188.0349579,
349.0700073,192.103241,
350,201.7913818,
351.0700073,205.6641083,
352,211.8775787,
353.0700073,220.6837006,
354,222.4791412,
355.0700073,226.886322,
356,230.5747375,
357.0700073,235.6574097,
358,239.7624359,
359.0700073,241.0050812,
360,240.7151337,
361.0700073,240.5178528,
362,236.9913635,
363.0700073,235.2376862,
364,237.8510132,
365.0700073,244.7798157,
366,248.2804565,
367.0700073,253.8493042,
368,257.4875793,
369.0700073,265.6824646,
370,261.6924133,
371.0599976,268.7648315,
371.9599915,274.8660278,
373.0299988,281.2623901,
373.9299927,284.3991699,
375,285.0960083,
376.0599976,283.1577454,
376.9599915,284.7710876,
378.0299988,282.1303101,
378.9299927,278.7580261,
380,279.8093262,
381.0700073,281.2263184,
382,281.6746216,
383.0700073,281.627533,
384,277.4695129,
385.0700073,271.9550171,
386,274.6358337,
387.0700073,273.4183044,
388,275.3310547,
389.0700073,274.325531,
390,273.4967957,
391.0700073,271.3786011,
392,269.0281982,
393.0700073,265.5582275,
394,263.0561829,
395.0700073,261.6659241,
396,259.7039185,
397.0700073,258.5531921,
398,256.8512573,
399.0700073,256.0496826,
400,251.9591675,
401.0599976,247.9591217,
401.9599915,244.3915558,
403.0299988,238.6530457,
403.9299927,234.0055847,
405,222.7216644,
406.0599976,216.5978699,
406.9599915,211.9004974,
408.0299988,207.5126801,
408.9299927,202.1506653,
410,196.0576935,
411.0700073,189.6267395,
412,184.941452,
413.0700073,181.0644684,
414,176.895462,
415.0700073,171.9302673,
416,166.3536987,
417.0700073,162.9307251,
418,157.0926514,
419.0700073,152.7897034,
420,148.2216949,
421.0599976,141.8833008,
421.9599915,138.1860352,
423.0299988,131.6042633,
423.9299927,126.7032928,
425,121.3531265,
426.0599976,115.7740326,
426.9599915,112.5411987,
428.0299988,108.1819305,
428.9299927,103.2071228,
430,99.85059357,
431.0599976,96.83922577,
431.9599915,93.4237442,
433.0299988,88.13192749,
433.9299927,84.31257629,
435,79.76570892,
436.0599976,73.60527802,
436.9599915,68.63751221,
438.0299988,63.68483734,
438.9299927,59.17093277,
440,53.50383377,
441.0599976,48.44532013,
441.9599915,44.41897964,
443.0299988,39.7048111,
443.9299927,36.29458237,
445,32.71526337,
446.0599976,29.02606583,
446.9599915,25.71943855,
448.0299988,22.69576454,
448.9299927,20.59582138,
450,17.98456573,
451.0599976,15.65827465,
451.9599915,13.68870926,
453.0299988,11.9083519,
453.9299927,10.56561852,
455,9.054932594,
456.0599976,8.063176155,
456.9599915,6.776732922,
458.0299988,6.04829073,
458.9299927,5.655650139,
460,5.21578455,
461.0599976,4.91585207,
461.9599915,4.7165308,
463.0299988,4.130917072,
463.9299927,3.921294212,
465,3.853096008,
466.0599976,3.601639509,
466.9599915,3.334026814,
468.0299988,3.007311583,
468.9299927,2.815182447,
470,2.583293915,
471.0400085,2.710615158,
471.9400024,2.507387877,
472.980011,2.556339025,
474.019989,2.37720418,
475.0700073,2.369384289,
475.9700012,2.358947277,
477.0100098,2.226824045,
478.0499878,1.891414046,
478.9500122,1.685116887,
480,1.537877202,
481.0599976,1.343117356,
481.9599915,1.23705852,
483.0299988,1.04867661,
483.9299927,1.01344049,
485,0.996627748,
486.0599976,1.043506622,
486.9599915,1.097454429,
488.0299988,1.194221139,
488.9299927,1.182653785,
490,1.355533004,

Sample 5,
Sample 5
Collection Time: 25/07/2023 3:52:51 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         490.00
Em. Wavelength (nm)               500.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 25/07/2023 3:18:52 PM
Method Modifications:
Overlayed Graphs Changed: 25/07/2023 3:40:07 PM, Old:OFF, New:ON
PMT Volts Changed: 25/07/2023 3:40:07 PM, Old:600, New:800
Scan Control Changed: 25/07/2023 3:40:07 PM, Old:Medium, New:Manual
Ave. time (s): Changed: 25/07/2023 3:40:07 PM, Old:0.10000, New:0.50000
Emission PMT (V): Changed: 25/07/2023 3:40:07 PM, Old: 600, New: 800
Excitation Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 350.00, New: 380.00
Emission Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 400.00, New: 390.00
Stop Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 600.00, New: 700.00
Stop Wavelength Changed: 25/07/2023 3:43:33 PM, Old: 700.00, New: 800.00
Scan mode: Changed: 25/07/2023 3:51:37 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 380.00, New: 220.00
Emission Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 390.00, New: 293.00
Stop Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 800.00, New: 283.00
User Delta Stop Changed: 25/07/2023 3:52:40 PM, Old: 450.00, New: 500.00
User Delta Increment Changed: 25/07/2023 3:52:40 PM, Old:  10.00, New:   0.15
Emission Wavelength Changed: 25/07/2023 3:52:40 PM, Old: 293.00, New: 500.00
Stop Wavelength Changed: 25/07/2023 3:52:40 PM, Old: 283.00, New: 490.00
End Method Modifications

