Sample 6,,
Wavelength (nm),Intensity (a.u.),
220,-0.1240040883,
220.9299927,0.4126434028,
222.0299988,0.4365407526,
222.9600067,0.4536757469,
224.0599976,0.2998680472,
225,-0.2061855644,
225.9299927,0.2936578393,
227.0299988,0.1201976314,
227.9600067,0.1528028846,
229.0599976,0.1551568508,
230,0.09961747378,
230.9299927,0.242569387,
232.0299988,0.1993047744,
232.9600067,0.1653312892,
234.0599976,0.3778874874,
235,0.2434593737,
235.9299927,0.4597729743,
237.0299988,0.04063695297,
237.9600067,0.05599218234,
239.0599976,0.175510183,
240,0.1334762275,
240.9299927,0.1212162003,
242.0299988,0.1494514942,
242.9600067,0.1615761369,
244.0599976,0.1115086451,
245,0.1613768339,
245.9299927,0.1132713333,
247.0299988,0.1507736892,
247.9600067,0.1948929131,
249.0599976,0.2654213309,
250,0.1419124901,
250.9299927,0.1689046472,
252.0299988,0.1659740359,
252.9600067,0.2545816004,
254.0599976,0.1928505152,
255,0.1465865374,
255.9299927,0.1266099513,
257.0299988,0.1065326259,
257.9599915,0.1435697228,
259.0599976,0.08831001073,
260,0.1684204638,
261.0700073,0.2792463005,
262,0.3331539035,
263.0700073,0.9321953058,
264,1.219100356,
265.0700073,2.170386791,
266,2.969454527,
267.0700073,3.755850077,
268,4.346403122,
269.0700073,5.067576885,
270,5.254815102,
270.9299927,5.569061756,
272.0299988,5.499717712,
272.9599915,5.794951439,
274.0599976,6.0043993,
275,5.893194675,
275.9299927,5.992939472,
277.0299988,6.105025291,
277.9599915,6.290655136,
279.0599976,6.112605095,
280,6.20362854,
280.9299927,6.167099953,
282.0299988,5.758670807,
282.9599915,6.099740982,
284.0599976,5.954344749,
285,5.983068943,
285.9299927,6.055983543,
287.0299988,5.735273361,
287.9599915,6.202362061,
289.0599976,6.364655018,
290,6.196528912,
291.0700073,6.006043434,
292,6.411092758,
293.0700073,6.602156162,
294,6.440311432,
295.0700073,6.722832203,
296,6.408838749,
297.0700073,6.230423927,
298,6.337436199,
299.0700073,6.300196171,
300,6.385192871,
300.9299927,6.610188961,
302.0299988,6.274958611,
302.9599915,6.200199604,
304.0599976,6.724102974,
305,6.241410255,
305.9299927,6.56485796,
307.0299988,6.730450153,
307.9599915,6.67524147,
309.0599976,6.34705019,
310,6.165025711,
311.0700073,6.155956745,
312,6.182686806,
313.0700073,6.152275085,
314,6.105453014,
315.0700073,6.265514374,
316,5.801968575,
317.0700073,5.977126122,
318,6.003927231,
319.0700073,6.023753643,
320,5.797537327,
321.0700073,5.901533127,
322,5.985826492,
323.0700073,5.583836079,
324,5.852416992,
325.0700073,6.180594444,
326,6.114520073,
327.0700073,5.721648693,
328,5.761580467,
329.0700073,6.583899021,
330,6.387188435,
330.9299927,6.541557789,
332.0299988,6.560250759,
332.9599915,6.540143967,
334.0599976,6.394999981,
335,6.76094389,
335.9299927,6.763848782,
337.0299988,6.579429626,
337.9599915,6.963183403,
339.0599976,6.576925278,
340,6.897531033,
341.0700073,6.44051218,
342,7.023637295,
343.0700073,6.78921032,
344,7.121465683,
345.0700073,6.376487732,
346,6.56086731,
347.0700073,6.874040127,
348,6.406220913,
349.0700073,6.438766479,
350,6.866994381,
351.0700073,6.692558765,
352,6.607647896,
353.0700073,6.390320778,
354,6.357273102,
355.0700073,6.414323807,
356,6.266703129,
357.0700073,5.955880642,
358,6.124062538,
359.0700073,6.046596527,
360,5.770951271,
361.0700073,5.443640232,
362,5.180977821,
363.0700073,5.359113216,
364,4.832875252,
365.0700073,4.999450684,
366,4.809622288,
367.0700073,4.717592239,
368,4.194744587,
369.0700073,4.418692112,
370,4.205631733,
371.0599976,4.182178974,
371.9599915,3.91915679,
373.0299988,4.071858883,
373.9299927,3.665528059,
375,3.567704201,
376.0599976,3.444441319,
376.9599915,3.398036957,
378.0299988,3.234637022,
378.9299927,2.942974567,
380,2.986452341,
381.0700073,2.731725693,
382,2.667529345,
383.0700073,2.58481884,
384,2.498129368,
385.0700073,2.426727772,
386,2.305053473,
387.0700073,2.25306201,
388,2.152565002,
389.0700073,2.229650974,
390,1.986178279,
391.0700073,2.047046185,
392,1.926458359,
393.0700073,1.957983255,
394,1.829686761,
395.0700073,1.771984935,
396,1.833863616,
397.0700073,1.855551958,
398,1.864744663,
399.0700073,1.717624784,
400,1.49800849,
401.0599976,1.68785727,
401.9599915,1.536438107,
403.0299988,1.519245625,
403.9299927,1.384209275,
405,1.3284899,
406.0599976,1.367516994,
406.9599915,1.275913835,
408.0299988,1.283135414,
408.9299927,1.334234595,
410,1.213340878,
411.0700073,1.162118673,
412,1.073961854,
413.0700073,1.198639393,
414,1.217023015,
415.0700073,1.137038231,
416,1.073743939,
417.0700073,1.186924458,
418,1.030293465,
419.0700073,1.074903846,
420,0.9989452958,
421.0599976,0.9482460022,
421.9599915,0.9487778544,
423.0299988,0.9318764806,
423.9299927,0.9422507286,
425,0.9614409804,
426.0599976,0.9774937034,
426.9599915,1.108644843,
428.0299988,1.191979527,
428.9299927,1.512267709,
430,2.242285967,
431.0599976,2.776621342,
431.9599915,3.559827328,
433.0299988,4.218396187,
433.9299927,4.669599533,
435,4.586066723,
436.0599976,3.967246056,
436.9599915,3.464624882,
438.0299988,2.60467577,
438.9299927,1.978841424,
440,1.421661615,
441.0599976,1.180200219,
441.9599915,1.019156098,
443.0299988,0.8937735558,
443.9299927,0.8230728507,
445,0.8727903962,
446.0599976,0.7848768234,
446.9599915,0.7575089335,
448.0299988,0.6802001595,
448.9299927,0.7357499599,
450,0.71669662,
451.0599976,0.6558247209,
451.9599915,0.7315214872,
453.0299988,0.7119371295,
453.9299927,0.6901150346,
455,0.7749836445,
456.0599976,0.8135488629,
456.9599915,0.8757483363,
458.0299988,0.9726455212,
458.9299927,1.077014685,
460,1.130889177,
461.0599976,1.101739287,
461.9599915,1.246020794,
463.0299988,1.575808406,
463.9299927,1.607756019,
465,1.648754358,
466.0599976,1.811832428,
466.9599915,1.473142505,
468.0299988,1.356153846,
468.9299927,1.02067101,
470,0.8874424696,
471.0400085,0.9650756717,
471.9400024,0.8927729726,
472.980011,0.8763190508,
474.019989,0.8370642662,
475.0700073,0.8453843594,
475.9700012,0.8477500081,
477.0100098,0.8267437816,
478.0499878,0.8202123046,
478.9500122,0.8310527205,
480,0.7459651828,
481.0599976,0.7330213785,
481.9599915,0.7149664164,
483.0299988,0.6834256053,
483.9299927,0.6425482035,
485,0.6953551769,
486.0599976,0.6360073686,
486.9599915,0.7849984169,
488.0299988,0.8385382295,
488.9299927,1.006581068,
490,1.33976078,

Sample 6,
Sample 6
Collection Time: 25/07/2023 3:55:48 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         490.00
Em. Wavelength (nm)               500.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 25/07/2023 3:18:52 PM
Method Modifications:
Overlayed Graphs Changed: 25/07/2023 3:40:07 PM, Old:OFF, New:ON
PMT Volts Changed: 25/07/2023 3:40:07 PM, Old:600, New:800
Scan Control Changed: 25/07/2023 3:40:07 PM, Old:Medium, New:Manual
Ave. time (s): Changed: 25/07/2023 3:40:07 PM, Old:0.10000, New:0.50000
Emission PMT (V): Changed: 25/07/2023 3:40:07 PM, Old: 600, New: 800
Excitation Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 350.00, New: 380.00
Emission Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 400.00, New: 390.00
Stop Wavelength Changed: 25/07/2023 3:40:35 PM, Old: 600.00, New: 700.00
Stop Wavelength Changed: 25/07/2023 3:43:33 PM, Old: 700.00, New: 800.00
Scan mode: Changed: 25/07/2023 3:51:37 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 380.00, New: 220.00
Emission Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 390.00, New: 293.00
Stop Wavelength Changed: 25/07/2023 3:51:37 PM, Old: 800.00, New: 283.00
User Delta Stop Changed: 25/07/2023 3:52:40 PM, Old: 450.00, New: 500.00
User Delta Increment Changed: 25/07/2023 3:52:40 PM, Old:  10.00, New:   0.15
Emission Wavelength Changed: 25/07/2023 3:52:40 PM, Old: 293.00, New: 500.00
Stop Wavelength Changed: 25/07/2023 3:52:40 PM, Old: 283.00, New: 490.00
End Method Modifications

