Sample 8,,
Wavelength (nm),Intensity (a.u.),
260,12.77385139,
261.0700073,17.92665482,
262,28.26418114,
263.0700073,50.53660583,
264,74.83638763,
265.0700073,107.5218658,
266,128.6741486,
267.0700073,158.9787598,
268,180.6938477,
269.0700073,198.8510742,
270,210.4345093,
270.9299927,219.6893768,
272.0299988,226.5898285,
272.9599915,233.2781677,
274.0599976,238.1852112,
275,249.1918182,
275.9299927,256.2420959,
277.0299988,265.727356,
277.9599915,271.6158752,
279.0599976,280.5228271,
280,291.7285156,
280.9299927,291.7172241,
282.0299988,298.911499,
282.9599915,305.4656677,
284.0599976,306.6582947,
285,308.9007263,
285.9299927,311.9805298,
287.0299988,317.9275208,
287.9599915,319.7935486,
289.0599976,330.6316833,
290,334.6972046,
291.0700073,345.5597229,
292,353.6868591,
293.0700073,367.0289917,
294,375.9788513,
295.0700073,381.1402893,
296,383.2769775,
297.0700073,379.590332,
298,377.4918823,
299.0700073,383.7225342,
300,381.8152771,
300.9299927,384.7458496,
302.0299988,384.7206421,
302.9599915,391.052887,
304.0599976,398.113739,
305,402.7277832,
305.9299927,417.7166443,
307.0299988,428.7928162,
307.9599915,439.1768494,
309.0599976,443.5737915,
310,448.2858276,
311.0700073,449.3131714,
312,447.842926,
313.0700073,444.5867004,
314,443.1737976,
315.0700073,443.6746216,
316,435.0623779,
317.0700073,427.5696716,
318,426.3478699,
319.0700073,430.9678345,
320,438.0924377,
321.0700073,447.8273621,
322,464.5484314,
323.0700073,468.2472839,
324,479.7072144,
325.0700073,476.1560364,
326,479.3253784,
327.0700073,472.3640442,
328,459.1100769,
329.0700073,436.2155151,
330,405.5433655,
330.9299927,365.3570557,
332.0299988,318.8240356,
332.9599915,284.732666,
334.0599976,247.8460693,
335,215.1727905,
335.9299927,190.1244812,
337.0299988,165.9883118,
337.9599915,155.0764313,
339.0599976,145.8525543,
340,137.532135,
341.0700073,133.0217438,
342,128.9946136,
343.0700073,127.8445282,
344,126.6304245,
345.0700073,125.3163986,
346,124.592453,
347.0700073,128.5748901,
348,131.8430023,
349.0700073,133.9658813,
350,138.1760101,
351.0700073,142.140152,
352,147.4255829,
353.0700073,150.4409943,
354,152.2130585,
355.0700073,154.4230347,
356,158.3041687,
357.0700073,160.6227875,
358,164.4203491,
359.0700073,163.3812866,
360,164.3306274,
361.0700073,163.3716125,
362,163.8666229,
363.0700073,161.0422516,
364,162.085495,
365.0700073,166.9861298,
366,171.8534393,
367.0700073,176.5501556,
368,178.8818512,
369.0700073,185.9313354,
370,184.071991,
371.0599976,187.9196625,
371.9599915,192.349762,
373.0299988,198.256424,
373.9299927,198.8632202,
375,200.1727142,
376.0599976,203.143219,
376.9599915,200.6089172,
378.0299988,198.9006348,
378.9299927,200.3776398,
380,200.1274567,
381.0700073,205.1324615,
382,206.2054443,
383.0700073,204.7396393,
384,204.8656006,
385.0700073,203.3760529,
386,203.746048,
387.0700073,204.1035309,
388,205.7791595,
389.0700073,206.9471283,
390,206.3989105,
391.0700073,204.868988,
392,202.5263977,
393.0700073,200.3451691,
394,198.8817596,
395.0700073,198.9540558,
396,197.5922241,
397.0700073,196.2746277,
398,196.7597198,
399.0700073,194.8247375,
400,194.6237335,
401.0599976,193.9355774,
401.9599915,191.4532471,
403.0299988,189.3487244,
403.9299927,183.247757,
405,178.1852722,
406.0599976,175.6060791,
406.9599915,173.5240631,
408.0299988,170.9826813,
408.9299927,167.8197784,
410,164.4152527,
411.0700073,159.3589325,
412,157.2338867,
413.0700073,155.2276764,
414,153.7003632,
415.0700073,151.0776978,
416,148.7185974,
417.0700073,144.6689606,
418,141.3561707,
419.0700073,137.4001312,
420,132.6596527,
421.0599976,128.2704163,
421.9599915,125.6435089,
423.0299988,119.9110565,
423.9299927,115.7250366,
425,111.7005997,
426.0599976,107.8768921,
426.9599915,105.2751846,
428.0299988,102.9847717,
428.9299927,101.1188736,
430,98.31371307,
431.0599976,95.35015106,
431.9599915,92.70721436,
433.0299988,88.62520599,
433.9299927,85.71903229,
435,83.10522461,
436.0599976,79.61559296,
436.9599915,78.89954376,
438.0299988,75.45048523,
438.9299927,73.65180969,
440,69.21341705,
441.0599976,66.47304535,
441.9599915,62.4789505,
443.0299988,58.04401779,
443.9299927,55.01192474,
445,51.55062485,
446.0599976,47.84048843,
446.9599915,44.17644882,
448.0299988,40.79011917,
448.9299927,38.67491531,
450,36.3615036,
451.0599976,33.85985184,
451.9599915,31.60324669,
453.0299988,29.81134796,
453.9299927,28.26308823,
455,26.30605507,
456.0599976,25.08677101,
456.9599915,23.6889782,
458.0299988,22.38926506,
458.9299927,21.18084526,
460,19.74958801,
461.0599976,18.52734756,
461.9599915,17.6882534,
463.0299988,16.50151062,
463.9299927,16.01592064,
465,15.68999863,
