Sample 6,,
Wavelength (nm),Intensity (a.u.),
220,4.974974155,
220.9299927,5.867214203,
222.0299988,5.878540516,
222.9600067,5.265246391,
224.0599976,3.801387072,
225,3.109011889,
225.9299927,3.191785574,
227.0299988,2.733325958,
227.9600067,2.184760332,
229.0599976,2.104717731,
230,1.689019084,
230.9299927,1.419612885,
232.0299988,1.159891367,
232.9600067,0.9200863242,
234.0599976,0.9011470675,
235,0.8062590361,
235.9299927,0.5507904887,
237.0299988,0.3706074357,
237.9600067,0.2784513831,
239.0599976,0.3964023888,
240,0.3377326727,
240.9299927,0.269751966,
242.0299988,0.3049340844,
242.9600067,0.2443246245,
244.0599976,0.1543500125,
245,0.2529154122,
245.9299927,0.2774293721,
247.0299988,0.3196534812,
247.9600067,0.22767362,
249.0599976,0.2003860623,
250,0.2613496184,
250.9299927,0.2755753398,
252.0299988,0.3259462416,
252.9600067,0.3788298666,
254.0599976,0.5029138923,
255,0.8244562149,
255.9299927,1.832796574,
257.0299988,3.273924351,
257.9599915,4.238094807,
259.0599976,5.406592846,
260,6.420484066,
261.0700073,7.724378586,
262,8.736001015,
263.0700073,9.678355217,
264,10.34677982,
265.0700073,10.78114223,
266,10.98115063,
267.0700073,11.00010395,
268,10.837183,
269.0700073,10.97844982,
270,10.9383831,
270.9299927,10.68333149,
272.0299988,10.56949902,
272.9599915,10.20801926,
274.0599976,10.21046734,
275,9.695133209,
275.9299927,9.755404472,
277.0299988,9.432153702,
277.9599915,9.393852234,
279.0599976,9.37536335,
280,9.502438545,
280.9299927,9.649532318,
282.0299988,9.569301605,
282.9599915,9.437829018,
284.0599976,9.599869728,
285,9.42119503,
285.9299927,8.949935913,
287.0299988,8.646924019,
287.9599915,8.008817673,
289.0599976,7.737252235,
290,8.002207756,
291.0700073,8.462112427,
292,9.393035889,
293.0700073,10.34093475,
294,11.20155716,
295.0700073,11.67597389,
296,11.66056728,
297.0700073,11.82283688,
298,11.58697224,
299.0700073,11.48894501,
300,11.5180006,
300.9299927,11.55876732,
302.0299988,11.17159367,
302.9599915,11.31587315,
304.0599976,11.71400166,
305,11.24200535,
305.9299927,11.39869881,
307.0299988,10.98530006,
307.9599915,10.65599537,
309.0599976,10.31629944,
310,9.713453293,
311.0700073,9.163926125,
312,8.201869965,
313.0700073,7.438853264,
314,7.025336742,
315.0700073,6.812256336,
316,6.822573185,
317.0700073,6.751377106,
318,6.371443272,
319.0700073,6.080148697,
320,5.575583935,
321.0700073,4.820800304,
322,4.277351856,
323.0700073,3.944450617,
324,3.332940102,
325.0700073,3.405040741,
326,2.978668928,
327.0700073,2.837764978,
328,2.944599867,
329.0700073,2.825479746,
330,2.898033142,
330.9299927,2.903692961,
332.0299988,2.960041761,
332.9599915,3.098290443,
334.0599976,3.195686817,
335,3.17167449,
335.9299927,3.30546999,
337.0299988,3.528315067,
337.9599915,3.637732983,
339.0599976,3.756761074,
340,3.794317484,
341.0700073,3.861251831,
342,4.038685799,
343.0700073,4.279248714,
344,4.310338974,
345.0700073,4.455002308,
346,4.450161934,
347.0700073,4.770179749,
348,4.832143784,
349.0700073,4.810761929,
350,5.34513092,
351.0700073,4.865417957,
352,5.104809761,
353.0700073,5.430094242,
354,5.578448296,
355.0700073,5.617161274,
356,5.494730473,
357.0700073,5.469066143,
358,5.660261631,
359.0700073,5.700532436,
360,5.572915077,
361.0700073,5.680998802,
362,5.553146839,
363.0700073,5.589072704,
364,5.650663376,
365.0700073,5.648680687,
366,5.685496807,
367.0700073,5.847723961,
368,5.848159313,
369.0700073,5.796209335,
370,5.973846436,
371.0599976,6.114754677,
371.9599915,6.170883656,
373.0299988,6.240389824,
