Sample 7,,
Wavelength (nm),Intensity (a.u.),
220,20.35006332,
220.9299927,15.98101521,
222.0299988,15.83533001,
222.9600067,15.74402905,
224.0599976,16.22841263,
225,20.06699944,
225.9299927,43.32689285,
227.0299988,121.6455002,
227.9600067,218.4686127,
229.0599976,330.9904785,
230,450.15271,
230.9299927,522.6057739,
232.0299988,524.2402954,
232.9600067,434.8746033,
234.0599976,277.4146118,
235,137.2002106,
235.9299927,54.24789429,
237.0299988,13.32539749,
237.9600067,4.612347603,
239.0599976,3.056986094,
240,2.357913971,
240.9299927,2.310637236,
242.0299988,2.040727854,
242.9600067,1.807811856,
244.0599976,1.745355368,
245,1.525800943,
245.9299927,1.600510478,
247.0299988,1.407039285,
247.9600067,1.498535991,
249.0599976,1.217827559,
250,1.364824414,
250.9299927,1.302354693,
252.0299988,1.315207005,
252.9600067,1.339580417,
254.0599976,1.393725872,
255,1.132462263,
255.9299927,1.179907441,
257.0299988,0.9066336155,
257.9599915,0.8854181767,
259.0599976,0.7886157632,
260,0.7770756483,
261.0700073,0.6658684611,
262,0.7542726398,
263.0700073,0.7213967443,
264,0.6588038206,
265.0700073,0.6730292439,
266,0.7226672173,
267.0700073,0.6174043417,
268,0.6120913625,
269.0700073,0.5955575705,
270,0.5684601068,
270.9299927,0.4905970395,
272.0299988,0.528015852,
272.9599915,0.574872911,
274.0599976,0.4787638783,
275,0.4663873911,
275.9299927,0.4613038301,
277.0299988,0.4197862446,
277.9599915,0.4253708422,
279.0599976,0.4272059202,
280,0.2814630866,
280.9299927,0.2746498287,
282.0299988,0.2865002751,
282.9599915,0.2991707623,
284.0599976,0.2962699533,
285,0.292031765,
285.9299927,0.2614142597,
287.0299988,0.2753331065,
287.9599915,0.2417278588,
289.0599976,0.2866024673,
290,0.2313237488,
291.0700073,0.3103183508,
292,0.2889326811,
293.0700073,0.2759128213,
294,0.2661407292,
295.0700073,0.2491294891,
296,0.2168557793,
297.0700073,0.2528905571,
298,0.1897258461,
299.0700073,0.207558617,
300,0.2256102115,
300.9299927,0.1889105588,
302.0299988,0.2089482844,
302.9599915,0.2327536047,
304.0599976,0.1802843213,
305,0.1462091953,
305.9299927,0.2399678379,
307.0299988,0.2542239428,
307.9599915,0.2486133873,
309.0599976,0.2057590187,
310,0.2125956863,
311.0700073,0.2870477736,
312,0.2516188323,
313.0700073,0.2382524163,
314,0.2046386302,
315.0700073,0.2532334328,
316,0.2520002723,
317.0700073,0.2016427219,
318,0.1812941581,
319.0700073,0.2894488871,
320,0.221271351,
321.0700073,0.2839034498,
322,0.2851465046,
323.0700073,0.2478797734,
324,0.2741776109,
325.0700073,0.3337022066,
326,0.2719352245,
327.0700073,0.2945635319,
328,0.2914521992,
329.0700073,0.3519690633,
330,0.3453356922,
330.9299927,0.329541415,
332.0299988,0.3637161851,
332.9599915,0.3352058232,
334.0599976,0.3599491417,
335,0.3406075239,
335.9299927,0.302000761,
337.0299988,0.3185912371,
337.9599915,0.3198508918,
339.0599976,0.3201655149,
340,0.4111581147,
341.0700073,0.288164258,
342,0.3219575286,
343.0700073,0.3214713633,
344,0.313983202,
345.0700073,0.2833724618,
346,0.3413691223,
347.0700073,0.3492509723,
348,0.3169974983,
349.0700073,0.3203569353,
350,0.2731861174,
351.0700073,0.2703355849,
352,0.2022231668,
353.0700073,0.2318684906,
354,0.2679286897,
355.0700073,0.2731077671,
356,0.3099670112,
357.0700073,0.2292155474,
358,0.2263492197,
359.0700073,0.195419237,
360,0.2318706065,
361.0700073,0.2477591336,
362,0.1968877316,
363.0700073,0.2204072922,
364,0.2220026404,
365.0700073,0.2292566597,
366,0.2721097469,
367.0700073,0.2362572253,
368,0.254947871,
369.0700073,0.214593038,
370,0.2839734852,
371.0599976,0.2466521114,
371.9599915,0.2579035163,
373.0299988,0.2385451794,
373.9299927,0.2621665597,
375,0.2413035184,
376.0599976,0.2304353416,
376.9599915,0.2340319157,
378.0299988,0.2151542455,
378.9299927,0.2369640619,
380,0.2284570038,
381.0700073,0.2738053203,
382,0.2482725233,
383.0700073,0.2525666952,
384,0.2719286084,
385.0700073,0.2430876046,
386,0.2825343907,
387.0700073,0.3181423545,
388,0.2693745494,
389.0700073,0.2649957836,
390,0.2487239838,
391.0700073,0.2938370705,
392,0.3142917156,
393.0700073,0.2935827076,
394,0.278414458,
395.0700073,0.2727325857,
396,0.2976328731,
397.0700073,0.2307536751,
398,0.2814589739,
399.0700073,0.329891324,
400,0.3295040429,
401.0599976,0.5819560289,
401.9599915,0.9492470026,
403.0299988,1.690052867,
403.9299927,2.592222929,
405,4.284608364,
406.0599976,5.657112598,
406.9599915,6.425801277,
408.0299988,6.700708389,
408.9299927,6.142767906,
410,4.891640663,
411.0700073,3.296653748,
412,2.253234625,
413.0700073,1.252282858,
414,0.7681810856,
415.0700073,0.459977895,
416,0.3739772439,
417.0700073,0.3242037892,
418,0.278611064,
419.0700073,0.2204715163,
420,0.2418095469,
421.0599976,0.2144936621,
421.9599915,0.2097373754,
423.0299988,0.2052105814,
423.9299927,0.211806044,
425,0.1971014589,
426.0599976,0.2220239937,
426.9599915,0.1922020614,
428.0299988,0.3013100922,
428.9299927,0.3628816605,
430,0.5190529823,
431.0599976,0.6338272095,
431.9599915,0.7239213586,
433.0299988,0.8613037467,
433.9299927,0.9432965517,
435,0.9460163713,
436.0599976,0.9415727258,
436.9599915,0.9753632545,
438.0299988,0.8790285587,
438.9299927,0.9656752944,
440,1.005984783,
441.0599976,1.1584059,
441.9599915,1.306168199,
443.0299988,1.353931665,
443.9299927,1.455747366,
445,1.48985076,
446.0599976,1.371715426,
446.9599915,1.237559795,
448.0299988,0.9471414089,
448.9299927,0.823775351,
450,0.6658908129,
451.0599976,0.5400809646,
451.9599915,0.5773910284,
453.0299988,0.6312204599,
453.9299927,0.8334551454,
455,1.978025556,

Sample 7,
Sample 7
Collection Time: 27/06/2023 5:19:30 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         455.00
Em. Wavelength (nm)               465.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                60.00
Data interval (nm)                1.0000
Averaging Time (s)                1.0000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 27/06/2023 4:28:13 PM
Method Modifications:
Overlayed Graphs Changed: 27/06/2023 4:58:13 PM, Old:OFF, New:ON
PMT Volts Changed: 27/06/2023 4:58:13 PM, Old:600, New:800
Emission PMT (V): Changed: 27/06/2023 4:58:13 PM, Old: 600, New: 800
Excitation Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 350.00, New: 375.00
Emission Wavelength Changed: 27/06/2023 4:58:13 PM, Old: 400.00, New: 385.00
Scan Control Changed: 27/06/2023 4:58:47 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 27/06/2023 4:58:47 PM, Old:0.10000, New:0.50000
Scan Control Changed: 27/06/2023 4:59:39 PM, Old:Slow, New:Manual
Ave. time (s): Changed: 27/06/2023 4:59:39 PM, Old:0.50000, New:0.20000
Stop Wavelength Changed: 27/06/2023 4:59:46 PM, Old: 600.00, New: 650.00
Ave. time (s): Changed: 27/06/2023 5:00:03 PM, Old:0.20000, New:1.00000
Scan mode: Changed: 27/06/2023 5:12:38 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 27/06/2023 5:12:38 PM, Old: 450.00, New: 465.00
User Delta Increment Changed: 27/06/2023 5:12:38 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 375.00, New: 220.00
Emission Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 385.00, New: 465.00
Stop Wavelength Changed: 27/06/2023 5:12:38 PM, Old: 650.00, New: 455.00
End Method Modifications

