Sample 6,,
Wavelength (nm),Intensity (a.u.),
220,35.70096588,
220.9299927,35.78036499,
222.0299988,40.69211578,
222.9600067,42.0246582,
224.0599976,45.87988663,
225,49.86965179,
225.9299927,51.1221962,
227.0299988,51.88861084,
227.9600067,51.5490799,
229.0599976,47.33018494,
230,46.09629059,
230.9299927,45.25775909,
232.0299988,42.3228569,
232.9600067,40.19799042,
234.0599976,36.09315491,
235,31.73408318,
235.9299927,27.02858543,
237.0299988,22.45983505,
237.9600067,17.95971298,
239.0599976,13.88326359,
240,12.40925694,
240.9299927,10.23753643,
242.0299988,8.645394325,
242.9600067,7.953785419,
244.0599976,6.405116081,
245,5.27059412,
245.9299927,5.064071655,
247.0299988,4.578796387,
247.9600067,4.488657475,
249.0599976,4.765559196,
250,4.968729973,
250.9299927,5.573268414,
252.0299988,6.064482212,
252.9600067,5.237192154,
254.0599976,5.697916985,
255,5.5028162,
255.9299927,6.45182085,
257.0299988,9.204075813,
257.9599915,14.62849617,
259.0599976,24.50175285,
260,40.36138535,
261.0700073,64.96062469,
262,91.04748535,
263.0700073,128.0753479,
264,155.1227264,
265.0700073,170.0718842,
266,175.6693573,
267.0700073,177.1511383,
268,178.8226776,
269.0700073,176.3916016,
270,176.1663666,
270.9299927,176.5954285,
272.0299988,175.8744049,
272.9599915,175.7063293,
274.0599976,176.6026764,
275,180.8484039,
275.9299927,183.656189,
277.0299988,190.3374176,
277.9599915,195.4643707,
279.0599976,198.1968231,
280,208.4926453,
280.9299927,210.6495056,
282.0299988,213.7453766,
282.9599915,210.3831177,
284.0599976,209.9216003,
285,209.9147644,
285.9299927,211.5607147,
287.0299988,211.255188,
287.9599915,212.2976379,
289.0599976,215.5600586,
290,214.9956512,
291.0700073,216.0146484,
292,217.7716522,
293.0700073,220.1477356,
294,223.2689209,
295.0700073,219.6204987,
296,214.468338,
297.0700073,205.7948608,
298,200.3345184,
299.0700073,196.5325317,
300,191.1280975,
300.9299927,190.8918762,
302.0299988,188.8489227,
302.9599915,192.623642,
304.0599976,194.8709259,
305,201.6178741,
305.9299927,202.7179718,
307.0299988,202.2777405,
307.9599915,197.8244934,
309.0599976,188.6942749,
310,175.1024475,
311.0700073,162.3720551,
312,153.4340973,
313.0700073,145.4958496,
314,137.056076,
315.0700073,131.2312622,
316,125.9135742,
317.0700073,123.9092407,
318,125.7371902,
319.0700073,129.7923889,
320,137.7532196,
321.0700073,140.9711914,
322,136.4920197,
323.0700073,127.7629318,
324,114.3852921,
325.0700073,93.46212006,
326,77.88342285,
327.0700073,58.6304512,
328,49.51855469,
329.0700073,40.21083069,
330,34.7519722,
330.9299927,32.24829865,
332.0299988,29.30544853,
332.9599915,28.47640419,
334.0599976,28.68718338,
335,28.71617889,
335.9299927,28.25508308,
337.0299988,30.15043259,
337.9599915,31.51307678,
339.0599976,31.58756256,
340,33.15246582,
341.0700073,34.39377975,
342,36.62457275,
343.0700073,37.15700912,
344,37.13109589,
345.0700073,37.38562012,
346,38.18503571,
347.0700073,38.5778389,
348,39.67494583,
349.0700073,41.77288818,
350,43.09305191,
351.0700073,44.98416138,
352,46.06158829,
353.0700073,46.49310684,
354,48.44493866,
355.0700073,48.98027039,
356,50.27482224,
357.0700073,51.23602676,
358,52.694767,
359.0700073,52.79066467,
360,52.60910797,
361.0700073,52.0600853,
362,51.8394165,
363.0700073,50.69238663,
364,51.03151321,
365.0700073,52.32579422,
366,53.90222168,
367.0700073,54.65256882,
368,55.69823456,
369.0700073,55.56018066,
370,56.38330078,
371.0599976,56.25907898,
371.9599915,57.50574493,
373.0299988,59.99724579,
373.9299927,60.68736649,
375,61.42124939,
376.0599976,60.90100479,
376.9599915,61.15419769,
378.0299988,60.37844849,
378.9299927,59.31401825,
380,59.77061081,
381.0700073,59.34890747,
382,58.03607178,
383.0700073,57.86616135,
384,56.73442841,
385.0700073,55.76104355,
386,55.13208389,
387.0700073,55.16437531,
388,55.11284256,
389.0700073,54.72954178,
390,55.00935745,
391.0700073,54.92847824,
392,54.91340256,
393.0700073,53.1385994,
394,53.04084396,
395.0700073,53.22369003,
396,52.4853096,
397.0700073,52.3170929,
398,52.56615067,
399.0700073,51.79281616,
400,50.24809265,
401.0599976,50.16197968,
401.9599915,47.90156555,
403.0299988,45.67793274,
403.9299927,44.89658356,
405,42.35764313,
406.0599976,39.99583435,
406.9599915,38.78646851,
408.0299988,37.23814392,
408.9299927,35.99729538,
410,34.84646606,
411.0700073,32.98616409,
412,32.37155533,
413.0700073,31.60162354,
414,30.45575523,
415.0700073,30.49650574,
416,30.60636902,
417.0700073,29.79070091,
418,30.02990532,
419.0700073,30.27473068,
420,30.58556366,
421.0599976,29.90189743,
421.9599915,28.66131592,
423.0299988,26.56656265,
423.9299927,24.81339455,
425,22.35492516,
426.0599976,20.31811714,
426.9599915,18.76984596,
428.0299988,16.9127636,
428.9299927,15.92069149,
430,14.432724,
431.0599976,13.39664555,
431.9599915,12.57675743,
433.0299988,11.22133636,
433.9299927,10.33145332,
435,8.937031746,
436.0599976,7.851375103,
436.9599915,6.993316174,
438.0299988,6.347939014,
438.9299927,5.36835289,
440,4.787199497,
441.0599976,4.100342274,
441.9599915,3.582127571,
443.0299988,2.99707222,
443.9299927,2.823172569,
445,2.461397648,
446.0599976,2.141106606,
446.9599915,2.123770952,
448.0299988,1.877558947,
448.9299927,1.93727994,
450,1.750648737,
451.0599976,1.713004231,
451.9599915,1.621099591,
453.0299988,1.641828179,
453.9299927,1.586825252,
455,1.403484941,
456.0599976,1.429555297,
456.9599915,1.501360178,
458.0299988,1.487876415,
458.9299927,1.527594805,
460,1.583346009,
461.0599976,1.510970354,
461.9599915,1.600548983,
463.0299988,1.408470035,
463.9299927,1.207619309,
465,1.140760779,
466.0599976,0.8639584184,
466.9599915,0.9098172188,
468.0299988,0.9085950255,
468.9299927,0.8354493976,
470,1.113824725,
471.0400085,1.068253875,
471.9400024,1.133476019,
472.980011,1.62565136,

Sample 6,
Sample 6
Collection Time: 22/08/2023 12:02:47 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         473.00
Em. Wavelength (nm)               483.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 22/08/2023 11:38:10 AM
Method Modifications:
Overlayed Graphs Changed: 22/08/2023 11:47:15 AM, Old:OFF, New:ON
Scan Control Changed: 22/08/2023 11:47:15 AM, Old:Medium, New:Slow
Ave. time (s): Changed: 22/08/2023 11:47:15 AM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 600.00, New: 750.00
Excitation Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 340.00, New: 378.00
Emission Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 350.00, New: 390.00
PMT Volts Changed: 22/08/2023 11:52:22 AM, Old:600, New:800
Emission PMT (V): Changed: 22/08/2023 11:52:22 AM, Old: 600, New: 800
Scan mode: Changed: 22/08/2023 11:59:48 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 22/08/2023 11:59:48 AM, Old: 450.00, New: 483.00
User Delta Increment Changed: 22/08/2023 11:59:48 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 378.00, New: 220.00
Emission Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 390.00, New: 483.00
Stop Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 750.00, New: 373.00
Stop Wavelength Changed: 22/08/2023 12:02:41 PM, Old: 373.00, New: 473.00
End Method Modifications

