Sample 40,,
Wavelength (nm),Intensity (a.u.),
220,7.184137821,
220.9299927,7.422574997,
222.0299988,5.887200832,
222.9600067,5.227751732,
224.0599976,4.012454987,
225,3.119520903,
225.9299927,2.613188028,
227.0299988,2.161146879,
227.9600067,1.995187759,
229.0599976,1.774871111,
230,1.791421175,
230.9299927,1.837164998,
232.0299988,2.19491291,
232.9600067,2.188502073,
234.0599976,2.354505301,
235,2.426056147,
235.9299927,2.12720561,
237.0299988,2.237294197,
237.9600067,2.0357728,
239.0599976,1.944928765,
240,1.728432536,
240.9299927,1.572096229,
242.0299988,1.537156701,
242.9600067,1.511711836,
244.0599976,1.49277997,
245,1.315904856,
245.9299927,1.433384895,
247.0299988,1.397941828,
247.9600067,1.379739046,
249.0599976,1.506444931,
250,1.583134532,
250.9299927,1.637186408,
252.0299988,1.778480053,
252.9600067,1.885266185,
254.0599976,1.893118262,
255,1.986097336,
255.9299927,1.821576238,
257.0299988,1.582466722,
257.9599915,1.495002866,
259.0599976,1.449581742,
260,1.417648911,
261.0700073,1.558840513,
262,1.622483492,
263.0700073,1.745515943,
264,1.733726144,
265.0700073,1.812958956,
266,1.660647273,
267.0700073,1.63895607,
268,1.558972597,
269.0700073,1.610798955,
270,1.562527418,
270.9299927,1.451452374,
272.0299988,1.560127616,
272.9599915,1.531299949,
274.0599976,1.621222258,
275,1.647788286,
275.9299927,1.622032881,
277.0299988,1.673212409,
277.9599915,1.712359309,
279.0599976,1.683586597,
280,1.627608776,
280.9299927,1.628635883,
282.0299988,1.576053143,
282.9599915,1.578107476,
284.0599976,1.567035794,
285,1.511058807,
285.9299927,1.608319163,
287.0299988,1.580726743,
287.9599915,1.626069665,
289.0599976,1.609873414,
290,1.709910393,
291.0700073,1.944100618,
292,2.62975502,
293.0700073,4.167988777,
294,6.434247971,
295.0700073,10.90464497,
296,15.94694901,
297.0700073,23.50273132,
298,30.07210159,
299.0700073,37.99902725,
300,46.58554077,
300.9299927,53.81669235,
302.0299988,60.95909882,
302.9599915,64.38733673,
304.0599976,68.54548645,
305,72.57109833,
305.9299927,76.51704407,
307.0299988,81.39155579,
307.9599915,84.1392746,
309.0599976,86.459198,
310,89.37747192,
311.0700073,92.73335266,
312,97.42378235,
313.0700073,100.732811,
314,105.2966995,
315.0700073,112.1859131,
316,117.7645721,
317.0700073,126.6929245,
318,133.1578522,
319.0700073,142.2832947,
320,150.1711578,
321.0700073,159.2335815,
322,167.0278625,
323.0700073,174.6143188,
324,178.8937073,
325.0700073,183.6154633,
326,191.6725616,
327.0700073,202.1613007,
328,212.7781982,
329.0700073,225.4450684,
330,237.4141693,
330.9299927,250.1048737,
332.0299988,264.5100708,
332.9599915,274.5511169,
334.0599976,285.5745239,
335,295.650177,
335.9299927,307.0733643,
337.0299988,322.7134705,
337.9599915,332.8737488,
339.0599976,351.0220337,
340,364.858429,
341.0700073,381.9938354,
342,397.2038574,
343.0700073,406.8470459,
344,412.6989441,
345.0700073,422.1514282,
346,426.0002747,
347.0700073,435.4269104,
348,447.4099426,
349.0700073,461.3649902,
350,471.9697571,
351.0700073,482.9571533,
352,495.0271301,
353.0700073,506.4131165,
354,516.9488525,
355.0700073,524.6768188,
356,534.1807861,
357.0700073,543.5485229,
358,551.8164063,
359.0700073,554.0744629,
360,554.6680298,
361.0700073,551.1502075,
362,544.3635254,
363.0700073,533.0541382,
364,528.6335449,
365.0700073,532.5852661,
366,532.2738037,
367.0700073,528.3594971,
368,524.7979736,
369.0700073,515.1264038,
370,504.5642395,
371.0599976,498.5015869,
371.9599915,494.2138062,
373.0299988,488.5045471,
373.9299927,485.3403625,
375,477.8121948,
376.0599976,467.4632263,
376.9599915,460.4851685,
378.0299988,449.5662842,
378.9299927,437.8365784,
380,428.8774414,
381.0700073,418.186554,
382,408.1368713,
383.0700073,391.7625732,
384,374.4545288,
385.0700073,351.3800049,
386,327.4160156,
387.0700073,305.3459473,
388,285.0477905,
389.0700073,256.6089783,
390,233.951889,
391.0700073,206.7344818,
392,186.4924927,
393.0700073,164.2816467,
394,145.3981323,
395.0700073,124.2258682,
396,105.98703,
397.0700073,90.14888763,
398,78.24199677,
399.0700073,65.10266876,
400,55.08941269,
401.0599976,44.65015411,
401.9599915,37.73300934,
403.0299988,31.28736496,
403.9299927,26.46987724,
405,21.47387695,
406.0599976,17.46170616,
406.9599915,14.65354919,
408.0299988,12.03970146,
408.9299927,10.33585739,
410,8.780550957,
411.0700073,7.465190887,
412,6.682285786,
413.0700073,5.743406296,
414,5.1795187,
415.0700073,4.619193554,
416,4.206413269,
417.0700073,3.915529728,
418,3.635000467,
419.0700073,3.384738684,
420,3.303947449,
421.0599976,3.188194275,
421.9599915,3.067172527,
423.0299988,2.983316183,
423.9299927,2.889401436,
425,2.871425629,
426.0599976,2.81893754,
426.9599915,2.836399555,
428.0299988,2.928011417,
428.9299927,2.919366598,
430,2.924284935,
431.0599976,2.882686615,
431.9599915,2.9319489,
433.0299988,2.867058992,
433.9299927,2.838962317,
435,2.830227137,
436.0599976,2.849227905,
436.9599915,2.785006762,
438.0299988,2.732736826,
438.9299927,2.68290925,
440,2.62399745,
441.0599976,2.569108725,
441.9599915,2.499405146,
443.0299988,2.356787205,
443.9299927,2.256553411,
445,2.130034447,
446.0599976,2.035367012,
446.9599915,1.845837593,
448.0299988,1.765530467,
448.9299927,1.687626004,
450,1.63676548,

Sample 40,
Sample 40
Collection Time: 1/08/2023 3:54:39 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         450.00
Em. Wavelength (nm)               460.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 1/08/2023 12:56:44 PM
Method Modifications:
Overlayed Graphs Changed: 1/08/2023 2:04:18 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 1/08/2023 2:04:18 PM, Old: 350.00, New: 327.00
Emission Wavelength Changed: 1/08/2023 2:04:18 PM, Old: 400.00, New: 337.00
