Sample 41,,
Wavelength (nm),Intensity (a.u.),
220,-0.03165759146,
220.9299927,0.871447444,
222.0299988,0.1916167736,
222.9600067,0.3221260309,
224.0599976,0.3151988685,
225,0.06799329072,
225.9299927,0.07795380056,
227.0299988,0.01363977417,
227.9600067,-0.04451071471,
229.0599976,0.07705125213,
230,-0.07247217,
230.9299927,0.01536208391,
232.0299988,0.1092597693,
232.9600067,0.02930317074,
234.0599976,0.01260517444,
235,0.123945646,
235.9299927,-0.06497430056,
237.0299988,-0.08710043132,
237.9600067,0.09851299971,
239.0599976,0.05491136387,
240,-0.02242445759,
240.9299927,-0.05054811016,
242.0299988,0.02701875009,
242.9600067,0.02711026371,
244.0599976,0.01524297334,
245,0.006995192263,
245.9299927,-0.01563588902,
247.0299988,0.03859232366,
247.9600067,0.04278441146,
249.0599976,0.03445670381,
250,-0.02728483267,
250.9299927,0.02096724883,
252.0299988,0.08131033182,
252.9600067,0.03155016527,
254.0599976,0.0691203177,
255,0.07498270273,
255.9299927,0.120279789,
257.0299988,0.04335197434,
257.9599915,0.01931380294,
259.0599976,0.005644912366,
260,0.01486704219,
261.0700073,0.005803336389,
262,0.05391544476,
263.0700073,0.0640174076,
264,0.04575017095,
265.0700073,0.00472253887,
266,0.02022199333,
267.0700073,0.01462727599,
268,0,
269.0700073,0.03177766129,
270,-0.008504154161,
270.9299927,0.04108200222,
272.0299988,0.02519826964,
272.9599915,0.02879842743,
274.0599976,0.001715003978,
275,0.003684184281,
275.9299927,0.05820765346,
277.0299988,0.04672574252,
277.9599915,0.03799337149,
279.0599976,0.02864113078,
280,0.0144966254,
280.9299927,0.009625027888,
282.0299988,-0.01148916781,
282.9599915,0.02409067005,
284.0599976,0.03337291256,
285,-0.009056231938,
285.9299927,0.04775386304,
287.0299988,-0.001726698247,
287.9599915,0.02859047242,
289.0599976,0.01047065575,
290,-0.01757178828,
291.0700073,0.05708592013,
292,0.01878797077,
293.0700073,0.08110903203,
294,0.1170072481,
295.0700073,0.1486954689,
296,0.2130807191,
297.0700073,0.2822536528,
298,0.3659646213,
299.0700073,0.4417649806,
300,0.501486659,
300.9299927,0.5898637176,
302.0299988,0.5832441449,
302.9599915,0.6418396235,
304.0599976,0.6596411467,
305,0.7199938893,
305.9299927,0.6810772419,
307.0299988,0.6970008016,
307.9599915,0.7390915751,
309.0599976,0.6954645514,
310,0.7295991778,
311.0700073,0.7255437374,
312,0.6729442477,
313.0700073,0.6927167773,
314,0.7018707395,
315.0700073,0.7566010952,
316,0.8036725521,
317.0700073,0.7258996367,
318,0.6893152595,
319.0700073,0.7252841592,
320,0.7765716314,
321.0700073,0.7336274385,
322,0.667260468,
323.0700073,0.7403162718,
324,0.6855742931,
325.0700073,0.7683277726,
326,0.6174826026,
327.0700073,0.7036030889,
328,0.6435576081,
329.0700073,0.6038095951,
330,0.7321409583,
330.9299927,0.6630160213,
332.0299988,0.6922727823,
332.9599915,0.6740943789,
334.0599976,0.652571559,
335,0.7279604673,
335.9299927,0.7415992618,
337.0299988,0.6030484438,
337.9599915,0.6132686734,
339.0599976,0.6535925269,
340,0.6874751449,
341.0700073,0.566328764,
342,0.5787518024,
343.0700073,0.5898789167,
344,0.5179989338,
