Sample 24,,
Wavelength (nm),Intensity (a.u.),
220,6.443878174,
220.9299927,6.429214478,
222.0299988,4.133579731,
222.9600067,3.411130905,
224.0599976,2.898755789,
225,2.325100899,
225.9299927,1.433608413,
227.0299988,1.086701155,
227.9600067,1.004469872,
229.0599976,0.9532042742,
230,0.9356244802,
230.9299927,0.9560458064,
232.0299988,1.060747147,
232.9600067,1.190344334,
234.0599976,1.401705384,
235,1.508470654,
235.9299927,1.469020963,
237.0299988,1.101380825,
237.9600067,1.314280152,
239.0599976,1.032618523,
240,0.9985951185,
240.9299927,0.8271815181,
242.0299988,0.6788595319,
242.9600067,0.6797424555,
244.0599976,0.4981522262,
245,0.5402771235,
245.9299927,0.637580812,
247.0299988,0.7598100305,
247.9600067,0.6030314565,
249.0599976,0.7139510512,
250,0.7280670404,
250.9299927,0.9536395073,
252.0299988,1.006491184,
252.9600067,1.240793467,
254.0599976,1.331190467,
255,0.9225668907,
255.9299927,0.9693626761,
257.0299988,0.9434276223,
257.9599915,1.049087763,
259.0599976,1.250396252,
260,1.848791003,
261.0700073,3.541224957,
262,6.528231144,
263.0700073,12.80264187,
264,19.92801666,
265.0700073,29.39660645,
266,37.77639771,
267.0700073,45.31605148,
268,50.73334122,
269.0700073,54.6692276,
270,56.91999054,
270.9299927,56.51766586,
272.0299988,54.23106003,
272.9599915,52.0197525,
274.0599976,48.57559586,
275,45.72248459,
275.9299927,43.18745041,
277.0299988,40.84771729,
277.9599915,38.75987625,
279.0599976,37.43152237,
280,36.79188156,
280.9299927,36.1741333,
282.0299988,35.85683823,
282.9599915,35.40350723,
284.0599976,35.2239151,
285,34.84158707,
285.9299927,34.78801727,
287.0299988,35.04246902,
287.9599915,35.75653839,
289.0599976,36.53991318,
290,37.36472702,
291.0700073,38.21978378,
292,38.63995743,
293.0700073,38.41697311,
294,39.78697205,
295.0700073,38.50253296,
296,38.72386551,
297.0700073,38.1472168,
298,37.53051376,
299.0700073,37.80548096,
300,37.94511032,
300.9299927,37.78004837,
302.0299988,38.30236816,
302.9599915,39.28913116,
304.0599976,40.41155243,
305,42.25790787,
305.9299927,43.76781082,
307.0299988,45.57213211,
307.9599915,46.54063034,
309.0599976,48.19038391,
310,49.98144913,
311.0700073,52.72005844,
312,55.0942421,
313.0700073,58.28302765,
314,61.23595047,
315.0700073,66.30387115,
316,70.89662933,
317.0700073,75.36064148,
318,79.68306732,
319.0700073,84.88900757,
320,89.20559692,
321.0700073,95.00231934,
322,100.6854477,
323.0700073,104.5704956,
324,106.1567383,
325.0700073,111.2938766,
326,116.3493347,
327.0700073,122.7940292,
328,129.2571411,
329.0700073,136.2995605,
330,144.7436218,
330.9299927,153.5441895,
332.0299988,160.1904755,
332.9599915,166.138504,
334.0599976,171.8045349,
335,177.2657776,
335.9299927,181.8454132,
337.0299988,191.9211426,
337.9599915,196.3647461,
339.0599976,204.8531342,
340,212.673584,
341.0700073,222.8507843,
342,231.8804932,
343.0700073,237.0310669,
344,240.0063019,
345.0700073,245.3275452,
346,247.8416138,
347.0700073,256.7766724,
348,263.4103699,
349.0700073,270.7961731,
350,275.5125732,
351.0700073,283.5065308,
352,288.9307556,
353.0700073,294.9821167,
354,301.1054382,
355.0700073,305.1384888,
356,307.7249146,
357.0700073,312.1641235,
358,314.9625549,
359.0700073,317.0733643,
360,316.2408447,
361.0700073,311.5368042,
362,305.0852966,
363.0700073,302.2671814,
364,300.8209534,
365.0700073,303.006958,
366,299.0308228,
367.0700073,298.8098145,
368,296.4304199,
369.0700073,293.6343079,
370,285.203949,
371.0599976,282.0395508,
371.9599915,279.543335,
373.0299988,276.7450867,
373.9299927,272.9215698,
375,267.9595337,
376.0599976,260.6428528,
376.9599915,256.5402832,
378.0299988,247.2205048,
378.9299927,241.0487518,
380,235.8340149,
381.0700073,227.983139,
382,224.3764191,
383.0700073,217.5738983,
384,206.0918884,
385.0700073,195.6209259,
386,184.2272034,
387.0700073,173.779953,
388,164.2070007,
389.0700073,151.0170288,
390,140.2926941,
391.0700073,127.3455048,
392,116.336174,
393.0700073,105.0091324,
394,94.55677032,
395.0700073,83.76740265,
396,73.75141144,
397.0700073,65.27154541,
398,58.27775955,
399.0700073,49.59782028,
400,43.43078613,
401.0599976,36.46507263,
401.9599915,32.0454216,
403.0299988,27.61533165,
403.9299927,23.97044182,
405,20.54764748,
406.0599976,17.01414871,
406.9599915,14.95795822,
408.0299988,12.53598213,
408.9299927,11.30328655,
410,9.588785172,
411.0700073,8.57917881,
412,7.371357918,
413.0700073,6.521849632,
414,5.947544575,
415.0700073,5.394791603,
416,5.053043842,
417.0700073,4.642929077,
418,4.367003918,
419.0700073,4.142841339,
420,3.897702694,
421.0599976,3.815221071,
421.9599915,3.657963276,
423.0299988,3.425209761,
423.9299927,3.484461784,
425,3.34000659,
426.0599976,3.378617764,
426.9599915,3.226737499,
428.0299988,3.383004427,
428.9299927,3.303913832,
430,3.452584028,
431.0599976,3.580156088,
431.9599915,3.588238001,
433.0299988,3.614289045,
433.9299927,3.662853003,
435,3.556105137,
436.0599976,3.553537607,
436.9599915,3.523020267,
438.0299988,3.359955311,
438.9299927,3.297168493,
440,3.187945843,
441.0599976,3.210508585,
441.9599915,3.00336504,
443.0299988,2.995285511,
443.9299927,2.965806007,
445,2.956857443,
446.0599976,2.783569813,
446.9599915,2.587340355,
448.0299988,2.532799244,
448.9299927,2.443543673,
450,2.365229368,
451.0599976,2.211484432,
451.9599915,2.085731506,
453.0299988,1.947734237,
453.9299927,1.877011061,
455,1.764514923,
456.0599976,1.659315586,
456.9599915,1.512905955,
458.0299988,1.512827158,
458.9299927,1.425495744,
460,1.303876996,
461.0599976,1.328931928,
461.9599915,1.334833741,
463.0299988,1.302814364,
463.9299927,1.205489635,
465,1.109100461,
466.0599976,1.169491887,
466.9599915,1.104715705,
468.0299988,1.060603023,
468.9299927,1.003803968,
470,0.9654609561,
471.0400085,0.9839771986,
471.9400024,0.9501492977,
472.980011,0.9955379367,
474.019989,0.9758674502,
475.0700073,0.9803707004,
475.9700012,1.068313479,
477.0100098,0.9531316757,
478.0499878,1.038508534,
478.9500122,1.041148543,
480,1.148212075,
481.0599976,1.128145456,
481.9599915,1.141060948,
483.0299988,1.099652648,
483.9299927,1.200011969,
485,1.222411871,
486.0599976,1.272225857,
486.9599915,1.32016623,
488.0299988,1.358120799,
488.9299927,1.443810701,
490,1.57004106,

Sample 24,
Sample 24
Collection Time: 5/05/2023 4:22:25 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         490.00
Em. Wavelength (nm)               500.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/05/2023 1:46:27 PM
Method Modifications:
User Delta Stop Changed: 5/05/2023 2:37:38 PM, Old: 450.00, New: 690.00
User Delta Increment Changed: 5/05/2023 2:37:38 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 350.00, New: 690.00
Emission Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 400.00, New: 700.00
Stop Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 5/05/2023 2:38:01 PM, Old: 690.00, New: 630.00
Emission Wavelength Changed: 5/05/2023 2:38:01 PM, Old: 700.00, New: 640.00
Overlayed Graphs Changed: 5/05/2023 2:38:31 PM, Old:OFF, New:ON
Scan mode: Changed: 5/05/2023 2:40:13 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 5/05/2023 2:40:13 PM, Old: 690.00, New: 780.00
