Sample 30,,
Wavelength (nm),Intensity (a.u.),
220,1.292917609,
220.9299927,0.2574333847,
222.0299988,0.9125128388,
222.9600067,-0.5367206335,
224.0599976,0.2064409703,
225,0.3043985665,
225.9299927,0.03848225996,
227.0299988,0.1158849299,
227.9600067,0.2188130617,
229.0599976,0.2232391983,
230,0.1823860705,
230.9299927,0.02333613299,
232.0299988,0.1533703208,
232.9600067,0.02720940486,
234.0599976,0.3193311691,
235,-0.1437235922,
235.9299927,0.02851683833,
237.0299988,-0.2668730319,
237.9600067,0,
239.0599976,-0.1008267775,
240,0.01662399806,
240.9299927,0,
242.0299988,-0.0660449639,
242.9600067,-0.02388145216,
244.0599976,0.02226328664,
245,0.0311989747,
245.9299927,-0.08922994137,
247.0299988,0.06748028845,
247.9600067,0.05032560602,
249.0599976,-0.04390345514,
250,0.1336557269,
250.9299927,0.08139235526,
252.0299988,-0.1310482472,
252.9600067,0.1109051481,
254.0599976,0.1773478389,
255,0.0455615446,
255.9299927,0.1339028627,
257.0299988,0.3157424927,
257.9599915,0.3935307264,
259.0599976,0.161579743,
260,0.2978480458,
261.0700073,0.3390072286,
262,0.3767679036,
263.0700073,0.5445767045,
264,0.4717084467,
265.0700073,0.6222775578,
266,0.7387191057,
267.0700073,0.8430922031,
268,0.7921743393,
269.0700073,0.7833501101,
270,0.7815926671,
270.9299927,0.7725788355,
272.0299988,0.7772638798,
272.9599915,0.8467795253,
274.0599976,0.7451326251,
275,0.9824302793,
275.9299927,0.8206601143,
277.0299988,0.9181702733,
277.9599915,0.9300655723,
279.0599976,0.8695311546,
280,0.904314518,
280.9299927,0.9447898865,
282.0299988,0.9270327687,
282.9599915,0.8128772378,
284.0599976,0.7700066566,
285,0.9004673362,
285.9299927,0.8398957849,
287.0299988,0.8641684651,
287.9599915,0.8635923862,
289.0599976,0.8516039848,
290,0.8321635723,
291.0700073,0.8955435157,
292,0.8530285954,
293.0700073,0.9352281094,
294,0.9589306116,
295.0700073,0.8627418876,
296,0.8967550397,
297.0700073,1.069185615,
298,0.9542204738,
299.0700073,0.949351728,
300,0.9558582902,
300.9299927,0.9041756392,
302.0299988,1.012477279,
302.9599915,0.9093793035,
304.0599976,0.968034029,
305,1.073671103,
305.9299927,1.07596302,
307.0299988,1.178076744,
307.9599915,1.072209239,
309.0599976,1.071331978,
310,1.092161655,
311.0700073,1.026239395,
312,1.129325271,
313.0700073,1.118594527,
314,1.015794396,
315.0700073,1.132430792,
316,1.125509501,
317.0700073,1.222968817,
318,1.182662249,
319.0700073,1.11809504,
320,1.05879426,
321.0700073,1.270349145,
322,1.322193146,
323.0700073,1.21503365,
324,1.16570425,
325.0700073,1.113662243,
326,1.242273688,
327.0700073,1.047991872,
328,1.231385469,
329.0700073,1.357502222,
330,1.46175611,
330.9299927,1.305419087,
332.0299988,1.163674712,
332.9599915,1.118620396,
334.0599976,1.326648593,
335,1.164014459,
335.9299927,1.29616487,
337.0299988,1.237875938,
337.9599915,1.139889836,
339.0599976,1.351416588,
340,1.42229116,
341.0700073,1.320803404,
342,1.301740289,
343.0700073,1.267277718,
344,1.230597138,
345.0700073,1.144659996,
346,1.392131567,
347.0700073,1.22149837,
348,1.406969786,
349.0700073,1.455943227,
350,1.390453219,
351.0700073,1.334840655,
352,1.302115679,
353.0700073,1.375693679,
354,1.16588068,
355.0700073,1.302523494,
356,1.334361792,
357.0700073,1.366004348,
358,1.344469428,
359.0700073,1.287482381,
360,1.278089881,
361.0700073,1.222483993,
362,1.376884341,
363.0700073,1.174276471,
364,1.257849813,
365.0700073,1.171215057,
366,1.354983926,
367.0700073,1.158592224,
368,1.266666651,
369.0700073,1.303121924,
370,1.252368569,
371.0599976,1.196070075,
371.9599915,1.265100956,
373.0299988,1.260239363,
373.9299927,1.252586365,
375,1.2282058,
376.0599976,1.132088065,
376.9599915,1.218181372,
378.0299988,1.065959454,
378.9299927,1.279546261,
380,1.156998515,
381.0700073,1.219858885,
382,0.9765542746,
383.0700073,1.059948683,
384,1.067499399,
385.0700073,1.025306702,
386,1.16963625,
387.0700073,1.185314417,
388,1.338896036,
389.0700073,1.351854682,
390,1.393645763,
391.0700073,1.481277466,
392,1.392992616,
393.0700073,1.311621666,
394,1.145060778,
395.0700073,1.044706702,
396,0.8789123893,
397.0700073,0.8179244399,
398,0.8118774295,
399.0700073,0.7580064535,
400,0.7621740103,
401.0599976,0.7548419237,
401.9599915,0.7654469609,
403.0299988,0.6878249049,
403.9299927,0.6806069016,
405,0.6783366203,
406.0599976,0.6756383181,
406.9599915,0.581086278,
408.0299988,0.6358338594,
408.9299927,0.6085034013,
410,0.4488992989,
411.0700073,0.534470439,
412,0.5637806058,
413.0700073,0.5046681762,
414,0.525975883,
