Sample 35,,
Wavelength (nm),Intensity (a.u.),
220,20.50628853,
220.9299927,20.51704025,
222.0299988,21.07683945,
222.9600067,21.72539139,
224.0599976,24.88446426,
225,28.84897804,
225.9299927,31.49903488,
227.0299988,34.31764984,
227.9600067,35.35826874,
229.0599976,37.50751877,
230,40.9796524,
230.9299927,44.28791428,
232.0299988,51.70475388,
232.9600067,59.57717514,
234.0599976,67.87446594,
235,75.93125153,
235.9299927,82.95178223,
237.0299988,94.10175323,
237.9600067,105.16008,
239.0599976,115.7602615,
240,120.6515427,
240.9299927,123.0604706,
242.0299988,124.8525772,
242.9600067,130.7843323,
244.0599976,138.2859497,
245,145.3038025,
245.9299927,148.7044678,
247.0299988,149.7077026,
247.9600067,148.1936493,
249.0599976,143.2854767,
250,137.6488342,
250.9299927,133.3260193,
252.0299988,126.4796829,
252.9600067,119.868042,
254.0599976,111.432251,
255,102.8476028,
255.9299927,96.47677612,
257.0299988,86.42382813,
257.9599915,78.34262085,
259.0599976,69.40423584,
260,61.88220978,
261.0700073,53.79664612,
262,47.27783966,
263.0700073,40.91322708,
264,37.2669754,
265.0700073,33.86846542,
266,31.60717773,
267.0700073,29.06377983,
268,27.05975342,
269.0700073,24.99671745,
270,23.09098244,
270.9299927,21.08543777,
272.0299988,18.61221313,
272.9599915,17.17079163,
274.0599976,15.44822884,
275,14.19159412,
275.9299927,13.30625534,
277.0299988,12.72105694,
277.9599915,12.3784008,
279.0599976,12.24691868,
280,12.32991314,
280.9299927,12.39461994,
282.0299988,12.48669624,
282.9599915,12.35839939,
284.0599976,12.48981571,
285,12.57067776,
285.9299927,12.69158268,
287.0299988,12.98408127,
287.9599915,13.12883091,
289.0599976,13.52214909,
290,13.75949192,
291.0700073,14.08421898,
292,14.40189266,
293.0700073,14.60674667,
294,14.8387537,
295.0700073,14.7800045,
296,14.54108429,
297.0700073,14.42706966,
298,14.26613426,
299.0700073,14.32706165,
300,14.5677042,
300.9299927,14.67889595,
302.0299988,15.13763618,
302.9599915,15.69098377,
304.0599976,16.15429688,
305,17.03736115,
305.9299927,17.84704781,
307.0299988,18.79450798,
307.9599915,19.49859619,
309.0599976,20.09867859,
310,20.82350731,
311.0700073,21.76617241,
312,23.0701313,
313.0700073,24.28051949,
314,25.77562141,
315.0700073,27.59822464,
316,29.49530792,
317.0700073,31.41512299,
318,32.97948456,
319.0700073,34.93893051,
320,37.14548111,
321.0700073,39.5240097,
322,41.48845673,
323.0700073,43.30171204,
324,44.38687134,
325.0700073,45.4272728,
326,47.66667557,
327.0700073,50.28655624,
328,52.55644608,
329.0700073,55.54506302,
330,59.28295898,
330.9299927,62.20487213,
332.0299988,65.17540741,
332.9599915,67.90164948,
334.0599976,69.83189392,
335,71.53747559,
335.9299927,74.52114105,
337.0299988,77.0730896,
337.9599915,79.45412445,
339.0599976,82.66914368,
340,85.69797516,
341.0700073,89.26381683,
342,92.90524292,
343.0700073,93.98827362,
344,95.00525665,
345.0700073,96.22754669,
346,97.50485992,
347.0700073,99.70710754,
348,101.3711014,
349.0700073,104.0139236,
350,106.611618,
351.0700073,109.0295792,
352,111.481102,
353.0700073,113.8302917,
354,115.708847,
355.0700073,116.5813446,
356,117.0630951,
357.0700073,118.1864929,
358,118.8895645,
359.0700073,118.7926407,
360,117.3250427,
361.0700073,114.3523636,
362,111.3712006,
363.0700073,108.3766327,
364,106.0493698,
365.0700073,104.6876831,
366,104.4587326,
367.0700073,102.0129089,
368,100.9202499,
369.0700073,98.78653717,
370,96.45613098,
371.0599976,95.18627167,
371.9599915,93.78944397,
373.0299988,92.49584198,
373.9299927,90.99781799,
375,88.777565,
376.0599976,85.71312714,
376.9599915,82.86733246,
378.0299988,79.49984741,
378.9299927,75.99194336,
380,71.71221924,
381.0700073,67.98117828,
382,64.44408417,
383.0700073,59.92068863,
384,55.65233612,
385.0700073,50.60823822,
386,45.67150879,
387.0700073,41.2858963,
388,37.54242706,
389.0700073,32.60435486,
390,28.85533524,
391.0700073,24.72476578,
392,21.82588959,
393.0700073,18.91033363,
394,16.32168579,
395.0700073,13.78024101,
396,11.62200165,
397.0700073,9.725528717,
398,8.490234375,
399.0700073,7.009671211,
400,6.017613411,
401.0599976,5.024526596,
401.9599915,4.380910873,
403.0299988,3.790491819,
403.9299927,3.374450922,
405,2.946269035,
406.0599976,2.661169052,
406.9599915,2.447310448,
408.0299988,2.290885687,
408.9299927,2.151379108,
410,2.043763161,
411.0700073,1.985675454,
412,1.901179194,
413.0700073,1.864361644,
414,1.866854548,
415.0700073,1.75901866,
416,1.758885026,
417.0700073,1.748636127,
418,1.734038234,
419.0700073,1.699610472,
420,1.651920199,
421.0599976,1.62763989,
421.9599915,1.621196151,
423.0299988,1.582729936,
423.9299927,1.593199134,
425,1.562536478,
426.0599976,1.575281143,
426.9599915,1.546204925,
428.0299988,1.573411107,
428.9299927,1.618041396,
430,1.725076199,
431.0599976,1.765465021,
431.9599915,1.836369038,
433.0299988,1.814012647,
433.9299927,1.876170993,
435,1.809053302,
436.0599976,1.7895509,
436.9599915,1.661588192,
438.0299988,1.593034863,
438.9299927,1.484496593,
440,1.355546117,
441.0599976,1.298464417,
441.9599915,1.204564095,
443.0299988,1.172624111,
443.9299927,1.126169682,
445,1.045110345,
446.0599976,0.9604914784,
446.9599915,0.914108336,
448.0299988,0.8034942746,
448.9299927,0.7870010138,
450,0.7136746049,
451.0599976,0.653188765,
451.9599915,0.6119254231,
453.0299988,0.5512024164,
453.9299927,0.5160176158,
455,0.4825237095,
456.0599976,0.3916713893,
456.9599915,0.3797595501,
458.0299988,0.3745764196,
458.9299927,0.3037132621,
460,0.2636290193,
461.0599976,0.2824450433,
461.9599915,0.2669873238,
463.0299988,0.277217418,
463.9299927,0.2597521544,
465,0.2918538153,
466.0599976,0.2765311301,
466.9599915,0.2489186823,
468.0299988,0.2477390468,
468.9299927,0.2175451517,
470,0.2480409741,
471.0400085,0.2286206782,
471.9400024,0.22339046,
472.980011,0.2196208984,
474.019989,0.2896319628,
475.0700073,0.2374183536,
475.9700012,0.2643621564,
477.0100098,0.2294987291,
478.0499878,0.2194587737,
478.9500122,0.2259435505,
480,0.1967152208,
481.0599976,0.1989278793,
481.9599915,0.1702725142,
483.0299988,0.15740408,
483.9299927,0.1417353898,
485,0.1564950049,
486.0599976,0.1652376652,
486.9599915,0.1798672229,
488.0299988,0.175638333,
488.9299927,0.1751190424,
490,0.2176563591,

Sample 35,
Sample 35
Collection Time: 22/08/2023 1:47:22 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         490.00
Em. Wavelength (nm)               500.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 22/08/2023 11:38:10 AM
Method Modifications:
Overlayed Graphs Changed: 22/08/2023 11:47:15 AM, Old:OFF, New:ON
Scan Control Changed: 22/08/2023 11:47:15 AM, Old:Medium, New:Slow
Ave. time (s): Changed: 22/08/2023 11:47:15 AM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 600.00, New: 750.00
Excitation Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 340.00, New: 378.00
Emission Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 350.00, New: 390.00
PMT Volts Changed: 22/08/2023 11:52:22 AM, Old:600, New:800
Emission PMT (V): Changed: 22/08/2023 11:52:22 AM, Old: 600, New: 800
Scan mode: Changed: 22/08/2023 11:59:48 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 22/08/2023 11:59:48 AM, Old: 450.00, New: 483.00
User Delta Increment Changed: 22/08/2023 11:59:48 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 378.00, New: 220.00
Emission Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 390.00, New: 483.00
Stop Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 750.00, New: 373.00
Stop Wavelength Changed: 22/08/2023 12:02:41 PM, Old: 373.00, New: 473.00
PMT Volts Changed: 22/08/2023 12:08:26 PM, Old:800, New:600
Emission PMT (V): Changed: 22/08/2023 12:08:26 PM, Old: 800, New: 600
Scan mode: Changed: 22/08/2023 12:08:56 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 220.00, New: 325.00
Emission Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 483.00, New: 335.00
Stop Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 473.00, New: 750.00
Scan mode: Changed: 22/08/2023 12:18:15 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 22/08/2023 12:18:15 PM, Old: 483.00, New: 500.00
Excitation Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 325.00, New: 220.00
Emission Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 335.00, New: 500.00
Stop Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 750.00, New: 490.00
Scan mode: Changed: 22/08/2023 12:25:59 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 22/08/2023 12:25:59 PM, Old: 220.00, New: 400.00
Emission Wavelength Changed: 22/08/2023 12:25:59 PM, Old: 500.00, New: 410.00
Stop Wavelength Changed: 22/08/2023 12:25:59 PM, Old: 490.00, New: 750.00
