Sample 36,,
Wavelength (nm),Intensity (a.u.),
220,0.2883044481,
220.9299927,-0.423992306,
222.0299988,0.4240282476,
222.9600067,0.2409154773,
224.0599976,0.3621933162,
225,0.3088008463,
225.9299927,0.3439274728,
227.0299988,0.3428518474,
227.9600067,0.4396411479,
229.0599976,0.4851593971,
230,0.6241291165,
230.9299927,0.7937713265,
232.0299988,0.8664009571,
232.9600067,0.8944812417,
234.0599976,0.6404362321,
235,0.5632305145,
235.9299927,0.5259640813,
237.0299988,0.3034702539,
237.9600067,0.4965164661,
239.0599976,0.4419088662,
240,0.5149311423,
240.9299927,0.5735022426,
242.0299988,0.6041396856,
242.9600067,1.025382996,
244.0599976,2.231148958,
245,4.495680809,
245.9299927,6.858470917,
247.0299988,9.618079185,
247.9600067,11.44224262,
249.0599976,12.06558418,
250,10.99056053,
250.9299927,8.675227165,
252.0299988,5.060937405,
252.9600067,2.449258089,
254.0599976,0.9741489291,
255,0.4155254364,
255.9299927,0.2977479398,
257.0299988,0.2732543349,
257.9599915,0.2299738079,
259.0599976,0.2374023795,
260,0.2637931406,
261.0700073,0.2224546522,
262,0.2084197402,
263.0700073,0.2566735148,
264,0.1985360235,
265.0700073,0.2012873143,
266,0.1942402124,
267.0700073,0.1841100156,
268,0.212329939,
269.0700073,0.2485462725,
270,0.2243480682,
270.9299927,0.1810995191,
272.0299988,0.2290241271,
272.9599915,0.1881107241,
274.0599976,0.1934448332,
275,0.1951070726,
275.9299927,0.2459097654,
277.0299988,0.1883510202,
277.9599915,0.2016039491,
279.0599976,0.2277534902,
280,0.1938524097,
280.9299927,0.2144596577,
282.0299988,0.154098466,
282.9599915,0.2168103755,
284.0599976,0.1555785835,
285,0.213104561,
285.9299927,0.1941320896,
287.0299988,0.2282105982,
287.9599915,0.1880081594,
289.0599976,0.1959406435,
290,0.1931453794,
291.0700073,0.2070902139,
292,0.2090748399,
293.0700073,0.1739789844,
294,0.1506878734,
295.0700073,0.158011809,
296,0.2156131715,
297.0700073,0.1711938828,
298,0.2047196031,
299.0700073,0.1742338091,
300,0.1918316334,
300.9299927,0.2248160392,
302.0299988,0.2049650103,
302.9599915,0.2126405984,
304.0599976,0.2198712826,
305,0.1600957811,
305.9299927,0.2069032043,
307.0299988,0.177528888,
307.9599915,0.1838980615,
309.0599976,0.2040169686,
310,0.17180188,
311.0700073,0.1150636375,
312,0.1651854962,
313.0700073,0.1950103045,
314,0.1436537057,
315.0700073,0.1399668455,
316,0.1332926452,
317.0700073,0.2124454379,
318,0.1848638654,
319.0700073,0.1473540217,
320,0.1834005862,
321.0700073,0.1637922674,
322,0.1607577503,
323.0700073,0.134100154,
324,0.1447963715,
325.0700073,0.1200373024,
326,0.1010924503,
327.0700073,0.16463615,
328,0.2212878913,
329.0700073,0.1349620968,
330,0.1261306703,
330.9299927,0.1658477932,
332.0299988,0.1596684307,
