Sample 19,,
Wavelength (nm),Intensity (a.u.),
300,6.25791502,
300.9299927,5.163660526,
302.0299988,3.813644171,
302.9599915,3.078791618,
304.0599976,2.34942627,
305,1.734199882,
305.9299927,1.428193092,
307.0299988,1.115524769,
307.9599915,1.042520761,
309.0599976,0.8464581966,
310,0.7247362733,
311.0700073,0.559859395,
312,0.5822783113,
313.0700073,1.417409778,
314,3.759497404,
315.0700073,10.11212254,
316,17.24588776,
317.0700073,24.92255592,
318,27.11008835,
319.0700073,25.05644035,
320,18.23927689,
321.0700073,9.718493462,
322,3.81749177,
323.0700073,1.205373645,
324,0.4113437533,
325.0700073,0.1656069756,
326,0.1521427333,
327.0700073,0.1491636932,
328,0.1781979799,
329.0700073,0.1117314696,
330,0.1301985234,
330.9299927,0.07893390954,
332.0299988,-0.03616196662,
332.9599915,0.01975861564,
334.0599976,0.0749906227,
335,0.08497732133,
335.9299927,0.1066986769,
337.0299988,0.1217026189,
337.9599915,0.1185147017,
339.0599976,0.07919537276,
340,0.01668440737,
341.0700073,0.07860425115,
342,0.05371655524,
343.0700073,0.1098461896,
344,0.08342221379,
345.0700073,0.0454057008,
346,0.05360956118,
347.0700073,0.009340643883,
348,0.06870491058,
349.0700073,0.04971568659,
350,0.05491588637,
351.0700073,0.09880245477,
352,0.02478417009,
353.0700073,0.04887522757,
354,0.02320880257,
355.0700073,0.02405228652,
356,0.03957236931,
357.0700073,0.04140248895,
358,0.01790577732,
359.0700073,0.02709311247,
360,0.01644820534,
361.0700073,0.0225405097,
362,0.005232853349,
363.0700073,0.01501442306,
364,0.006097052712,
365.0700073,0.05859670043,
366,0.05613404885,
367.0700073,0.03124909848,
368,0.01459822059,
369.0700073,0.0368486084,
370,0.02724746056,
371.0599976,0.02237251587,
371.9599915,0.05444357544,
373.0299988,0.01915492862,
373.9299927,0.0281148199,
375,0.02347123995,
376.0599976,0.04754851013,
376.9599915,0.04902895167,
378.0299988,0.009158566594,
378.9299927,0.02648735978,
380,0.04010925069,
381.0700073,0.04510710388,
382,0.05220296606,
383.0700073,0.005423444789,
384,-0.01253410988,
385.0700073,0.01202406175,
386,0.01178419497,
387.0700073,-0.003225005465,
388,0.02883986756,
389.0700073,0.02192628756,
390,0.02039832249,
391.0700073,0.01718107425,
392,0.006946268026,
393.0700073,0.004169196822,
394,-0.004222301301,
395.0700073,-0.002972541144,
396,0.007508285344,
397.0700073,0.01852351986,
398,0.003047577338,
399.0700073,0.02126373351,
400,0.02146179415,
401.0599976,0.01308358274,
401.9599915,-0.006872427184,
403.0299988,0.03591347113,
