Sample 14,,
Wavelength (nm),Intensity (a.u.),
220,9.640666008,
220.9299927,7.864878654,
222.0299988,7.37922287,
222.9600067,4.807247639,
224.0599976,4.153398991,
225,3.312972307,
225.9299927,2.505299568,
227.0299988,1.953356147,
227.9600067,1.614895105,
229.0599976,1.357327342,
230,1.468139291,
230.9299927,1.608882785,
232.0299988,1.753984571,
232.9600067,1.945784569,
234.0599976,2.352084637,
235,2.323302984,
235.9299927,2.313653231,
237.0299988,1.797015429,
237.9600067,1.924767733,
239.0599976,1.591275096,
240,1.080061793,
240.9299927,1.247895122,
242.0299988,1.086313844,
242.9600067,1.029046059,
244.0599976,1.0062778,
245,1.00156033,
245.9299927,0.9396864176,
247.0299988,1.07640481,
247.9600067,0.9788826704,
249.0599976,1.279327154,
250,1.491782546,
250.9299927,1.726598144,
252.0299988,1.790254354,
252.9600067,1.96630621,
254.0599976,1.963697195,
255,1.672604442,
255.9299927,1.657163739,
257.0299988,1.288076639,
257.9599915,1.335872054,
259.0599976,1.48989749,
260,2.244250536,
261.0700073,4.492994308,
262,8.729887009,
263.0700073,18.03842354,
264,29.88897514,
265.0700073,44.57950974,
266,55.52194595,
267.0700073,68.02541351,
268,73.06158447,
269.0700073,77.62767029,
270,78.42861938,
270.9299927,75.80778503,
272.0299988,70.7938385,
272.9599915,66.43893433,
274.0599976,61.99214935,
275,56.52855301,
275.9299927,53.73792648,
277.0299988,50.75121307,
277.9599915,47.8151741,
279.0599976,45.90908051,
280,44.92154694,
280.9299927,43.43958664,
282.0299988,43.1013031,
282.9599915,41.99765015,
284.0599976,41.05142593,
285,41.32237625,
285.9299927,41.68384933,
287.0299988,42.50343704,
287.9599915,43.1482048,
289.0599976,43.79170609,
290,46.19937515,
291.0700073,47.28610611,
292,49.50900269,
293.0700073,51.09617996,
294,52.7384491,
295.0700073,53.63100052,
296,54.47823715,
297.0700073,54.54797363,
298,54.63862228,
299.0700073,56.71123886,
300,57.34300995,
300.9299927,59.43147659,
302.0299988,61.43801117,
302.9599915,62.26051712,
304.0599976,63.02396393,
305,64.69707489,
305.9299927,66.00589752,
307.0299988,66.99469757,
307.9599915,66.60590363,
309.0599976,66.45537567,
310,65.96857452,
311.0700073,64.94424438,
312,64.29418945,
313.0700073,63.98023605,
314,65.54423523,
315.0700073,68.00949097,
316,71.15597534,
317.0700073,73.55991364,
318,75.41790771,
319.0700073,73.195755,
320,69.49359131,
321.0700073,63.52796555,
322,59.15629959,
323.0700073,56.48162079,
324,54.99797058,
325.0700073,52.52132797,
326,50.38061905,
327.0700073,48.75606537,
328,47.89491653,
329.0700073,47.22602081,
330,45.80682755,
330.9299927,44.78128052,
332.0299988,43.98999023,
332.9599915,42.01337051,
334.0599976,40.65655136,
335,39.15285873,
335.9299927,38.41249084,
337.0299988,36.13898468,
337.9599915,35.10633087,
339.0599976,33.5653801,
340,32.61708069,
341.0700073,32.01861572,
342,30.08654785,
343.0700073,28.85352898,
344,27.39448929,
345.0700073,26.62791443,
346,24.44011879,
347.0700073,23.25649643,
348,22.62042046,
349.0700073,21.6132946,
350,21.15308952,
351.0700073,20.02971458,
352,18.76052666,
353.0700073,18.32384872,
354,17.77171707,
355.0700073,17.19662094,
356,16.74050331,
357.0700073,16.09459496,
358,15.9817543,
359.0700073,15.35042,
360,15.0929451,
361.0700073,14.33648777,
362,14.01575279,
363.0700073,13.31174564,
364,12.85749817,
365.0700073,12.22838402,
366,12.29850769,
367.0700073,11.53322029,
368,11.32988262,
369.0700073,10.84086227,
370,10.96233463,
371.0599976,10.82200718,
371.9599915,10.65184784,
373.0299988,10.40300751,
373.9299927,10.42875862,
375,10.34572124,
376.0599976,10.14719296,
376.9599915,9.964473724,
378.0299988,10.0951786,
378.9299927,10.07114601,
380,10.32362175,
381.0700073,10.32667255,
382,10.35362053,
383.0700073,10.46025085,
384,10.69880867,
385.0700073,10.64001656,
386,10.55775166,
387.0700073,10.53101063,
388,10.78548145,
389.0700073,10.67763519,
390,10.65828514,
391.0700073,10.49851799,
392,10.36926651,
393.0700073,10.15195656,
394,10.12128353,
395.0700073,10.23977089,
396,9.924610138,
397.0700073,9.982272148,
398,10.29638672,
399.0700073,10.32927227,
400,10.06831074,
401.0599976,10.3768549,
401.9599915,10.14914608,
403.0299988,10.16107368,
403.9299927,10.10632992,
405,9.936495781,
406.0599976,10.02285385,
406.9599915,9.994739532,
408.0299988,10.21413612,
408.9299927,10.00423622,
410,10.53949928,
411.0700073,10.46872044,
412,10.62923431,
413.0700073,10.8458395,
414,11.17414856,
415.0700073,11.71140003,
416,11.64672852,
417.0700073,12.12387657,
418,12.09590626,
419.0700073,12.42701244,
420,12.68143654,
421.0599976,12.86742973,
421.9599915,13.05020809,
423.0299988,13.47568703,
423.9299927,13.64441204,
425,13.8745079,
426.0599976,14.45367241,
426.9599915,14.84464455,
428.0299988,15.58672142,
428.9299927,16.35936928,
430,17.47066307,
431.0599976,18.28184128,
431.9599915,18.82772064,
433.0299988,19.63646889,
433.9299927,20.28429031,
435,21.55918694,
436.0599976,22.91145706,
436.9599915,24.19661522,
438.0299988,24.84868622,
438.9299927,26.11996269,
440,27.23557663,
441.0599976,28.03751564,
441.9599915,29.53701019,
443.0299988,31.02391243,
443.9299927,32.36671829,
445,34.39554977,
446.0599976,35.50623703,
446.9599915,36.9330368,
448.0299988,37.83371735,
448.9299927,39.44017029,
450,41.30954361,
451.0599976,43.60165787,
451.9599915,45.69145203,
453.0299988,48.65005493,
453.9299927,50.69188309,
455,53.6360321,
456.0599976,57.52090073,
456.9599915,60.64451218,
458.0299988,62.71846008,
458.9299927,64.17544556,
460,64.90166473,
461.0599976,66.75131989,
461.9599915,68.95462799,
463.0299988,72.10047913,
463.9299927,77.22253418,
465,80.7877121,
466.0599976,83.1788559,
466.9599915,86.4214325,
468.0299988,91.10290527,
468.9299927,93.98982239,
470,97.80123901,
471.0400085,101.3883362,
471.9400024,105.2295609,
472.980011,109.1921921,
474.019989,115.0437927,
475.0700073,119.4056015,
475.9700012,123.7295685,
477.0100098,128.4773407,
478.0499878,135.8222198,
478.9500122,142.0230255,
480,151.5664978,
