Sample 15,,
Wavelength (nm),Intensity (a.u.),
220,-0.7369197011,
220.9299927,-0.9025270939,
222.0299988,0.2149844021,
222.9600067,-0.08986341208,
224.0599976,0.06900358945,
225,0.1510954499,
225.9299927,-0.07646721601,
227.0299988,-0.05824281648,
227.9600067,0.09764194489,
229.0599976,-0.1101006344,
230,-0.04534530267,
230.9299927,-0.09260545671,
232.0299988,0.05147077888,
232.9600067,0.2204403281,
234.0599976,0.31806615,
235,-0.05812939629,
235.9299927,0.2051101774,
237.0299988,-0.02723905072,
237.9600067,0.2830589414,
239.0599976,-0.1750291735,
240,-0.03326237574,
240.9299927,0.08946411312,
242.0299988,0.01343111228,
242.9600067,-0.03808701411,
244.0599976,0.1638461649,
245,0.06357683241,
245.9299927,0.14859429,
247.0299988,0,
247.9600067,0.09167489409,
249.0599976,0.06644959748,
250,0.07415097207,
250.9299927,0.01353582926,
252.0299988,-0.0152385598,
252.9600067,0.08162599057,
254.0599976,0.09978048503,
255,0,
255.9299927,-0.02774271369,
257.0299988,0,
257.9599915,0.07998160273,
259.0599976,0.01800066605,
260,0,
261.0700073,-0.02782853879,
262,0.03087531589,
263.0700073,0.1473722309,
264,0.2155585438,
265.0700073,0.3142254353,
266,0.4768615961,
267.0700073,0.5896705985,
268,0.7488879561,
269.0700073,1.035952687,
270,0.9618621469,
270.9299927,1.04024899,
272.0299988,1.156042099,
272.9599915,1.187509298,
274.0599976,1.300491571,
275,1.279856443,
275.9299927,1.442582726,
277.0299988,1.383103251,
277.9599915,1.341793656,
279.0599976,1.42226088,
280,1.414282322,
280.9299927,1.289973974,
282.0299988,1.258215666,
282.9599915,1.274744391,
284.0599976,1.163758516,
285,1.194780946,
285.9299927,1.107473373,
287.0299988,1.046749473,
287.9599915,1.105935812,
289.0599976,1.233785987,
290,1.243636727,
291.0700073,1.142346263,
292,0.9619160891,
293.0700073,0.8628715277,
294,0.721139729,
295.0700073,0.5906976461,
296,0.5060939193,
297.0700073,0.4901443124,
298,0.5579622388,
299.0700073,0.5159565806,
300,0.5189414024,
300.9299927,0.6349627376,
302.0299988,0.5908539891,
302.9599915,0.6480468512,
304.0599976,0.6511806846,
305,0.6035333872,
305.9299927,0.6912417412,
307.0299988,0.5095620751,
307.9599915,0.4282698035,
309.0599976,0.2534751594,
310,0.3444848061,
311.0700073,0.3547801375,
312,0.4563530982,
313.0700073,0.979736805,
314,2.080952644,
315.0700073,5.929641724,
316,10.07311153,
317.0700073,14.59347725,
318,15.20325851,
319.0700073,13.99621868,
320,9.612217903,
321.0700073,5.247476578,
322,2.035297394,
323.0700073,0.6882126927,
324,0.2044683248,
325.0700073,0.1245778278,
326,0.0441410169,
327.0700073,0.2289307415,
328,-0.04817574471,
329.0700073,0.01602050476,
330,0.1843070984,
330.9299927,0.04804381728,
332.0299988,0,
332.9599915,0,
334.0599976,0.1225321293,
335,0.1405064613,
335.9299927,-0.04728356004,
337.0299988,0.09438859671,
337.9599915,0.1110476553,
339.0599976,-0.06322411448,
340,0.04699174687,
341.0700073,0.1056954786,
342,0.1019427329,
343.0700073,0.1866368055,
344,-0.01389718801,
345.0700073,0.1112919599,
346,0.210798502,
347.0700073,0.04383273423,
348,-0.07360843569,
349.0700073,0.1011516899,
350,0.0825105235,
351.0700073,0.1710481346,
352,0.04986909404,
353.0700073,0.1313181967,
354,0.08561643958,
355.0700073,0.03930006549,
356,0.02735828422,
357.0700073,0.07528797537,
358,0,
359.0700073,0,
360,0.01483701542,
361.0700073,0.06723041087,
362,0.04028651863,
363.0700073,0.0170008745,
364,0.06593137234,
365.0700073,0.07294554263,
366,0.08638188988,
367.0700073,0.01121302508,
368,-0.03481934592,
369.0700073,0,
370,-0.05572582781,
371.0599976,0.02180145308,
371.9599915,0.06182125211,
373.0299988,0.1660318375,
373.9299927,0.0551272966,
375,0.01741401851,
376.0599976,-0.0588388592,
376.9599915,-0.008298479952,
378.0299988,0.08635728061,
378.9299927,0,
380,0.1004914939,
381.0700073,0.08035140485,
382,0.03423953801,
383.0700073,0.04959128797,
384,0.04889497533,
385.0700073,0,
386,-0.007679901551,
387.0700073,-0.01509650424,
388,0.05233253539,
389.0700073,0.1068954766,
390,-0.0138480179,
391.0700073,0.01298566349,
392,0.01947002672,
393.0700073,-0.05729819834,
394,0.01948127896,
395.0700073,0,
396,0.006973792333,
397.0700073,0.02848434821,
398,0.03509978577,
399.0700073,-0.02069464885,
400,0.04141272604,
401.0599976,-0.0531646274,
401.9599915,0.01280992012,
403.0299988,-0.006173754111,
403.9299927,0.04914729297,
405,0.02432468534,
406.0599976,-0.02446019463,
406.9599915,0.0425581038,
408.0299988,0.01229029614,
408.9299927,0.02420135587,
410,0,
411.0700073,0.02371593192,
412,0.06396985799,
413.0700073,0.01672893576,
414,0.04832266644,
415.0700073,0.06289795041,
416,0.004401602317,
417.0700073,0.007863612846,
418,0.01803335361,
419.0700073,-0.01662228443,
420,0,
421.0599976,-0.01220855862,
421.9599915,0,
423.0299988,-0.03136133403,
423.9299927,-0.01265050098,
425,0.01340774633,
426.0599976,-0.01458299905,
426.9599915,-0.007496701553,
428.0299988,-0.004001424648,
428.9299927,-0.03323473781,
430,0.004238886293,
431.0599976,-0.0213358812,
431.9599915,-0.0208107885,
433.0299988,0.01637498662,
433.9299927,-0.02441485785,
435,0.01213395875,
436.0599976,0.004001280759,
436.9599915,-0.007806157693,
438.0299988,0.03483417258,
438.9299927,-0.00364654744,
440,-0.01792885736,
441.0599976,0.01079921331,
441.9599915,0.01070530061,
443.0299988,0.00357207912,
443.9299927,-0.01064713206,
445,-0.01083388366,
446.0599976,0.007030840497,
446.9599915,0.02483599447,
448.0299988,-0.01485696435,
448.9299927,-0.007922110148,
450,-0.01247847453,
451.0599976,0.00865508616,
451.9599915,-0.0178941302,
453.0299988,0.03289365396,
453.9299927,0.02811502852,
455,0.009966164827,
456.0599976,0.01399181969,
456.9599915,-0.041490715,
458.0299988,0.01735034399,
458.9299927,0,
460,-0.004408315755,
461.0599976,0.0230101943,
461.9599915,-0.01527634915,
463.0299988,0.02691196091,
463.9299927,0,
465,0.02429956384,
466.0599976,0.03098008595,
466.9599915,0.05006759241,
468.0299988,0.02699273825,
468.9299927,-0.02672367729,
470,0.01406647824,
471.0400085,0.05000321567,
471.9400024,-0.05956369638,
472.980011,-0.01480067242,
474.019989,0.1206236258,
475.0700073,0,
475.9700012,-0.06828528643,
477.0100098,0,
478.0499878,0.02954340726,
478.9500122,0.01370210294,
480,0,
481.0599976,-0.005045383237,
481.9599915,-0.01765567809,
483.0299988,-0.04397379234,
483.9299927,0.03505928814,
485,0.01878124662,
486.0599976,-0.04333370179,
486.9599915,0,
488.0299988,-0.004360395484,
488.9299927,0,
490,-0.02336132154,
491.0400085,-0.01004984695,
491.9400024,0,
492.980011,0.0123114055,
494.019989,0.03400504589,
495.0700073,0.02973933518,
495.9700012,0.05593511462,
497.0100098,0.04109915718,
498.0499878,0,
498.9500122,-0.008904243819,
500,0.09561783075,
501.0599976,-0.04963813722,
501.9599915,-0.09112817049,
503.0299988,0.03133453801,
503.9299927,0.0103421174,
505,0.02060814574,
506.0599976,-0.01026767865,
506.9599915,0.03956948593,
508.0299988,-0.01962785609,
508.9299927,0.02905372158,
510,0.01915029995,
511.0400085,0.01899154857,
511.9400024,0.02807753161,
512.9799805,0.01929272898,
514.0200195,0.06940657645,
515.0700073,0.06787549704,
515.9699707,0.03738107905,
517.0100098,-0.05446870252,
518.0499878,0,
518.9500122,-0.008874374442,
520,0.009160193615,
521.039978,0,
521.9400024,-0.03742900118,
522.9799805,0.009009658359,
524.0200195,0.05944596231,
525.0700073,0.0228777118,
525.9699707,0.03406133875,
527.0100098,0.06082428992,
528.0499878,0.0628226772,
528.9500122,0,
530,0.02874025702,
531.0200195,0.06711246073,
532.0499878,0,
532.9400024,-0.02001427673,
533.9699707,0.04835957661,
535,-0.01465437654,
536.0200195,0.1241281852,
537.0499878,0.09685777128,
537.9400024,0,
538.9699707,0.05600403249,
540,0.03781032935,
541.039978,0.08736931533,
