Sample 11,,
Wavelength (nm),Intensity (a.u.),
220,0.1454333961,
220.9299927,0.2573009133,
222.0299988,0.5291565061,
222.9600067,-0.6834602952,
224.0599976,0,
225,-0.2510922551,
225.9299927,-0.1134472862,
227.0299988,0,
227.9600067,-0.1827867031,
229.0599976,0.2610284388,
230,0.1121352836,
230.9299927,-0.02467795275,
232.0299988,0.07836376876,
232.9600067,-0.0815416798,
234.0599976,-0.1144950837,
235,0.05743825436,
235.9299927,0.08779117465,
237.0299988,-0.05339170992,
237.9600067,0.2090543658,
239.0599976,-0.0592510663,
240,0.05023610964,
240.9299927,-0.08950948715,
242.0299988,-0.06671470404,
242.9600067,-0.01226572506,
244.0599976,0.04565740749,
245,0.03365077451,
245.9299927,0.03118049353,
247.0299988,0.03925224394,
247.9600067,0.02072324045,
249.0599976,-0.03295761719,
250,-0.08909253031,
250.9299927,0.1467880011,
252.0299988,0.1196798533,
252.9600067,0.09479871392,
254.0599976,0.0503144674,
255,0.1523600519,
255.9299927,0.1911654323,
257.0299988,0.2064274997,
257.9599915,0.2380363047,
259.0599976,0.3194995522,
260,0.201452136,
261.0700073,0.3099757731,
262,0.3931006193,
263.0700073,0.4481360614,
264,0.5010074973,
265.0700073,0.5740887523,
266,0.7093204856,
267.0700073,0.7648326159,
268,0.6943764091,
269.0700073,0.7350633144,
270,0.7250400782,
270.9299927,0.6677948236,
272.0299988,0.8174740672,
272.9599915,0.6661348343,
274.0599976,0.8212602735,
275,0.6762923002,
275.9299927,0.8043679595,
277.0299988,0.7519749403,
277.9599915,0.7311409712,
279.0599976,0.8183926344,
280,0.7534304857,
280.9299927,0.8334649801,
282.0299988,0.822817266,
282.9599915,0.807302475,
284.0599976,0.8370578289,
285,0.9503246546,
285.9299927,0.9171130657,
287.0299988,0.7725646496,
287.9599915,0.7188618183,
289.0599976,0.660694778,
290,0.4812981486,
291.0700073,0.5260348916,
292,0.4479918778,
293.0700073,0.3960129619,
294,0.4440281689,
295.0700073,0.3446831107,
296,0.3919303715,
297.0700073,0.3385813236,
298,0.2979396284,
299.0700073,0.3255130649,
300,0.3645643592,
300.9299927,0.3599711955,
302.0299988,0.2909062505,
302.9599915,0.4423660338,
304.0599976,0.372697264,
305,0.2970822453,
305.9299927,0.3797468245,
307.0299988,0.4522654414,
307.9599915,0.6216306686,
309.0599976,0.8350979686,
310,1.800406337,
311.0700073,3.172188997,
312,4.386389256,
313.0700073,4.890507698,
314,4.701864243,
315.0700073,3.939150333,
316,2.552381516,
317.0700073,1.106304407,
318,0.4589532912,
319.0700073,0.3375320137,
320,0.1797160506,
321.0700073,0.1319957823,
322,0.06949269772,
323.0700073,0.1086764559,
324,0.1077876613,
325.0700073,0.2484712154,
326,0.1440776885,
327.0700073,0.03126172349,
328,0.09485116601,
329.0700073,0.2550491691,
330,0.1094622239,
330.9299927,0.2501954734,
332.0299988,0.1386022717,
332.9599915,0.1750003994,
334.0599976,0.2557814121,
335,0,
335.9299927,0.2918900549,
337.0299988,0.06398463994,
337.9599915,0.1091703102,
339.0599976,0.1569735408,
340,0.2465863079,
341.0700073,0.2002186924,
342,0.05694355443,
343.0700073,0.2571318448,
344,0.05732137337,
345.0700073,0.02751940116,
346,0.2035357058,
347.0700073,0.1713844985,
348,0.1738576144,
349.0700073,0.1172195524,
350,0.1106011197,
351.0700073,0.2300468236,
352,0.1437814534,
353.0700073,0.1164334118,
354,0.08530330658,
355.0700073,0.06959772855,
356,0.2071056068,
357.0700073,0,
358,0.1408473998,
359.0700073,0.1390702426,
360,0.1672825813,
361.0700073,0.08308658749,
362,0.1733889282,
363.0700073,0.1574885845,
364,0.00932896696,
365.0700073,0.09362808615,
366,0.2067127228,
367.0700073,0.1013958827,
368,0.193662405,
369.0700073,0.1364374906,
370,0.2209383249,
371.0599976,0.2240884304,
371.9599915,0.109841831,
373.0299988,0.1638522595,
