Sample 24,,
Wavelength (nm),Intensity (a.u.),
220,52.10626984,
220.9299927,53.83717728,
222.0299988,53.05901718,
222.9600067,53.11494064,
224.0599976,53.67251968,
225,55.16487122,
225.9299927,54.24407959,
227.0299988,51.92792892,
227.9600067,50.26856995,
229.0599976,46.38851547,
230,44.9900589,
230.9299927,43.57158661,
232.0299988,41.44074249,
232.9600067,41.5731926,
234.0599976,41.42996597,
235,42.39727783,
235.9299927,43.5308342,
237.0299988,44.75566101,
237.9600067,45.20654678,
239.0599976,48.56476212,
240,49.6740036,
240.9299927,48.98551559,
242.0299988,50.41581345,
242.9600067,52.32198715,
244.0599976,55.88709259,
245,58.46025848,
245.9299927,59.02860641,
247.0299988,60.46140289,
247.9600067,61.39615631,
249.0599976,62.817276,
250,65.45298767,
250.9299927,69.25610352,
252.0299988,74.57012177,
252.9600067,79.39196777,
254.0599976,85.05560303,
255,94.78214264,
255.9299927,105.6489258,
257.0299988,112.1405029,
257.9599915,112.7843246,
259.0599976,111.2980194,
260,109.7046432,
261.0700073,107.8718567,
262,106.3484039,
263.0700073,107.7276688,
264,106.6040115,
265.0700073,103.028923,
266,96.76967621,
267.0700073,88.12332916,
268,79.80418396,
269.0700073,71.54534149,
270,62.48171616,
270.9299927,55.02262878,
272.0299988,47.23600006,
272.9599915,42.32835007,
274.0599976,36.62397385,
275,32.59878922,
275.9299927,29.38059616,
277.0299988,26.62153244,
277.9599915,24.88595963,
279.0599976,23.59113884,
280,22.90289307,
280.9299927,21.75839043,
282.0299988,21.21113586,
282.9599915,20.69953156,
284.0599976,20.38891792,
285,20.30088806,
285.9299927,20.9902935,
287.0299988,20.87697601,
287.9599915,20.99863434,
289.0599976,21.65145683,
290,22.42302322,
291.0700073,23.32071495,
292,23.62120438,
293.0700073,24.64313889,
294,25.33913422,
295.0700073,25.81280518,
296,25.76038742,
297.0700073,26.40651131,
298,26.60513496,
299.0700073,26.50529099,
300,27.66632462,
300.9299927,28.10609055,
302.0299988,28.99207497,
302.9599915,28.85632324,
304.0599976,29.20932388,
305,29.62962914,
305.9299927,29.56395531,
307.0299988,30.26774216,
307.9599915,29.81519508,
309.0599976,29.05503273,
310,28.85411453,
311.0700073,28.46953201,
