Sample 14,,
Wavelength (nm),Intensity (a.u.),
350,3.730153084,
351.0700073,3.623771906,
352,3.576388359,
353.0700073,3.597818613,
354,3.554965019,
355.0700073,3.296501398,
356,3.178998709,
357.0700073,3.237813473,
358,3.318155527,
359.0700073,3.085414886,
360,3.061538935,
361.0700073,2.875268221,
362,3.046548367,
363.0700073,2.966059685,
364,2.902450085,
365.0700073,2.985948086,
366,3.246857405,
367.0700073,3.149692774,
368,3.401283979,
369.0700073,3.322635889,
370,3.635033846,
371.0599976,3.640106201,
371.9599915,3.890727758,
373.0299988,3.949517488,
373.9299927,3.934588671,
375,3.962579727,
376.0599976,3.916535616,
376.9599915,3.998720646,
378.0299988,4.10695076,
378.9299927,3.941985369,
380,4.385691166,
381.0700073,4.414460182,
382,4.417652607,
383.0700073,4.567381859,
384,4.528094292,
385.0700073,4.819257259,
386,4.941375256,
387.0700073,4.942852974,
388,5.199680805,
389.0700073,5.295107365,
390,5.555757046,
391.0700073,5.59181118,
392,5.64450407,
393.0700073,5.609376431,
394,5.910076618,
395.0700073,6.237448215,
396,6.6708951,
397.0700073,7.036533833,
398,7.056204319,
399.0700073,7.264497757,
400,7.826393604,
401.0599976,7.791460991,
401.9599915,8.279088974,
403.0299988,8.385555267,
403.9299927,8.533436775,
405,8.713578224,
406.0599976,9.092530251,
406.9599915,9.303751945,
408.0299988,9.674974442,
408.9299927,10.21467209,
410,10.50208569,
411.0700073,11.21337891,
412,11.46466255,
413.0700073,12.31272125,
414,12.68260574,
415.0700073,13.55963612,
416,13.92769909,
417.0700073,14.63270187,
418,15.51346302,
419.0700073,15.93151093,
420,16.60330772,
421.0599976,17.32438278,
421.9599915,17.61646652,
423.0299988,18.24176407,
423.9299927,18.8645649,
425,19.69244385,
426.0599976,20.28139496,
426.9599915,21.07196045,
428.0299988,22.50801277,
428.9299927,23.78736305,
430,25.06015968,
431.0599976,26.30703163,
431.9599915,26.95848083,
433.0299988,27.75546265,
433.9299927,28.75989342,
435,30.10449409,
436.0599976,31.70921326,
436.9599915,32.72098923,
438.0299988,33.81769562,
438.9299927,35.13368607,
440,36.00868607,
441.0599976,37.2737236,
441.9599915,38.52114868,
443.0299988,40.24732208,
443.9299927,41.79020309,
445,43.60492325,
446.0599976,45.17331696,
446.9599915,46.0097847,
448.0299988,47.49945068,
448.9299927,48.68450546,
450,50.90690613,
451.0599976,53.13534164,
451.9599915,55.0731163,
453.0299988,56.88579178,
453.9299927,59.3072052,
455,61.49979019,
456.0599976,64.01007843,
456.9599915,66.04803467,
458.0299988,67.46143341,
458.9299927,67.54284668,
460,67.92021942,
461.0599976,68.29862976,
461.9599915,69.07749176,
463.0299988,70.48043823,
463.9299927,72.78661346,
465,74.43827057,
466.0599976,75.76803589,
466.9599915,77.05723572,
468.0299988,78.93519592,
468.9299927,80.16726685,
470,82.8573761,
471.0400085,84.74026489,
471.9400024,87.45194244,
472.980011,89.87275696,
474.019989,93.51725769,
475.0700073,94.77696228,
475.9700012,98.49659729,
477.0100098,100.9987183,
478.0499878,102.5129547,
478.9500122,106.6636505,
480,110.2660217,
481.0599976,114.0447617,
481.9599915,113.4186478,
483.0299988,112.4839096,
483.9299927,111.5830841,
485,110.5278168,
486.0599976,109.4762955,
486.9599915,108.5550766,
488.0299988,109.0251846,
488.9299927,107.877037,
490,106.2990646,
491.0400085,104.3475037,
491.9400024,102.9886398,
492.980011,100.82267,
494.019989,99.21807098,
495.0700073,98.76928711,
495.9700012,99.19010925,
497.0100098,100.0083694,
498.0499878,99.48768616,
498.9500122,100.0553207,
500,100.049736,
501.0599976,102.5008392,
501.9599915,105.5824966,
503.0299988,107.1577072,
503.9299927,108.2422943,
505,109.1043701,
506.0599976,109.0605621,
506.9599915,109.2203445,
508.0299988,111.3134842,
508.9299927,111.80616,
510,110.1261139,
511.0400085,111.0361328,
511.9400024,109.0405045,
512.9799805,108.3850784,
514.0200195,109.0186539,
515.0700073,107.5920029,
515.9699707,105.9127502,
517.0100098,102.4162369,
518.0499878,96.67176819,
518.9500122,91.49731445,
520,84.56324768,
521.039978,75.59633636,
521.9400024,69.04624939,
522.9799805,59.57266998,
524.0200195,51.32735443,
525.0700073,42.76392365,
525.9699707,37.19022369,
527.0100098,31.82552719,
528.0499878,27.5408287,
528.9500122,24.01364136,
530,20.44449806,
531.0200195,16.85261726,
532.0499878,14.38962841,
532.9400024,12.45667553,
533.9699707,10.63491917,
535,9.087661743,
536.0200195,7.372601032,
537.0499878,6.248482227,
537.9400024,5.504587173,
538.9699707,4.417476654,
540,3.689031839,
541.039978,3.203730106,
541.9400024,3.050515652,
542.9799805,2.566497326,
544.0200195,2.229124546,
545.0700073,1.927310228,
545.9699707,1.756047487,
547.0100098,1.575059772,
548.0499878,1.495018601,
548.9500122,1.424962759,
550,1.444636345,
551.0200195,1.196480274,
552.0499878,1.337397337,
552.9400024,1.177061439,
553.9699707,1.190220356,
555,1.150455952,
556.0200195,1.049411297,
557.0499878,0.7635577917,
557.9400024,0.8955558538,
558.9699707,0.768728137,
560,0.8812429309,
561.039978,0.9136503339,
561.9400024,0.8660174608,
562.9799805,0.9324009418,
564.0200195,0.9375689626,
565.0700073,0.8448175788,
565.9699707,0.7953199744,
567.0100098,0.7001485825,
568.0499878,0.7082520127,
568.9500122,0.68745929,
570,0.1506931931,
571.0200195,0.1298806816,
572.0499878,0.2578773499,
572.9400024,0.2704035342,
573.9699707,0.08054643124,
575,0.277682513,
576.0200195,0.1207708642,
577.0499878,0.1445164979,
577.9400024,0.1741283983,
578.9699707,0.2446433306,
580,0.1535087675,
581.0200195,0.2071632445,
582.0499878,0.2834868729,
582.9400024,0.3902819753,
583.9699707,0.4471383393,
585,0.2519335747,
586.0200195,0.4502926767,
587.0499878,0.3927055001,
587.9400024,0.5477625132,
588.9699707,0.4470693469,
590,0.2776364088,
591.0200195,0.4150908589,
592.0499878,0.3226327002,
592.9400024,0.5080290437,
593.9699707,0.3464328051,
595,0.4794863462,
596.0200195,0.1800324172,
597.0499878,0.2532730699,
597.9400024,0.5221931934,
598.9699707,0.2692737877,
600,0.5277160406,

Sample 14,
Sample 14
Collection Time: 25/04/2023 3:38:08 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        350.00
Stop (nm)                         600.00
Em. Wavelength (nm)               610.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 25/04/2023 2:27:28 PM
Method Modifications:
Overlayed Graphs Changed: 25/04/2023 2:27:58 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 25/04/2023 2:27:58 PM, Old: 350.00, New: 269.00
Emission Wavelength Changed: 25/04/2023 2:27:58 PM, Old: 400.00, New: 279.00
Excitation Wavelength Changed: 25/04/2023 2:42:50 PM, Old: 269.00, New: 338.00
Emission Wavelength Changed: 25/04/2023 2:42:50 PM, Old: 279.00, New: 348.00
Stop Wavelength Changed: 25/04/2023 2:42:50 PM, Old: 600.00, New: 700.00
Excitation Wavelength Changed: 25/04/2023 2:44:10 PM, Old: 338.00, New: 270.00
Emission Wavelength Changed: 25/04/2023 2:44:10 PM, Old: 348.00, New: 280.00
Stop Wavelength Changed: 25/04/2023 2:44:10 PM, Old: 700.00, New: 600.00
Excitation Wavelength Changed: 25/04/2023 2:45:01 PM, Old: 270.00, New: 213.00
Emission Wavelength Changed: 25/04/2023 2:45:01 PM, Old: 280.00, New: 220.00
Scan mode: Changed: 25/04/2023 2:45:55 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 25/04/2023 2:45:55 PM, Old: 213.00, New: 220.00
Emission Wavelength Changed: 25/04/2023 2:45:55 PM, Old: 220.00, New: 286.00
Stop Wavelength Changed: 25/04/2023 2:45:55 PM, Old: 600.00, New: 286.00
Scan mode: Changed: 25/04/2023 2:46:25 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 25/04/2023 2:46:25 PM, Old: 220.00, New: 261.00
Emission Wavelength Changed: 25/04/2023 2:46:25 PM, Old: 286.00, New: 261.00
Stop Wavelength Changed: 25/04/2023 2:46:25 PM, Old: 286.00, New: 400.00
Excitation Wavelength Changed: 25/04/2023 3:04:09 PM, Old: 261.00, New: 275.00
Emission Wavelength Changed: 25/04/2023 3:04:09 PM, Old: 261.00, New: 275.00
Stop Wavelength Changed: 25/04/2023 3:04:09 PM, Old: 400.00, New: 500.00
Excitation Wavelength Changed: 25/04/2023 3:04:42 PM, Old: 275.00, New: 210.00
Emission Wavelength Changed: 25/04/2023 3:04:42 PM, Old: 275.00, New: 220.00
Scan mode: Changed: 25/04/2023 3:11:31 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 25/04/2023 3:11:31 PM, Old: 450.00, New: 650.00
User Delta Increment Changed: 25/04/2023 3:11:31 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 25/04/2023 3:11:31 PM, Old: 210.00, New: 320.00
Emission Wavelength Changed: 25/04/2023 3:11:31 PM, Old: 220.00, New: 610.00
Stop Wavelength Changed: 25/04/2023 3:11:31 PM, Old: 500.00, New: 600.00
Emission Wavelength Changed: 25/04/2023 3:12:35 PM, Old: 610.00, New: 550.00
Stop Wavelength Changed: 25/04/2023 3:12:35 PM, Old: 600.00, New: 550.00
PMT Volts Changed: 25/04/2023 3:16:09 PM, Old:600, New:700
Emission PMT (V): Changed: 25/04/2023 3:16:09 PM, Old: 600, New: 700
PMT Volts Changed: 25/04/2023 3:38:04 PM, Old:700, New:600
Emission PMT (V): Changed: 25/04/2023 3:38:04 PM, Old: 700, New: 600
Excitation Wavelength Changed: 25/04/2023 3:38:04 PM, Old: 320.00, New: 350.00
Emission Wavelength Changed: 25/04/2023 3:38:04 PM, Old: 550.00, New: 610.00
Stop Wavelength Changed: 25/04/2023 3:38:04 PM, Old: 550.00, New: 600.00
End Method Modifications

