Sample 28,,
Wavelength (nm),Intensity (a.u.),
220,0.705196023,
220.9299927,0.1988862306,
222.0299988,0,
222.9600067,-0.2032024711,
224.0599976,0.2668717802,
225,0.5010837317,
225.9299927,0.5184078217,
227.0299988,0.3289646804,
227.9600067,0.1778766066,
229.0599976,0.155134216,
230,0.29697752,
230.9299927,0.2327181399,
232.0299988,0.240138948,
232.9600067,0.2555432022,
234.0599976,0.1796600074,
235,0.2335457802,
235.9299927,0.3493305445,
237.0299988,0.2257094979,
237.9600067,0.1545875072,
239.0599976,0.1459820718,
240,0.1007740945,
240.9299927,0.118588008,
242.0299988,0.1311888397,
242.9600067,0.1135733724,
244.0599976,0.06201342493,
245,0.0947278142,
245.9299927,0.08248696476,
247.0299988,0.06859226525,
247.9600067,0.08944290131,
249.0599976,0.09570628405,
250,0.1136630997,
250.9299927,0.1384916306,
252.0299988,0.1243993938,
252.9600067,0.1108977869,
254.0599976,0.03530300409,
255,0.1241127625,
255.9299927,0.2109736949,
257.0299988,0.1144603193,
257.9599915,0.1698706746,
259.0599976,0.126551196,
260,0.1373911947,
261.0700073,0.1460880637,
262,0.1099509895,
263.0700073,0.1334376782,
264,0.1885907352,
265.0700073,0.1979876012,
266,0.2086186111,
267.0700073,0.1845462322,
268,0.2392416,
269.0700073,0.2249445021,
270,0.2103384733,
270.9299927,0.2508900762,
272.0299988,0.2210867703,
272.9599915,0.196159631,
274.0599976,0.2162640989,
275,0.2562424541,
275.9299927,0.221212104,
277.0299988,0.2356849313,
277.9599915,0.2216994464,
279.0599976,0.2091537863,
280,0.2364610732,
280.9299927,0.2478324771,
282.0299988,0.2498880178,
282.9599915,0.2562122643,
284.0599976,0.1807133704,
285,0.2165061235,
285.9299927,0.2001017779,
287.0299988,0.183917433,
287.9599915,0.1694666892,
289.0599976,0.1741720587,
290,0.2121895552,
291.0700073,0.2524502873,
292,0.3690572679,
293.0700073,0.5440891385,
294,0.6117418408,
295.0700073,0.6087421179,
296,0.572721839,
297.0700073,0.441354394,
298,0.3190105855,
299.0700073,0.2037578821,
300,0.1711485833,
300.9299927,0.127471596,
302.0299988,0.1497968882,
302.9599915,0.140378654,
304.0599976,0.05859384313,
305,0.1281403303,
305.9299927,0.1368159801,
307.0299988,0.1304829419,
307.9599915,0.1204737499,
309.0599976,0.1220530197,
310,0.1529302895,
311.0700073,0.1618311107,
312,0.1604460031,
313.0700073,0.1622080356,
314,0.1545287371,
315.0700073,0.08202169836,
316,0.1521407068,
317.0700073,0.2353720963,
318,0.6032013893,
319.0700073,2.03454423,
320,4.562729836,
321.0700073,7.48737812,
322,9.720851898,
323.0700073,10.30453396,
324,9.459508896,
325.0700073,7.165755749,
326,4.629351616,
327.0700073,2.059846878,
328,0.877933085,
329.0700073,0.2625728548,
330,0.09327789396,
330.9299927,0.006782880053,
332.0299988,0.121792078,
332.9599915,0.05773416907,
334.0599976,0.06368401647,
335,0.07149106264,
335.9299927,0.1069854647,
337.0299988,0.0268566329,
337.9599915,0.06938638538,
339.0599976,0.01353459246,
340,0.0267665945,
341.0700073,0,
342,0.06128320843,
343.0700073,-0.01926887408,
344,0.02094817534,
345.0700073,0.03587776423,
346,0.08490277082,
347.0700073,0.06330616772,
348,0.06161908805,
349.0700073,0.02515952662,
350,0.05208764225,
351.0700073,-0.01153169759,
352,0.06282698363,
353.0700073,0.06543697417,
354,-0.01243066788,
355.0700073,-0.05432334542,
356,0.02790322341,
357.0700073,0.003913687542,
358,0.05009964481,
