Sample 15,,
Wavelength (nm),Intensity (a.u.),
220,0.09479271621,
220.9299927,0.7765266895,
222.0299988,0.2909302413,
222.9600067,-0.08219122142,
224.0599976,0.110864751,
225,0.09454812109,
225.9299927,0.1658176184,
227.0299988,0.1548407078,
227.9600067,0.1138550788,
229.0599976,0.1302874982,
230,0.09343131632,
230.9299927,0.1361951083,
232.0299988,0.1397977173,
232.9600067,0.04045213759,
234.0599976,0.07531963289,
235,-0.04964965954,
235.9299927,0.1798951775,
237.0299988,0.1993993819,
237.9600067,-0.02174220234,
239.0599976,0.04704091325,
240,0.05204731971,
240.9299927,0.103302002,
242.0299988,0.03770137578,
242.9600067,0.04752726108,
244.0599976,0.03569543734,
245,0.08210555464,
245.9299927,0.05919767544,
247.0299988,0.06177691743,
247.9600067,0.04953448474,
249.0599976,0.04134956002,
250,0.08291790634,
250.9299927,0.04714090377,
252.0299988,0.06433743984,
252.9600067,0.08255919069,
254.0599976,0.09509841353,
255,-0.01738150977,
255.9299927,0.04819102958,
257.0299988,0.04733173549,
257.9599915,0.07164423913,
259.0599976,0.02428385988,
260,0.05599073693,
261.0700073,0.07184159011,
262,0.08631886542,
263.0700073,0.1058630049,
264,0.09142310917,
265.0700073,0.01425587852,
266,0.0876442343,
267.0700073,0.04120983928,
268,0.01205775701,
269.0700073,0.03505923226,
270,0.06204361096,
270.9299927,0.05768362805,
272.0299988,0.05701894686,
272.9599915,0.04778328538,
274.0599976,0.03961323947,
275,0.03368197381,
275.9299927,0.06747687608,
277.0299988,0.0681899339,
277.9599915,0.04610975459,
279.0599976,0.06636534631,
280,0.05413913727,
280.9299927,0.04900577292,
282.0299988,0.06211215258,
282.9599915,0.04343521968,
284.0599976,0.07909265161,
285,0.01196910534,
285.9299927,0.02331565134,
287.0299988,0.04157190397,
287.9599915,0.06648267061,
289.0599976,0.0623569563,
290,0.07131675631,
291.0700073,0.07964443415,
292,0.1738616377,
293.0700073,0.2990723848,
294,0.5339387655,
295.0700073,0.8225283623,
296,1.081911683,
297.0700073,1.277581453,
298,1.531259656,
299.0700073,1.713283658,
300,1.829901457,
300.9299927,1.944488406,
302.0299988,1.997470379,
302.9599915,2.028296471,
