Sample 16,,
Wavelength (nm),Intensity (a.u.),
220,0.5982367992,
220.9299927,0.1451884657,
222.0299988,-0.1187648475,
222.9600067,0.08014907688,
224.0599976,0.1829379946,
225,0.2782995999,
225.9299927,0.1229493767,
227.0299988,0.1465982497,
227.9600067,0.1571409404,
229.0599976,-0.009965470061,
230,0.05782129243,
230.9299927,0.1002958715,
232.0299988,0.0160766542,
232.9600067,0.1972870082,
234.0599976,0.1062619537,
235,0.05880815163,
235.9299927,0,
237.0299988,0.1173556671,
237.9600067,0.1236745268,
239.0599976,0.05694037303,
240,0.08332039416,
240.9299927,0.07935274392,
242.0299988,0.07246986032,
242.9600067,0.07773631811,
244.0599976,0.05513190106,
245,0.0303481631,
245.9299927,0.01728373207,
247.0299988,0.07561722398,
247.9600067,0.06991754472,
249.0599976,0.08723082393,
250,0.0224852711,
250.9299927,0.04285579547,
252.0299988,0,
252.9600067,0.05385174602,
254.0599976,0.0567474477,
255,0.0574965328,
255.9299927,0.06332685053,
257.0299988,-0.02693563141,
257.9599915,0.06074148044,
259.0599976,0.06111789867,
260,0.03104727529,
261.0700073,-0.001877690898,
262,0.09890565276,
263.0700073,0.0653693527,
264,0.0143834874,
265.0700073,0.0326583162,
266,0.102627255,
267.0700073,0.0458275117,
268,0.1053034663,
269.0700073,0.06592381001,
270,0.003365468001,
270.9299927,0.03204657882,
272.0299988,0.03583820537,
272.9599915,0.0399969928,
274.0599976,0.05937537178,
275,0.04972093925,
275.9299927,0.07798984647,
277.0299988,0.05207463726,
277.9599915,0.05370671675,
279.0599976,0.02430992201,
280,0.0680340156,
280.9299927,0.02456241101,
282.0299988,0.05477051437,
282.9599915,0.05876329914,
284.0599976,0.03991274536,
285,0.02781157754,
285.9299927,0.0598949939,
287.0299988,0.02704351768,
287.9599915,0.05444705114,
289.0599976,0.06908665597,
290,0.06649424881,
291.0700073,0.1187242046,
292,0.1707696915,
293.0700073,0.3276363611,
294,0.584051311,
295.0700073,0.8076294661,
296,0.9850113392,
297.0700073,1.204679728,
298,1.342386842,
299.0700073,1.476191044,
300,1.519792318,
300.9299927,1.586699009,
302.0299988,1.624434948,
302.9599915,1.617843151,
304.0599976,1.588055968,
305,1.663155556,
305.9299927,1.722352982,
307.0299988,1.785795093,
307.9599915,1.77887249,
309.0599976,1.776729941,
310,1.778327465,
311.0700073,1.8085742,
312,1.692148924,
313.0700073,1.675992966,
314,1.64243412,
315.0700073,1.629956484,
316,1.501427412,
317.0700073,1.455098033,
318,1.404827714,
319.0700073,1.517058134,
320,1.513097405,
321.0700073,1.576458216,
322,1.629251838,
323.0700073,1.56664288,
324,1.671117187,
325.0700073,1.517518282,
326,1.512719274,
327.0700073,1.52229774,
328,1.512277126,
329.0700073,1.520811677,
330,1.483417511,
330.9299927,1.396396995,
332.0299988,1.462818742,
332.9599915,1.425931931,
334.0599976,1.394876122,
335,1.378399849,
335.9299927,1.406357527,
337.0299988,1.275510192,
337.9599915,1.149132609,
339.0599976,1.01701808,
340,0.8002450466,
341.0700073,0.7955526114,
342,0.7504031658,
343.0700073,0.6233367324,
344,0.5224025846,
345.0700073,0.4648590088,
346,0.4154599011,
347.0700073,0.3603854477,
348,0.2169150412,
349.0700073,0.2478276789,
350,0.2389200777,
351.0700073,0.1874792278,
352,0.1916768998,
353.0700073,0.1191504598,
354,0.1147136316,
355.0700073,0.1344359964,
356,0.149144277,
357.0700073,0.1526280195,
358,0.1269302517,
359.0700073,0.1445718259,
360,0.1133755669,
361.0700073,0.09394279122,
362,0.09264234453,
363.0700073,0.09265685081,
364,0.08615852892,
365.0700073,0.06376805902,
366,0.07698281854,
367.0700073,0.138915509,
