Sample 4,,
Wavelength (nm),Intensity (a.u.),
220,1.614560366,
220.9299927,-0.2574996948,
222.0299988,-0.1069290042,
222.9600067,-0.5294740796,
224.0599976,-0.2726467252,
225,0.4561581314,
225.9299927,0.1928417236,
227.0299988,0.3525678813,
227.9600067,0.2727430463,
229.0599976,-0.04536278546,
230,-0.04484003037,
230.9299927,0.1931480616,
232.0299988,0.1323206425,
232.9600067,0.1159285903,
234.0599976,0.08847208321,
235,0.3025810421,
235.9299927,0.3519680798,
237.0299988,-0.0281064678,
237.9600067,0,
239.0599976,0.02031818219,
240,0.1545356214,
240.9299927,-0.09265694022,
242.0299988,-0.0680809319,
242.9600067,0.05089835823,
244.0599976,-0.01172332931,
245,-0.02189046144,
245.9299927,0.09142903239,
247.0299988,0.09988313913,
247.9600067,0.1321433634,
249.0599976,0.09977827221,
250,0,
250.9299927,0.1096190736,
252.0299988,0.1113638878,
252.9600067,0.1128195226,
254.0599976,0.08178354055,
255,0.1080430299,
255.9299927,0.08254344016,
257.0299988,0,
257.9599915,0,
259.0599976,0.0936210081,
260,0.08471776545,
261.0700073,0.1553902179,
262,0.1449807584,
263.0700073,0.3361782134,
264,0.696097374,
265.0700073,0.9722325802,
266,1.298505187,
267.0700073,1.789445043,
268,2.035130024,
269.0700073,2.512069464,
270,2.627224445,
270.9299927,2.790048599,
272.0299988,3.002748013,
272.9599915,2.946470022,
274.0599976,3.032679319,
275,2.961419582,
275.9299927,3.118536711,
277.0299988,3.073559999,
277.9599915,3.025034428,
279.0599976,2.972161055,
280,3.010550499,
280.9299927,2.877240419,
282.0299988,2.890759706,
282.9599915,2.719147682,
284.0599976,2.680760384,
285,2.575928211,
285.9299927,2.584905386,
287.0299988,2.550728083,
287.9599915,2.388763428,
289.0599976,2.402672052,
290,2.626600742,
291.0700073,2.464452028,
292,2.525175571,
293.0700073,2.630963802,
294,2.477169275,
295.0700073,2.643682003,
296,2.678107977,
297.0700073,2.564989328,
298,2.815623522,
299.0700073,2.748785257,
300,2.880963802,
300.9299927,2.839577913,
302.0299988,2.988996983,
302.9599915,2.848588228,
304.0599976,3.054913759,
305,3.40731883,
305.9299927,3.194372654,
307.0299988,3.390525103,
307.9599915,3.496861935,
309.0599976,3.29346323,
310,3.457070589,
311.0700073,3.429756641,
312,3.56063652,
313.0700073,3.507688284,
314,3.567001104,
315.0700073,3.632113457,
316,3.557675838,
317.0700073,3.704389811,
318,3.498686314,
319.0700073,3.387916327,
320,3.354808092,
321.0700073,3.244921207,
322,3.213323593,
323.0700073,2.976704597,
324,2.832039356,
325.0700073,2.488559484,
326,2.455273867,
327.0700073,2.13940239,
328,1.878728151,
