Sample 5,,
Wavelength (nm),Intensity (a.u.),
220,1.024890184,
220.9299927,1.28090167,
222.0299988,0,
222.9600067,-0.2647604048,
224.0599976,0.2735416889,
225,-0.2509536147,
225.9299927,0.076982297,
227.0299988,0.05717226118,
227.9600067,0.02519780397,
229.0599976,0.2889017463,
230,0.1348132789,
230.9299927,0.3094501495,
232.0299988,-0.02593226358,
232.9600067,0.2694772184,
234.0599976,0,
235,0.0612613745,
235.9299927,0.289393723,
237.0299988,-0.05826147646,
237.9600067,-0.1973067522,
239.0599976,0.08317564428,
240,0.170331642,
240.9299927,0,
242.0299988,0.02704274096,
242.9600067,0.07403111458,
244.0599976,-0.0352232568,
245,0.1299573332,
245.9299927,0.04035878927,
247.0299988,-0.009854838252,
247.9600067,0.02068145387,
249.0599976,0,
250,-0.02498625778,
250.9299927,0.0138104381,
252.0299988,0.03179852664,
252.9600067,0.1464033574,
254.0599976,-0.01674901694,
255,0.03102410398,
255.9299927,-0.06885534525,
257.0299988,-0.01118293032,
257.9599915,0.1057539806,
259.0599976,0.05201019347,
260,-0.04288054258,
261.0700073,0.04600281641,
262,0,
263.0700073,0.03277613595,
264,0.08017592877,
265.0700073,0.0894164443,
266,0.09924474359,
267.0700073,0.2357309163,
268,0.09157844633,
269.0700073,0.1508447379,
270,0.1666180789,
270.9299927,0.1997762471,
272.0299988,0.2624793649,
272.9599915,0.308490634,
274.0599976,0.2250206918,
275,0.3106692731,
275.9299927,0.3637132347,
277.0299988,0.3208809197,
277.9599915,0.3174895048,
279.0599976,0.3407846093,
280,0.3896031678,
280.9299927,0.3856470883,
282.0299988,0.4375889003,
282.9599915,0.4686883092,
284.0599976,0.5213178992,
285,0.4312203526,
285.9299927,0.5697599649,
287.0299988,0.5461798906,
287.9599915,0.4766747355,
289.0599976,0.6268756986,
290,0.6694087982,
291.0700073,0.650221467,
292,0.5225242376,
293.0700073,0.6184107661,
294,0.638812542,
295.0700073,0.5672494173,
296,0.5722227097,
297.0700073,0.6750982404,
298,0.5516565442,
299.0700073,0.6166442633,
300,0.5863747597,
300.9299927,0.7170237899,
302.0299988,0.7659391761,
302.9599915,0.5712561011,
304.0599976,0.5580845475,
305,0.5213376284,
305.9299927,0.5301069617,
307.0299988,0.5813711882,
307.9599915,0.5974216461,
309.0599976,0.470156014,
310,0.6001320481,
311.0700073,0.4444585741,
312,0.3735812306,
313.0700073,0.4718093872,
314,0.3730086088,
315.0700073,0.3908540308,
316,0.451362282,
317.0700073,0.2364101112,
318,0.3552818596,
319.0700073,0.2573028505,
320,0.1871432662,
321.0700073,0.349029541,
322,0.3506458998,
323.0700073,0.2264044136,
324,0.2319378406,
325.0700073,0.2696718574,
326,0.1668183208,
327.0700073,0.04663018882,
328,0.1433372051,
329.0700073,0.09681479633,
330,0.2675764263,
330.9299927,0.2002703696,
332.0299988,0.1881703436,
332.9599915,0.1855029464,
334.0599976,0.1579454392,
335,0.1159113124,
335.9299927,0.07785494626,
337.0299988,0.200772211,
337.9599915,0.1549234688,
339.0599976,0.1560646743,
340,0.06158299372,
341.0700073,0.172068581,
342,0.2954583764,
343.0700073,0.2229281664,
344,0.1733177304,
345.0700073,0.2132438719,
346,0.1801327467,
347.0700073,0.07467256486,
348,0.2658553123,
349.0700073,0.2309535444,
350,0.1101670414,
351.0700073,0.1430987269,
352,0.03759916872,
353.0700073,0.09138575196,
354,0.1220635399,
355.0700073,0.1209214255,
356,0.06508116424,
357.0700073,-0.008413967676,
358,0.09322349727,
359.0700073,0.01560987812,
360,0.06234803051,
361.0700073,0.0519480519,
362,0.09757525474,
363.0700073,0.03518184647,
364,0.05761585757,
365.0700073,-0.02075679228,
366,0.07399576902,
367.0700073,0.06150136888,
368,0.1562913209,
369.0700073,-0.01173419692,
370,-0.04318768159,
371.0599976,0.04315553233,
371.9599915,0.07330610603,
373.0299988,0,
373.9299927,0.08134416491,
375,0.1028101444,
376.0599976,0.02528104,
376.9599915,-0.01700116508,
