Sample 46,,
Wavelength (nm),Intensity (a.u.),
400,0.5452637076,
401.0599976,0.5605489612,
401.9599915,0.5031368136,
403.0299988,0.5551733971,
403.9299927,0.5258729458,
405,0.5572165251,
406.0599976,0.5657140613,
406.9599915,0.5855785608,
408.0299988,0.5575195551,
408.9299927,0.6143478751,
410,0.7281253934,
411.0700073,0.6460499763,
412,0.6769877672,
413.0700073,0.7445008159,
414,0.7914311886,
415.0700073,0.7576707602,
416,0.7467197776,
417.0700073,0.7369872332,
418,0.7300524116,
419.0700073,0.8105592728,
420,0.7531194091,
421.0599976,0.7261765599,
421.9599915,0.6662445664,
423.0299988,0.6449737549,
423.9299927,0.6382339597,
425,0.5278074145,
426.0599976,0.5602598786,
426.9599915,0.5550055504,
428.0299988,0.4800279737,
428.9299927,0.4770054221,
430,0.3990439773,
431.0599976,0.4116553664,
431.9599915,0.4276819229,
433.0299988,0.3409847021,
433.9299927,0.4194750488,
435,0.3385751247,
436.0599976,0.3181622326,
436.9599915,0.3435406685,
438.0299988,0.3360151649,
438.9299927,0.3463203311,
440,0.2940090299,
441.0599976,0.3359362185,
441.9599915,0.2725440562,
443.0299988,0.3030281663,
443.9299927,0.3021244705,
445,0.3485122025,
446.0599976,0.3203693032,
446.9599915,0.3056836128,
448.0299988,0.3332515359,
448.9299927,0.3183192611,
450,0.3028993607,
451.0599976,0.3649854362,
451.9599915,0.2869465649,
453.0299988,0.3540441394,
453.9299927,0.3334784806,
455,0.3712199628,
456.0599976,0.379881829,
456.9599915,0.4216327965,
458.0299988,0.4024802744,
458.9299927,0.3716152906,
460,0.4044959247,
461.0599976,0.3173379898,
461.9599915,0.4216397107,
463.0299988,0.4684133232,
463.9299927,0.4389888644,
465,0.478753835,
466.0599976,0.4357019067,
466.9599915,0.5600603819,
468.0299988,0.5057942271,
468.9299927,0.4840746224,
470,0.4265859425,
471.0400085,0.4932773411,
471.9400024,0.5137727857,
472.980011,0.558501184,
474.019989,0.6182311177,
475.0700073,0.5394261479,
475.9700012,0.538130939,
477.0100098,0.5233927369,
478.0499878,0.6002274752,
478.9500122,0.6328529716,
480,0.6474681497,
481.0599976,0.6169310212,
481.9599915,0.5310468078,
483.0299988,0.5659486055,
483.9299927,0.5305704474,
485,0.553986609,
486.0599976,0.5453484058,
486.9599915,0.5302353501,
488.0299988,0.5354183316,
488.9299927,0.5668783784,
490,0.5237009525,
491.0400085,0.5377861261,
491.9400024,0.5264985561,
492.980011,0.5206364393,
494.019989,0.5086435676,
495.0700073,0.589789927,
495.9700012,0.5451204181,
497.0100098,0.5742129087,
498.0499878,0.541821897,
498.9500122,0.6074357033,
500,0.4990758002,
501.0599976,0.6013410091,
501.9599915,0.5750431418,
503.0299988,0.6150628924,
503.9299927,0.6911552548,
505,0.4827692509,
506.0599976,0.6096343398,
506.9599915,0.5940693617,
508.0299988,0.5932136774,
508.9299927,0.6758235693,
510,0.6069247127,
511.0400085,0.6287301779,
511.9400024,0.6479299068,
512.9799805,0.5968597531,
514.0200195,0.6004609466,
515.0700073,0.6238805652,
515.9699707,0.5630524755,
517.0100098,0.6702232957,
518.0499878,0.5552960038,
518.9500122,0.7571755648,
520,0.6584390998,
