Sample 8,,
Wavelength (nm),Intensity (a.u.),
220,3.819036484,
220.9299927,4.651162624,
222.0299988,5.368686199,
222.9600067,3.918495417,
224.0599976,4.648501873,
225,5.162089825,
225.9299927,5.964447498,
227.0299988,5.737388134,
227.9600067,5.547025681,
229.0599976,5.300074577,
230,5.630913258,
230.9299927,5.431675434,
232.0299988,5.717755318,
232.9600067,5.693439007,
234.0599976,5.535478592,
235,5.734282017,
235.9299927,5.851948738,
237.0299988,5.769072056,
237.9600067,5.709049702,
239.0599976,5.547120094,
240,5.400149345,
240.9299927,5.321095467,
242.0299988,5.108437538,
242.9600067,5.396127701,
244.0599976,5.495252609,
245,5.634309292,
245.9299927,5.325372219,
247.0299988,5.441084385,
247.9600067,5.471997738,
249.0599976,5.426875591,
250,5.80569458,
250.9299927,5.834878445,
252.0299988,6.351099491,
252.9600067,6.36118269,
254.0599976,6.919107437,
255,6.886153221,
255.9299927,7.487985134,
257.0299988,7.656648159,
257.9599915,7.581380367,
259.0599976,7.278244972,
260,7.02319479,
261.0700073,6.78793478,
262,6.652137756,
263.0700073,6.512767792,
264,7.161645412,
265.0700073,7.137184143,
266,7.433346748,
267.0700073,7.303133011,
268,7.445809841,
269.0700073,7.507533073,
270,7.256906033,
270.9299927,7.040235519,
272.0299988,6.992572784,
272.9599915,6.900877953,
274.0599976,6.346734524,
275,6.365824223,
275.9299927,6.043728352,
277.0299988,5.75357151,
277.9599915,5.462852955,
279.0599976,5.312582016,
280,5.042708397,
280.9299927,4.940083504,
282.0299988,4.814465046,
282.9599915,4.494436264,
284.0599976,4.366218567,
285,4.266708851,
285.9299927,4.134993553,
287.0299988,4.16280508,
287.9599915,4.00525713,
289.0599976,3.684280634,
290,3.64403677,
291.0700073,3.901693583,
292,3.880848408,
293.0700073,3.841605186,
294,4.064464092,
295.0700073,3.892407656,
296,4.055371761,
297.0700073,4.035350323,
298,4.203141689,
299.0700073,4.139647484,
300,4.351640224,
300.9299927,4.594278812,
302.0299988,4.729126453,
302.9599915,4.728132248,
