Sample 9,,
Wavelength (nm),Intensity (a.u.),
220,0.7242178321,
220.9299927,-0.7597821951,
222.0299988,0.4338394701,
222.9600067,-0.1003210247,
224.0599976,-0.1455921978,
225,0.3138896227,
225.9299927,0,
227.0299988,0.2675704658,
227.9600067,0.2978997827,
229.0599976,0.2084250003,
230,0.1120674238,
230.9299927,0.0716092959,
232.0299988,-0.0777625069,
232.9600067,0.1388734579,
234.0599976,-0.08789663017,
235,-0.08831062168,
235.9299927,-0.05987127498,
237.0299988,0,
237.9600067,0.1202559099,
239.0599976,0.1011081487,
240,0.1022338122,
240.9299927,0.03025398217,
242.0299988,0.1085246131,
242.9600067,0.1371314526,
244.0599976,0.04698254541,
245,0.1398511082,
245.9299927,0.07077927887,
247.0299988,0.09958572686,
247.9600067,0.0102304928,
249.0599976,0.1759459823,
250,0.0761315003,
250.9299927,0.2440777272,
252.0299988,0.1203405634,
252.9600067,0.248550117,
254.0599976,0.0509926565,
255,0.1886229068,
255.9299927,-0.06888855249,
257.0299988,0.06757517904,
257.9599915,0.07679606974,
259.0599976,0.1026799455,
260,-0.02566647343,
261.0700073,0.03698874637,
262,0.06794599444,
263.0700073,0.02232541516,
264,0.1438960433,
265.0700073,0.1295714527,
266,0,
267.0700073,0.1054518595,
268,0.06375227869,
269.0700073,-0.01808399893,
270,0.0812195912,
270.9299927,0.05554673821,
272.0299988,0.01550423633,
272.9599915,-0.007943000644,
274.0599976,-0.008466899395,
275,0.05991970748,
275.9299927,0.06325339526,
277.0299988,0.05010480061,
277.9599915,0.016135538,
279.0599976,0.03896083683,
280,-0.01859738678,
280.9299927,0.1200025901,
282.0299988,0.02523977868,
282.9599915,-0.02407472767,
284.0599976,-0.008014618419,
285,0.0398263596,
285.9299927,0.0726621002,
287.0299988,-0.02335793711,
287.9599915,0.01608518697,
289.0599976,0.0176744014,
290,-0.03204024211,
291.0700073,0.04804304615,
292,0,
293.0700073,0.02996456623,
294,0.0564234592,
295.0700073,-0.04164151102,
296,-0.02132605389,
297.0700073,0.02130908705,
298,0.0156820938,
299.0700073,-0.02402594872,
300,-0.02567679808,
300.9299927,0.06429982185,
302.0299988,0.04036123306,
302.9599915,-0.02077641524,
304.0599976,0,
305,0.04193311557,
305.9299927,0.06489924341,
307.0299988,0.1126010865,
307.9599915,0.1246520132,
309.0599976,0.02975452505,
310,0.02985847183,
311.0700073,0.0858470425,
312,0.06497232616,
313.0700073,0.01119144075,
314,0.08316008747,
315.0700073,0.1684614271,
316,-0.05447810143,
317.0700073,0,
318,-0.05936039239,
319.0700073,0.1220777631,
320,0.01511190366,
321.0700073,0.02988196723,
322,0.1409880519,
323.0700073,0,
324,0.1108970195,
325.0700073,0.02780442499,
326,-0.01436740346,
327.0700073,-0.01509980951,
328,0.06287034601,
329.0700073,0.1805202365,
330,0.09599078447,
330.9299927,0.04767807573,
332.0299988,0.2196181715,
332.9599915,0.02997467108,
334.0599976,0.1203568578,
335,0.1396431327,
335.9299927,0.07739219069,
