Sample 17,,
Wavelength (nm),Intensity (a.u.),
474.9200134,0.2323595583,
475.9700012,0.1517034471,
476.8599854,0.1839058101,
477.9100037,0.1693842858,
478.9500122,0.16147089,
479.8500061,0.1495831311,
480.8900146,0.1418138891,
481.9400024,0.1839122176,
482.980011,0.1732406616,
483.8800049,0.1830430776,
484.9200134,0.1931878775,
485.9700012,0.2024609745,
486.8599854,0.2050499469,
487.9100037,0.2033661306,
488.9500122,0.2207347453,
489.8500061,0.2055551857,
490.8900146,0.1904278398,
491.9400024,0.2303828001,
492.980011,0.2394867092,
493.8800049,0.243086338,
494.9200134,0.254116267,
495.9700012,0.2442791909,
496.8599854,0.2721583247,
497.9100037,0.3174248338,
498.9500122,0.3567636013,
499.8500061,0.381801039,
500.8900146,0.4225241244,
501.9400024,0.4487478435,
502.980011,0.5376619101,
503.8800049,0.5802932978,
504.9200134,0.6024711728,
505.9700012,0.7233923078,
506.8599854,0.8125606775,
507.9100037,0.8938905597,
508.9500122,1.026364684,
509.8500061,1.096909642,
510.8900146,1.203630805,
511.9400024,1.371792316,
512.9799805,1.534358621,
513.8800049,1.660146713,
514.9199829,1.87481761,
515.9699707,2.109427452,
516.8599854,2.242026806,
517.9099731,2.46093154,
518.9500122,2.767841816,
519.8499756,3.048581123,
520.8800049,3.273077965,
521.9099731,3.610142946,
522.9400024,3.871539354,
523.9699707,4.221241474,
524.8499756,4.596501827,
525.8800049,4.950951576,
526.9099731,5.365408897,
527.9400024,5.786093712,
528.9699707,6.178044319,
529.8499756,6.431891918,
530.8900146,6.848540783,
531.9400024,7.324195862,
532.9799805,7.850611687,
533.8800049,8.168761253,
534.9199829,8.719973564,
535.9699707,9.169157028,
536.8599854,9.418569565,
537.9099731,9.985871315,
538.9500122,10.55544662,
539.8499756,10.80805492,
540.8800049,11.2275753,
541.9099731,11.65624809,
542.9400024,11.92534828,
543.9699707,12.38856316,
544.8499756,12.66923904,
545.8800049,13.12402725,
546.9099731,13.45053196,
547.9400024,13.66308308,
548.9699707,13.88092804,
549.8499756,14.31809044,
550.8800049,14.4330368,
551.9099731,14.75270653,
552.9400024,14.88969707,
553.9699707,15.10818577,
554.8499756,15.34226418,
555.8800049,15.5806942,
556.9099731,15.55472279,
557.9400024,15.79437065,
558.9699707,15.72596073,
559.8499756,16.04387665,
560.8800049,16.05108833,
561.9099731,16.09666443,
562.9400024,16.25526428,
563.9699707,16.40382576,
564.8499756,16.29578781,
565.8800049,16.3203373,
566.9099731,16.51353073,
567.9400024,16.55479622,
568.9699707,16.52996063,
569.8499756,16.49177551,
570.8599854,16.51301193,
571.8800049,16.46003723,
572.8900146,16.45879555,
573.9099731,16.41951942,
574.9199829,16.35840797,
575.9400024,16.32002068,
576.9500122,16.2745266,
577.9699707,16.18030548,
578.9799805,16.01096916,
579.8499756,15.99962234,
580.8800049,15.8626833,
581.9099731,15.78877163,
582.9400024,15.72958183,
583.9699707,15.66638565,
584.8499756,15.52370739,
585.8800049,15.35485172,
586.9099731,15.28471661,
587.9400024,15.13786507,
588.9699707,15.103405,
589.8499756,14.92243099,
590.8599854,14.80535126,
591.8800049,14.71141148,
592.8900146,14.44761848,
593.9099731,14.26114082,
594.9199829,14.18991661,
595.9400024,14.02260494,
596.9500122,13.96094799,
597.9699707,13.73944664,
598.9799805,13.64798832,
599.8499756,13.38089848,
600.8599854,13.34908772,
601.8800049,12.99518871,
602.8900146,12.94975662,
603.9099731,12.79947281,
604.9199829,12.61136913,
605.9400024,12.34670639,
606.9500122,12.10479736,
607.9699707,12.00438881,
608.9799805,11.76434231,
609.8499756,11.56689072,
610.8599854,11.47097397,
611.8800049,11.36941242,
612.8900146,11.01721382,
613.9099731,10.86868477,
614.9199829,10.69796467,
615.9400024,10.48739624,
616.9500122,10.32687092,
617.9699707,10.06466675,
618.9799805,9.993322372,
619.8499756,9.707633972,
620.8599854,9.59731102,
621.8800049,9.304944992,
622.8900146,9.146378517,
623.9099731,8.985738754,
624.9199829,8.913770676,
625.9400024,8.670557976,
626.9500122,8.539115906,
627.9699707,8.280502319,
628.9799805,8.124045372,
629.8499756,8.009601593,
630.8499756,7.886931419,
631.8499756,7.71873951,
632.8499756,7.498932362,
633.8499756,7.370693684,
634.8499756,7.178992748,
635.8499756,7.00812149,
636.8499756,6.831933975,
637.8499756,6.596062183,
638.8499756,6.490563869,
639.8499756,6.421364784,
640.8599854,6.282810688,
641.8800049,6.123757839,
642.8900146,6.033287048,
643.9099731,5.921337605,
644.9199829,5.826924801,
645.9400024,5.580622673,
646.9500122,5.487682819,
647.9699707,5.406653881,
648.9799805,5.188954353,
649.8499756,5.16730547,
650.8499756,4.995998859,
651.8499756,4.860702991,
652.8499756,4.700642586,
653.8499756,4.643849373,
654.8499756,4.565615654,
655.8499756,4.492146969,
656.8499756,4.34296751,
657.8499756,4.216289997,
658.8499756,4.145485878,
659.8499756,4.064912319,
660.8499756,3.902812004,
661.8499756,3.763117075,
662.8499756,3.709058046,
663.8499756,3.606767178,
664.8499756,3.559487104,
665.8499756,3.464886427,
666.8499756,3.381086588,
667.8499756,3.309544325,
668.8499756,3.226747274,
669.8499756,3.128894567,
670.9799805,3.011769295,
671.9699707,2.960144758,
672.9500122,2.892384052,
673.9400024,2.787004948,
674.9199829,2.74327445,
675.9099731,2.699856281,
676.9000244,2.630194664,
677.8800049,2.489352226,
678.8699951,2.476999283,
679.8499756,2.408350706,
680.8499756,2.382498026,
681.8499756,2.268443108,
682.8499756,2.242263556,
683.8499756,2.192825079,
684.8499756,2.174599409,
685.8499756,2.071773767,
686.8499756,2.01534009,
687.8499756,1.950038314,
688.8499756,1.926999927,
689.8499756,1.894114733,
690.9799805,1.817457199,
691.9699707,1.770836949,
692.9500122,1.705423117,
693.9400024,1.729760766,
694.9199829,1.655407071,
695.9099731,1.554642677,
696.9000244,1.581530452,
697.8800049,1.532132745,
698.8699951,1.534324765,
699.8499756,1.454004526,
700.9799805,1.463898659,
701.9699707,1.426231027,
702.9500122,1.379260421,
703.9400024,1.312658906,
704.9199829,1.376431346,
705.9099731,1.312505603,
706.9000244,1.257428646,
707.8800049,1.235654712,
708.8699951,1.224606276,
709.8499756,1.214443564,
710.9799805,1.137973309,
711.9699707,1.149129987,
712.9500122,1.183619738,
713.9400024,1.136308908,
714.9199829,1.118522763,
715.9099731,1.06192863,
716.9000244,1.02954936,
717.8800049,1.032961845,
718.8699951,0.9866402149,
719.8499756,0.9799084067,
720.9699707,0.9695101976,
721.9400024,0.9217791557,
722.9099731,0.9791607857,
723.8800049,0.9062096477,
724.8599854,0.9090611339,
725.9699707,0.8477007747,
726.9400024,0.8326511383,
727.9099731,0.8200575709,
728.8800049,0.8102940917,
729.8599854,0.8466668725,
730.9799805,0.795492053,
731.9699707,0.750246644,
732.9500122,0.7434197664,
733.9400024,0.7119169235,
734.9199829,0.7011026144,
735.9099731,0.6811810732,
736.9000244,0.6276218295,
737.8800049,0.6135748029,
738.8699951,0.6362436414,
739.8499756,0.6480167508,
740.9500122,0.6266542673,
741.9099731,0.5354200602,
742.8699951,0.5771642327,
743.9699707,0.5510292649,
744.9299927,0.5236378908,
745.8900146,0.5168567896,
746.9799805,0.5335631371,
747.9400024,0.5142408013,
748.9000244,0.4697586894,
749.8599854,0.4787978232,
750.9699707,0.4483528137,

Sample 17,
Sample 17
Collection Time: 8/08/2023 4:47:53 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        475.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               465.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/08/2023 3:45:53 PM
Method Modifications:
Overlayed Graphs Changed: 8/08/2023 3:46:16 PM, Old:OFF, New:ON
Scan Control Changed: 8/08/2023 3:46:16 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/08/2023 3:46:16 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 350.00, New: 390.00
Stop Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 8/08/2023 3:53:59 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 8/08/2023 3:53:59 PM, Old: 450.00, New: 550.00
User Delta Increment Changed: 8/08/2023 3:53:59 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 390.00, New: 220.00
Emission Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 400.00, New: 550.00
Stop Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 700.00, New: 540.00
Scan mode: Changed: 8/08/2023 4:01:40 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 220.00, New: 420.00
Emission Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 550.00, New: 430.00
Stop Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 540.00, New: 700.00
Scan mode: Changed: 8/08/2023 4:08:47 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 420.00, New: 220.00
Emission Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 430.00, New: 540.00
Stop Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 8/08/2023 4:17:05 PM, Old:Excitation, New:Emission
User Delta Stop Changed: 8/08/2023 4:17:05 PM, Old: 550.00, New: 585.00
Excitation Wavelength Changed: 8/08/2023 4:17:05 PM, Old: 220.00, New: 585.00
Emission Wavelength Changed: 8/08/2023 4:17:05 PM, Old: 540.00, New: 595.00
Stop Wavelength Changed: 8/08/2023 4:17:05 PM, Old: 530.00, New: 750.00
User Delta Stop Changed: 8/08/2023 4:19:05 PM, Old: 585.00, New: 630.00
Excitation Wavelength Changed: 8/08/2023 4:19:05 PM, Old: 585.00, New: 630.00
Emission Wavelength Changed: 8/08/2023 4:19:05 PM, Old: 595.00, New: 640.00
Stop Wavelength Changed: 8/08/2023 4:19:05 PM, Old: 750.00, New: 850.00
Scan mode: Changed: 8/08/2023 4:26:11 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 8/08/2023 4:26:11 PM, Old: 630.00, New: 750.00
Excitation Wavelength Changed: 8/08/2023 4:26:11 PM, Old: 630.00, New: 220.00
Emission Wavelength Changed: 8/08/2023 4:26:11 PM, Old: 640.00, New: 750.00
Stop Wavelength Changed: 8/08/2023 4:26:11 PM, Old: 850.00, New: 740.00
PMT Volts Changed: 8/08/2023 4:30:58 PM, Old:600, New:800
Emission PMT (V): Changed: 8/08/2023 4:30:58 PM, Old: 600, New: 800
Excitation Wavelength Changed: 8/08/2023 4:30:58 PM, Old: 220.00, New: 400.00
Emission Wavelength Changed: 8/08/2023 4:30:58 PM, Old: 750.00, New: 720.00
Stop Wavelength Changed: 8/08/2023 4:30:58 PM, Old: 740.00, New: 710.00
PMT Volts Changed: 8/08/2023 4:35:35 PM, Old:800, New:600
Emission PMT (V): Changed: 8/08/2023 4:35:35 PM, Old: 800, New: 600
Emission Wavelength Changed: 8/08/2023 4:35:35 PM, Old: 720.00, New: 750.00
Stop Wavelength Changed: 8/08/2023 4:35:35 PM, Old: 710.00, New: 740.00
Excitation Wavelength Changed: 8/08/2023 4:36:02 PM, Old: 400.00, New: 220.00
Scan mode: Changed: 8/08/2023 4:47:50 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/08/2023 4:47:50 PM, Old: 220.00, New: 465.00
Emission Wavelength Changed: 8/08/2023 4:47:50 PM, Old: 750.00, New: 475.00
Stop Wavelength Changed: 8/08/2023 4:47:50 PM, Old: 740.00, New: 750.00
End Method Modifications

