Sample 18,,
Wavelength (nm),Intensity (a.u.),
490,0.2128785849,
491.0400085,0.1557246149,
491.9400024,0.1727195233,
492.980011,0.1437434256,
494.019989,0.1270794868,
495.0700073,0.1373249143,
495.9700012,0.1207833663,
497.0100098,0.1265975684,
498.0499878,0.1425516754,
498.9500122,0.09722007811,
500,0.1093418151,
501.0400085,0.1712573171,
501.9400024,0.1207583621,
502.980011,0.07562667876,
504.019989,0.1321656704,
505.0700073,0.1096010506,
505.9700012,0.1098780334,
507.0100098,0.09227592498,
508.0499878,0.1048682183,
508.9500122,0.1342203617,
510,0.08101288974,
511.0400085,0.1732471734,
511.9400024,0.1618553251,
512.9799805,0.1973187923,
514.0200195,0.2117274106,
515.0700073,0.17754969,
515.9699707,0.1888703853,
517.0100098,0.2817484438,
518.0499878,0.3511902988,
518.9500122,0.2928476334,
520,0.2980318367,
521.0200195,0.3890553415,
522.0499878,0.3973258138,
522.9400024,0.4024954736,
523.9699707,0.5451749563,
525,0.4986416399,
526.0200195,0.5469451547,
527.0499878,0.6792314649,
527.9400024,0.6908701658,
528.9699707,0.7922116518,
530,0.9402074218,
531.039978,1.007639289,
531.9400024,1.080785871,
532.9799805,1.140973687,
534.0200195,1.268925786,
535.0700073,1.442942619,
535.9699707,1.543956161,
537.0100098,1.538182616,
538.0499878,1.851216555,
538.9500122,1.979900718,
540,2.112110615,
541.0200195,2.228565454,
542.0499878,2.455408812,
542.9400024,2.683462143,
543.9699707,2.725779533,
545,3.009717703,
546.0200195,3.212800503,
547.0499878,3.496422052,
547.9400024,3.826146364,
548.9699707,3.953886747,
550,4.109549522,
551.0200195,4.489874363,
552.0499878,4.667573929,
552.9400024,4.826654911,
553.9699707,5.249218941,
555,5.565045834,
556.0200195,5.838572979,
557.0499878,6.08397913,
557.9400024,6.28143692,
558.9699707,6.594547749,
560,7.06965065,
561.0200195,7.324672222,
562.0499878,7.472972393,
562.9400024,7.595130444,
563.9699707,7.898782253,
565,7.875634193,
566.0200195,8.315922737,
567.0499878,8.585150719,
567.9400024,8.470514297,
568.9699707,8.659978867,
570,9.044760704,
571.0100098,9.263286591,
572.0200195,9.490242004,
573.039978,9.52928257,
574.0499878,9.587509155,
575.0700073,9.94334507,
575.9400024,9.931639671,
576.9500122,10.00928879,
577.9699707,10.19019699,
578.9799805,10.29888725,
580,10.50577545,
581.0200195,10.46937561,
582.0499878,10.59236145,
582.9400024,10.66300678,
583.9699707,10.82726669,
585,10.52241707,
586.0200195,10.58108044,
587.0499878,10.73209667,
587.9400024,10.7386694,
588.9699707,10.98512077,
590,11.08134842,
591.0100098,10.71234512,
592.0200195,11.00563908,
593.039978,10.79128265,
594.0499878,10.73041344,
595.0700073,10.56970406,
595.9400024,10.79886913,
596.9500122,10.71836472,
597.9699707,10.4705534,
598.9799805,10.79469585,
600,10.44803715,
601.0100098,10.37064934,
602.0200195,10.54392433,
603.039978,10.18172073,
604.0499878,10.22849464,
605.0700073,10.23147392,
605.9400024,10.27577114,
606.9500122,9.94685936,
607.9699707,10.14823818,
608.9799805,10.02337933,
610,10.04368591,
611.0100098,9.871219635,
612.0200195,9.629227638,
613.039978,9.771796227,
614.0499878,9.745938301,
615.0700073,9.354669571,
615.9400024,9.197875023,
616.9500122,9.109442711,
617.9699707,9.269526482,
618.9799805,8.917930603,
620,8.790890694,
621.0100098,9.003861427,
622.0200195,8.697433472,
623.039978,8.530034065,
624.0499878,8.326196671,
625.0700073,8.389242172,
625.9400024,8.264802933,
626.9500122,7.960134983,
627.9699707,8.026059151,
628.9799805,8.067052841,
630,7.915659904,
631,7.663681507,
632,7.604562759,
633,7.450567245,
634,7.223695278,
635,7.297349453,
636,7.116701126,
637,7.019693375,
638,6.860941887,
639,6.847416401,
640,6.56867075,
641.0100098,6.450745583,
642.0200195,6.329298973,
643.039978,6.161657333,
644.0499878,6.200408459,
645.0700073,6.025004864,
645.9400024,5.845982075,
646.9500122,5.839759827,
647.9699707,5.72365427,
648.9799805,5.529814243,
650,5.624076366,
651,5.359730244,
652,5.154969215,
653,5.296069145,
654,4.963932991,
655,5.02278614,
656,4.790426254,
657,4.756694794,
658,4.621423244,
659,4.619406223,
660,4.382156372,
661,4.350234509,
662,4.294955254,
663,4.239964485,
664,4.065017223,
665,3.956683397,
666,3.936939478,
667,3.834190369,
668,3.757156849,
669,3.706483603,
670,3.582937002,
670.9799805,3.456809998,
671.9699707,3.325437546,
672.9500122,3.299913406,
673.9400024,3.252959251,
675.0700073,3.23374176,
676.0499878,3.084704876,
677.039978,3.006887913,
678.0200195,3.13028264,
679.0100098,2.929608583,
680,2.83855772,
681,2.757092953,
682,2.758185387,
683,2.720319748,
684,2.530636311,
685,2.542629719,
686,2.483515978,
687,2.394338608,
688,2.404602051,
689,2.225740194,
690,2.241301775,
690.9799805,2.203523159,
691.9699707,2.049525261,
692.9500122,2.150121927,
693.9400024,1.91702199,
695.0700073,1.940420389,
696.0499878,1.921425939,
697.039978,1.874909282,
698.0200195,1.92025435,
699.0100098,1.781737208,
700,1.842544079,
700.9799805,1.743810058,
701.9699707,1.778447986,
702.9500122,1.670018435,
703.9400024,1.631216884,
705.0700073,1.609872341,
706.0499878,1.700281382,
707.039978,1.648654699,
708.0200195,1.608208179,
709.0100098,1.543899536,
710,1.550749183,
710.9799805,1.42401886,
711.9699707,1.515806437,
712.9500122,1.451965094,
713.9400024,1.431034565,
715.0700073,1.410347819,
716.0499878,1.337035894,
717.039978,1.318352818,
718.0200195,1.369360089,
719.0100098,1.260842681,
720,1.219639659,
720.9699707,1.1620574,
721.9400024,1.233433008,
723.0499878,1.170683265,
724.0200195,1.148311973,
725,1.062895775,
725.9699707,1.134775043,
726.9400024,1.099256277,
728.0499878,1.122175455,
729.0200195,1.049685001,
730,1.006059647,
730.9799805,0.8648962379,
731.9699707,0.9665617347,
732.9500122,0.9469179511,
733.9400024,0.9627613425,
735.0700073,0.945106566,
736.0499878,0.8914058208,
737.039978,0.93584764,
738.0200195,0.8284284472,
739.0100098,0.794436574,
740,0.8707301021,
740.9500122,0.7533198595,
742.0499878,0.7375327349,
743.0100098,0.7043576241,
743.9699707,0.717168808,
745.0599976,0.6984562874,
746.0200195,0.706864953,
746.9799805,0.6686318517,
747.9400024,0.6283251643,
749.039978,0.5593972802,
750,0.7336671352,
750.9699707,0.6653081179,
751.9400024,0.6119260192,
753.0499878,0.5577479005,
754.0200195,0.570800066,
755,0.5623863935,
755.9699707,0.5153401494,
756.9400024,0.5344145298,
758.0499878,0.5324593186,
759.0200195,0.462592274,
760,0.5138777494,
760.9699707,0.455526948,
761.9400024,0.4590800703,
763.0499878,0.4262948036,
764.0200195,0.4545803666,
765,0.3772184253,
765.9699707,0.4432301223,
766.9400024,0.4020590186,
768.0499878,0.405009836,
769.0200195,0.3783512115,
770,0.4233422577,
770.9500122,0.364913851,
772.0499878,0.3953992128,
773.0100098,0.3291175067,
773.9699707,0.3452755511,
775.0599976,0.3449793756,
776.0200195,0.3590875566,
776.9799805,0.3039259911,
777.9400024,0.3647251725,
779.039978,0.2338199615,
780,0.293639183,
780.9400024,0.2742453516,
782.0200195,0.274274826,
782.9699707,0.2496136874,
784.0499878,0.3255927563,
785,0.2710138857,
785.9400024,0.2110875249,
787.0200195,0.3043320477,
787.9699707,0.1903432608,
789.0499878,0.2617526948,
790,0.1932140887,
790.9500122,0.2971006632,
792.0499878,0.2146769464,
793.0100098,0.1713418514,
793.9699707,0.2363437712,
795.0599976,0.1581740826,
796.0200195,0.2208288014,
796.9799805,0.218752414,
797.9400024,0.156299755,
799.039978,0.1849368811,
800,0.1883815676,

Sample 18,
Sample 18
Collection Time: 6/05/2023 3:57:26 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        490.00
Stop (nm)                         800.00
Ex. Wavelength (nm)               480.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 6/05/2023 12:05:31 PM
Method Modifications:
