Sample 19,,
Wavelength (nm),Intensity (a.u.),
490,0.1501137465,
491.0400085,0.1017564312,
491.9400024,0.06214337796,
492.980011,0.0455663912,
494.019989,0.06836633384,
495.0700073,0.08059501648,
495.9700012,0.02352180146,
497.0100098,0.04631532729,
498.0499878,0.01183067914,
498.9500122,0.08197105676,
500,0.02930179611,
501.0400085,0.02908803336,
501.9400024,0.04081109166,
502.980011,0.1342023462,
504.019989,0.08688147366,
505.0700073,0.01176235266,
505.9700012,0.0462051183,
507.0100098,0.05822924897,
508.0499878,0.0172919631,
508.9500122,0.07510153204,
510,0.07596963644,
511.0400085,0.09929558635,
511.9400024,0.08035955578,
512.9799805,0.09313805401,
514.0200195,0.0944615975,
515.0700073,0.08875529468,
515.9699707,0.1064616293,
517.0100098,0.08292610198,
518.0499878,0.124524869,
518.9500122,0.1060907915,
520,0.1014440879,
521.0200195,0.07701011002,
522.0499878,0.06556126475,
522.9400024,0.08316996694,
523.9699707,0.05409466475,
525,0.07113176584,
526.0200195,0.05268272012,
527.0499878,0.05830189958,
527.9400024,0,
528.9699707,0.05270493403,
530,0.09757665545,
531.039978,0.0174638927,
531.9400024,0.05250538141,
532.9799805,0.06399664283,
534.0200195,0.02301509306,
535.0700073,0.05238405615,
535.9699707,0.03505082428,
537.0100098,0.005804100074,
538.0499878,0,
538.9500122,0.01175765134,
540,0.05266699567,
541.0200195,0.09925616533,
542.0499878,0.01748720556,
542.9400024,0.0234980341,
543.9699707,0.04600556567,
545,0.04633705691,
546.0200195,0.04032652825,
547.0499878,0.04046242684,
547.9400024,0.01178529486,
548.9699707,0.0763425976,
550,0.09334071726,
551.0200195,0.06381805986,
552.0499878,0.06930727512,
552.9400024,0.04072229937,
553.9699707,0.09286182374,
555,0.09232544899,
556.0200195,0.1549311131,
557.0499878,0.1727762222,
557.9400024,0.1803667843,
558.9699707,0.2138369828,
560,0.1967342049,
561.0200195,0.1217363104,
562.0499878,0.1569001228,
562.9400024,0.1641073823,
563.9699707,0.1513854712,
565,0.150787577,
566.0200195,0.2025240213,
567.0499878,0.0462804921,
567.9400024,0.03476044536,
568.9699707,0.07584862411,
570,0.05808313936,
571.0100098,0.06399143487,
572.0200195,0.04678307846,
573.039978,0.01163203269,
574.0499878,0.05207791179,
575.0700073,0.04060465842,
575.9400024,0.02903280035,
576.9500122,0.02343292348,
577.9699707,0.05208152533,
578.9799805,-0.01748190634,
580,0.02924404107,
581.0200195,0.05877028778,
582.0499878,0.01175267715,
582.9400024,0.09326183796,
583.9699707,0.02912496962,
585,0.04682963341,
586.0200195,0.04127553105,
587.0499878,0.005859226454,
587.9400024,0.02894121408,
588.9699707,0.0695906356,
590,-0.01156303287,
591.0100098,0,
592.0200195,-0.01716433652,
593.039978,0.07570419461,
594.0499878,0.02299405634,
595.0700073,0.06331445277,
595.9400024,0.0229580272,
596.9500122,0.005691940896,
597.9699707,0.02295855433,
598.9799805,-0.0230540894,
600,-0.05191449076,
601.0100098,0.04032095522,
602.0200195,0.04009876028,
603.039978,0.04588471353,
604.0499878,0.01148897037,
605.0700073,-0.0347953178,
605.9400024,-0.005785865244,
606.9500122,0.07510153204,
607.9699707,0.09802960604,
608.9799805,0.03506393358,
610,0.05232588574,
611.0100098,-0.005859363824,
612.0200195,0.06409695745,
613.039978,0.02963314205,
614.0499878,0.0115197422,
615.0700073,0.02327002026,
615.9400024,0.08198545128,
616.9500122,0.04682250693,
617.9699707,-0.01752571948,
618.9799805,0.08073531091,
620,0.005896817427,
621.0100098,0.0580538027,
622.0200195,-0.01151079126,
623.039978,-0.005884083919,
624.0499878,0.02883373201,
625.0700073,0.04695166275,
625.9400024,-0.005913975183,
626.9500122,0.02963595279,
627.9699707,0.02899256721,
628.9799805,0,
630,0.01162641961,
631,0.02896888182,
632,0.04012795165,
633,0.02872341685,
634,0.01728060842,
635,0.07103028893,
636,-0.006030635443,
637,0.07059072703,
638,-0.02932413667,
639,0.05941135064,
640,-0.04804227874,
641.0100098,0.01190037001,
642.0200195,0.03604945913,
643.039978,-0.02952273376,
644.0499878,0.04683100432,
645.0700073,0.04152134433,
645.9400024,0.0233568456,
646.9500122,0.05911318213,
647.9699707,0.01191405207,
648.9799805,0.01173013635,
650,0.005884775892,
651,0.00589528773,
652,-0.01772494428,
653,0.01751139574,
654,0,
655,0.02956935205,
656,0.03544905037,
657,0.08985263854,
658,0.005980146118,
659,0.01198164374,
660,0.04713923857,
661,0.04174941778,
662,0,
663,0.02976349927,
664,0.02376708202,
665,-0.05460999534,
666,0.05930494517,
667,0.006107914262,
668,-0.006114936434,
669,0.06056091562,
670,0.02401594631,
670.9799805,0.09427014738,
671.9699707,0,
672.9500122,0.03506208956,
673.9400024,0.03535880521,
675.0700073,-0.005918490235,
676.0499878,-0.01767325774,
677.039978,0.0059384536,
678.0200195,0.02888904326,
679.0100098,-0.03560556099,
680,-0.01191156823,
681,0.01167835481,
682,0.0704626441,
683,-0.02350355871,
684,0,
685,0.03532778099,
686,-0.005961038638,
687,-0.01175854914,
688,0.005849629175,
689,0.02938376367,
690,0.04182375595,
690.9799805,0,
691.9699707,-0.02965651825,
692.9500122,-0.01783410646,
693.9400024,0.06475578249,
695.0700073,0.005963171367,
696.0499878,-0.05231219903,
697.039978,0.0468993634,
698.0200195,0.01183263864,
699.0100098,0.03532195836,
700,0.02942093648,
