Sample 57,,
Wavelength (nm),Intensity (a.u.),
493.8800049,0.1520737708,
494.9200134,0.1588544697,
495.8200073,0.1735745668,
496.8599854,0.1062792689,
497.9100037,0.1288081259,
498.7999878,0.1876933277,
499.8500061,0.2251348048,
500.8900146,0.2534136176,
501.9400024,0.200006038,
502.8299866,0.2691558599,
503.8800049,0.2815653682,
504.9200134,0.1797900945,
505.8200073,0.2073720843,
506.8599854,0.2096420676,
507.9100037,0.1949432492,
508.7999878,0.18185395,
509.8500061,0.2176800519,
510.8900146,0.2220174819,
511.9400024,0.2061840445,
512.8300171,0.2354949862,
513.8800049,0.168910861,
514.9199829,0.1957930326,
515.8200073,0.2006838173,
516.8599854,0.2424990684,
517.9099731,0.2287552804,
518.7999878,0.1882161945,
519.8499756,0.2072032839,
520.8800049,0.256347388,
521.9099731,0.2674571574,
522.9400024,0.2354823202,
523.8200073,0.2354154587,
524.8499756,0.2839433849,
525.8800049,0.3133743703,
526.9099731,0.2991257906,
527.9400024,0.3103778362,
528.8200073,0.3596947193,
529.8499756,0.3746151924,
530.8900146,0.3715979159,
531.9400024,0.3929127455,
532.8300171,0.4331616759,
533.8800049,0.5098869205,
534.9199829,0.4748231471,
535.8200073,0.4833198786,
536.8599854,0.549985528,
537.9099731,0.6485781074,
538.7999878,0.6446067691,
539.8499756,0.748963654,
540.8800049,0.7549040914,
541.9099731,0.8417727947,
542.9400024,1.012650728,
543.8200073,0.9234701991,
544.8499756,1.07186687,
545.8800049,1.161525607,
546.9099731,1.243904352,
547.9400024,1.398058295,
548.8200073,1.402684569,
549.8499756,1.507981896,
550.8800049,1.598915458,
551.9099731,1.673266172,
552.9400024,1.731395006,
553.8200073,1.951600313,
554.8499756,2.065555573,
555.8800049,2.066590071,
556.9099731,2.245942116,
557.9400024,2.39031601,
558.8200073,2.594329596,
559.8499756,2.627310276,
560.8800049,2.799009323,
561.9099731,2.946639538,
562.9400024,3.235577822,
563.8200073,3.139030218,
564.8499756,3.387182713,
565.8800049,3.564335585,
566.9099731,3.779790401,
567.9400024,3.795984745,
568.8200073,3.936392307,
569.8499756,4.112975121,
570.8599854,4.071828842,
571.8800049,4.131966591,
572.8900146,4.355688095,
573.9099731,4.48220253,
574.9199829,4.493093967,
575.9400024,4.664945602,
576.8099976,4.671514988,
577.8200073,5.004776001,
578.8400269,4.989355564,
579.8499756,5.122096539,
580.8800049,5.244067192,
581.9099731,5.321357727,
582.9400024,5.316317081,
583.8200073,5.475357056,
584.8499756,5.547080517,
585.8800049,5.61480999,
586.9099731,5.687158108,
587.9400024,5.727395058,
588.8200073,5.641336918,
589.8499756,5.618062019,
590.8599854,5.897580147,
591.8800049,5.805789471,
592.8900146,5.866159916,
593.9099731,5.919733047,
594.9199829,5.865046978,
595.9400024,6.020079136,
596.8099976,5.921788692,
597.8200073,5.912149429,
598.8400269,5.885210514,
599.8499756,5.952246189,
600.8599854,5.822721958,
601.8800049,5.927212238,
602.8900146,5.975046158,
603.9099731,5.887888432,
604.9199829,5.907976627,
605.9400024,5.944168091,
606.8099976,5.859235287,
607.8200073,5.784035206,
608.8400269,5.733335018,
609.8499756,5.784376621,
610.8599854,5.825866222,
611.8800049,5.694141865,
612.8900146,5.795920849,
613.9099731,5.573230267,
614.9199829,5.605242729,
615.9400024,5.71632719,
616.8099976,5.505485058,
617.8200073,5.484862804,
618.8400269,5.567316532,
619.8499756,5.423552036,
620.8599854,5.381236553,
621.8800049,5.294055939,
622.8900146,5.144999027,
623.9099731,5.244321823,
624.9199829,5.181405544,
625.9400024,5.108098984,
626.8099976,5.071835518,
627.8200073,5.008951187,
628.8400269,4.895279884,
629.8499756,4.847089767,
630.8499756,4.825027466,
631.8499756,4.765864849,
632.8499756,4.701202393,
633.8499756,4.700440407,
634.8499756,4.529784203,
635.8499756,4.550033569,
636.8499756,4.458699226,
637.8499756,4.336794376,
638.8499756,4.313717842,
639.8499756,4.137324333,
640.8599854,4.271449089,
641.8800049,4.121529102,
642.8900146,4.116597176,
643.9099731,3.991217852,
644.9199829,3.923232555,
645.9400024,3.926013708,
646.8099976,3.783062458,
647.8200073,3.756377697,
648.8400269,3.72735548,
649.8499756,3.573677063,
650.8499756,3.567368746,
651.8499756,3.474960327,
652.8499756,3.438064098,
653.8499756,3.451459169,
654.8499756,3.278897524,
655.8499756,3.178346872,
656.8499756,3.248569489,
657.8499756,3.086176872,
658.8499756,3.167996168,
659.8499756,3.006223202,
660.8499756,3.02021122,
661.8499756,2.869045734,
662.8499756,2.827038765,
663.8499756,2.852266073,
664.8499756,2.743031025,
665.8499756,2.609345913,
666.8499756,2.643771172,
667.8499756,2.551730871,
668.8499756,2.460167646,
669.8499756,2.417306185,
670.8400269,2.449217081,
671.8300171,2.328170538,
672.8099976,2.33678937,
673.9400024,2.192475796,
674.9199829,2.203706264,
675.9099731,2.068719149,
676.9000244,2.103290796,
677.8800049,2.054998159,
678.8699951,2.060661316,
679.8499756,2.054740429,
680.8499756,1.954586029,
681.8499756,1.882514715,
682.8499756,1.79890275,
683.8499756,1.741029263,
684.8499756,1.788948655,
685.8499756,1.689427972,
686.8499756,1.627067208,
687.8499756,1.682678819,
688.8499756,1.620134115,
689.8499756,1.62431848,
690.8400269,1.490069866,
691.8300171,1.54275775,
692.8099976,1.423371434,
693.9400024,1.463825822,
694.9199829,1.400790453,
695.9099731,1.380508065,
696.9000244,1.401184797,
697.8800049,1.280953288,
698.8699951,1.251750946,
699.8499756,1.3225981,
700.8400269,1.20156765,
701.8300171,1.188896179,
702.8099976,1.235165834,
703.9400024,1.133186936,
704.9199829,1.20202589,
705.9099731,1.183130026,
706.9000244,1.135388613,
707.8800049,1.108288765,
708.8699951,1.082331657,
709.8499756,1.097275734,
710.8400269,1.056720614,
711.8300171,1.083759069,
712.8099976,1.084832311,
713.9400024,1.01429975,
714.9199829,0.9747743607,
715.9099731,0.9940321445,
716.9000244,0.94955796,
717.8800049,1.002201796,
718.8699951,0.886844635,
719.8499756,0.9000063539,
720.8300171,0.8645727038,
721.9400024,0.8527981639,
722.9099731,0.8699715137,
723.8800049,0.8486353159,
724.8599854,0.8960573673,
725.8300171,0.8546911478,
726.9400024,0.8519567251,
727.9099731,0.7842527628,
728.8800049,0.7631493211,
729.8599854,0.8026940823,
730.8400269,0.7045334578,
731.8300171,0.7380629778,
732.8099976,0.7187386155,
733.9400024,0.6686475873,
734.9199829,0.6597577333,
735.9099731,0.6794421673,
736.9000244,0.6538332701,
737.8800049,0.6389752626,
738.8699951,0.5880002975,
739.8499756,0.5886697769,
740.8200073,0.5602580309,
741.9099731,0.6047006845,
742.8699951,0.539419055,
743.8300171,0.5321201682,
744.9299927,0.5129549503,
745.8900146,0.5184209347,
746.8400269,0.4991008341,
747.9400024,0.4826401472,
748.9000244,0.4885895848,
749.8599854,0.5097797513,
750.8300171,0.436424911,
751.9400024,0.4195147455,
752.9099731,0.4137072563,
753.8800049,0.4066101015,
754.8599854,0.4521408975,
755.8300171,0.3657827675,
756.9400024,0.3707295954,
757.9099731,0.3458120227,
758.8800049,0.3429734111,
759.8599854,0.3297065496,
760.8300171,0.3900773525,
761.9400024,0.3276065588,
762.9099731,0.3554735482,
763.8800049,0.2984274924,
764.8599854,0.3197678924,
765.8300171,0.2661528289,
