Sample 58,,
Wavelength (nm),Intensity (a.u.),
493.8800049,0.2075377703,
494.9200134,0.1943264008,
495.8200073,0.1961727887,
496.8599854,0.2046305984,
497.9100037,0.2240812629,
498.7999878,0.2134291083,
499.8500061,0.2214357108,
500.8900146,0.2438600808,
501.9400024,0.3244945407,
502.8299866,0.2937892973,
503.8800049,0.2826634347,
504.9200134,0.29523018,
505.8200073,0.1833070815,
506.8599854,0.2528689504,
507.9100037,0.2246492654,
508.7999878,0.2383514941,
509.8500061,0.2476436198,
510.8900146,0.2354198545,
511.9400024,0.2794646323,
512.8300171,0.2402591854,
513.8800049,0.2471095622,
514.9199829,0.2590683401,
515.8200073,0.2658337057,
516.8599854,0.2538999915,
517.9099731,0.2535194457,
518.7999878,0.2658582628,
519.8499756,0.2785660028,
520.8800049,0.242742911,
521.9099731,0.2350220233,
522.9400024,0.2412437797,
523.8200073,0.2406934947,
524.8499756,0.2422399372,
525.8800049,0.2357396036,
526.9099731,0.2579152286,
527.9400024,0.286332041,
528.8200073,0.2249768525,
529.8499756,0.2700622976,
530.8900146,0.2818025351,
531.9400024,0.2586060464,
532.8300171,0.2886686325,
533.8800049,0.2891941369,
534.9199829,0.2841076851,
535.8200073,0.2606901824,
536.8599854,0.253252238,
537.9099731,0.2628296018,
538.7999878,0.2761159539,
539.8499756,0.3066306114,
540.8800049,0.2648816109,
541.9099731,0.2495920956,
542.9400024,0.2962523997,
543.8200073,0.287402451,
544.8499756,0.2752136588,
545.8800049,0.2526115477,
546.9099731,0.3171594143,
547.9400024,0.3223714232,
548.8200073,0.2381936014,
549.8499756,0.2911465764,
550.8800049,0.2977419794,
551.9099731,0.2599775493,
552.9400024,0.2740142047,
553.8200073,0.2785711884,
554.8499756,0.3270531893,
555.8800049,0.2868986726,
556.9099731,0.2317642123,
557.9400024,0.2909546196,
558.8200073,0.2455558032,
559.8499756,0.3457255065,
560.8800049,0.3475110531,
561.9099731,0.343396455,
562.9400024,0.3643429577,
563.8200073,0.3695177436,
564.8499756,0.4667288959,
565.8800049,0.4642163515,
566.9099731,0.4609569311,
567.9400024,0.3855865002,
568.8200073,0.3444201946,
569.8499756,0.3296015561,
570.8599854,0.3002991676,
571.8800049,0.2959954441,
572.8900146,0.2671378553,
573.9099731,0.2946387231,
574.9199829,0.2380623221,
575.9400024,0.2796227634,
576.8099976,0.2382365912,
577.8200073,0.2319144756,
578.8400269,0.262135148,
579.8499756,0.2182617337,
580.8800049,0.251260072,
581.9099731,0.2414255589,
582.9400024,0.2210647464,
583.8200073,0.2124543786,
584.8499756,0.2043534964,
585.8800049,0.2204099596,
586.9099731,0.2172479928,
587.9400024,0.2233249694,
588.8200073,0.188016817,
589.8499756,0.249403879,
590.8599854,0.1943033487,
591.8800049,0.1920491606,
592.8900146,0.1906634718,
593.9099731,0.1699145436,
594.9199829,0.2115374058,
595.9400024,0.1800537854,
596.8099976,0.2055865228,
597.8200073,0.2029548734,
598.8400269,0.1639776975,
599.8499756,0.1827935576,
600.8599854,0.1815582216,
601.8800049,0.2259129733,
602.8900146,0.1908246875,
603.9099731,0.2010072619,
604.9199829,0.138895154,
605.9400024,0.1440856606,
606.8099976,0.1562261879,
607.8200073,0.1894836575,
608.8400269,0.1799990982,
609.8499756,0.1477961391,
610.8599854,0.1200833544,
611.8800049,0.09790176898,
612.8900146,0.1214006618,
613.9099731,0.1462680548,
614.9199829,0.1601215452,
615.9400024,0.12436077,
616.8099976,0.1457965672,
617.8200073,0.179398343,
618.8400269,0.1324778944,
619.8499756,0.1218792275,
620.8599854,0.1064416245,
621.8800049,0.1206254438,
622.8900146,0.10116072,
623.9099731,0.1209100261,
624.9199829,0.1047723889,
625.9400024,0.108884193,
626.8099976,0.08732629567,
627.8200073,0.1166470423,
628.8400269,0.09353802353,
629.8499756,0.1111315489,
630.8499756,0.0753724277,
631.8499756,0.1151290759,
632.8499756,0.08591128886,
633.8499756,0.06446133554,
634.8499756,0.09377273917,
635.8499756,0.1036618575,
636.8499756,0.107562378,
637.8499756,0.1114102677,
638.8499756,0.04870227352,
639.8499756,0.1162947714,
640.8599854,0.04470755905,
641.8800049,0.1085187197,
642.8900146,0.1036848873,
643.9099731,0.07131757587,
644.9199829,0.0746826008,
645.9400024,0.04864887148,
646.8099976,0.06719978154,
647.8200073,0.06866323948,
648.8400269,0.07100547105,
649.8499756,0.04079437628,
650.8499756,0.05576083809,
651.8499756,0.08132127672,
652.8499756,0.07483658195,
653.8499756,0.0597730875,
654.8499756,0.08610652387,
655.8499756,0.09677046537,
656.8499756,0.05596179888,
657.8499756,0.05958987027,
658.8499756,0.04201247543,
659.8499756,0.07051139325,
660.8499756,0.07060153037,
661.8499756,0.02981036901,
662.8499756,0.03847308084,
663.8499756,0.0441223532,
664.8499756,0.007435414474,
665.8499756,0.0630903095,
666.8499756,0.0668265596,
667.8499756,0.0334264338,
668.8499756,0.06679283082,
669.8499756,0.02594649047,
670.8400269,0.05582579225,
671.8300171,0.007466420066,
672.8099976,0.01866723597,
673.9400024,0.05959453434,
674.9199829,0.06685262173,
675.9099731,0.007429475896,
676.9000244,0.0333170481,
677.8800049,0.06313459575,
678.8699951,0.05240874365,
679.8499756,0.03349049017,
680.8499756,0.05233566463,
681.8499756,0.02311746776,
682.8499756,0.01886429265,
683.8499756,0.01882012747,
684.8499756,0.03694849834,
685.8499756,0.01478508022,
686.8499756,0.03314221278,
687.8499756,0.01126845181,
688.8499756,0.04060598835,
689.8499756,0.0370022282,
690.8400269,0.03389958292,
691.8300171,0.003693948966,
692.8099976,0.06410570443,
693.9400024,0.03363442421,
694.9199829,0.03343984485,
695.9099731,0.05347266793,
696.9000244,0.02588795684,
697.8800049,0.01480982359,
698.8699951,0.0296376422,
699.8499756,-0.02212087624,
700.8400269,-0.01522933505,
701.8300171,-0.02232981846,
702.8099976,0.04936340451,
703.9400024,0.01556959469,
704.9199829,-0.003854381153,
705.9099731,0.02966654673,
706.9000244,-0.0187534932,
707.8800049,0.01883281767,
708.8699951,0.01861524768,
709.8499756,0.02973436192,
710.8400269,-0.007647043094,
711.8300171,0.01904616877,
712.8099976,0.003837710712,
713.9400024,-0.007512809243,
714.9199829,0.004018614069,
715.9099731,0.003734436585,
716.9000244,0.007479487453,
717.8800049,-0.01478311326,
718.8699951,-0.003776720492,
719.8499756,-0.003843951272,
720.8300171,-0.007645698264,
721.9400024,-0.0111364359,
722.9099731,-0.01126603968,
723.8800049,0.03359587863,
724.8599854,0.01462902594,
725.8300171,0.02597817034,
726.9400024,-0.0149287153,
727.9099731,0.011384896,
728.8800049,-0.01147806924,
729.8599854,0.01128133386,
730.8400269,-0.007505281828,
731.8300171,0.01844582707,
732.8099976,0.01850440167,
733.9400024,0.003926326521,
734.9199829,-0.007334362715,
735.9099731,0.01493005268,
736.9000244,0.01130923163,
737.8800049,0.01128906012,
738.8699951,0.02707867511,
739.8499756,-0.01498952601,
740.8200073,-0.00377950375,
741.9099731,0.02242546342,
742.8699951,0.003810990136,
743.8300171,-0.01498469617,
744.9299927,-0.01179964282,
745.8900146,0.003750782926,
746.8400269,0.003745612921,
747.9400024,-0.007559035905,
748.9000244,0,
749.8599854,-0.007618409116,
750.8300171,0,
751.9400024,-0.02661688067,
752.9099731,0.01919371076,
753.8800049,-0.03018514812,
754.8599854,-0.01525390148,
755.8300171,0.01504257042,
756.9400024,-0.00744061498,
757.9099731,-0.01139484253,
758.8800049,-0.0265585091,
759.8599854,0.01516858023,
760.8300171,0.03352029994,
761.9400024,-0.030371828,
762.9099731,-0.0113021601,
763.8800049,0.01846599206,
764.8599854,-0.01862641238,
765.8300171,0.01101240702,
766.9400024,0.003771065967,
767.9099731,-0.01857341267,
768.8800049,0.003774040611,
769.8599854,-0.007363390643,
770.8200073,0.02226535045,
771.9099731,0.007715216372,
772.8699951,0.007749985438,
773.8300171,0.03422586992,
774.9299927,0.01507937349,
775.8900146,0.01191152073,
776.8400269,-0.003792662639,
777.9400024,-0.04261682928,
778.9000244,-0.01126155723,
779.8599854,0.01156617608,
780.9400024,-0.003706765361,
781.8900146,-0.03431774676,
782.8300171,0.003840127727,
783.9099731,0.03087420203,
784.8599854,-0.003781476058,
785.9400024,0.01145112514,
786.8900146,0.007425173186,
787.8300171,0.003711208701,
788.9099731,-0.03459183499,
789.8599854,-0.01151026133,
790.8200073,0.01983300596,
791.9099731,-0.011367511,
792.8699951,0.02302768081,
793.8300171,-0.02727662399,
794.9299927,0.003824515734,
795.8900146,0.003875578288,
796.8400269,-0.01634434238,
797.9400024,0,
798.9000244,-0.03011628799,
799.8599854,0.01145698503,
800.9400024,0.007922988385,

Sample 58,
Sample 58
Collection Time: 21/05/2023 5:38:27 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        494.00
Stop (nm)                         800.00
Ex. Wavelength (nm)               484.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
