Sample 13,,
Wavelength (nm),Intensity (a.u.),
491.9400024,0.2186673284,
492.980011,0.1728541255,
494.019989,0.1841155291,
495.0700073,0.06767788529,
495.9700012,0.1144805104,
497.0100098,0.1385797411,
498.0499878,0.1178802475,
498.9500122,0.1349650919,
500,0.1526291519,
501.0400085,0.1355896741,
501.9400024,0.207594499,
502.980011,0.1210679933,
504.019989,0.2064155638,
505.0700073,0.2512695789,
505.9700012,0.2583507299,
507.0100098,0.2837973833,
508.0499878,0.3571538925,
508.9500122,0.3613909781,
510,0.3657512367,
511.0400085,0.3810839057,
511.9400024,0.3184671104,
512.9799805,0.4082651138,
514.0200195,0.3994141817,
515.0700073,0.499202162,
515.9699707,0.4901073277,
517.0100098,0.7121449113,
518.0499878,0.6601683497,
518.9500122,0.7266340256,
520,0.7005794048,
521.0200195,0.977809906,
522.0499878,0.9847149253,
522.9400024,1.077463508,
523.9699707,1.033116937,
525,1.238785863,
526.0200195,1.266002059,
527.0499878,1.489180446,
527.9400024,1.739666581,
528.9699707,1.669362545,
530,1.990340233,
531.039978,2.253128052,
531.9400024,2.360934496,
532.9799805,2.667956114,
534.0200195,2.928502321,
535.0700073,3.333727121,
535.9699707,3.213536263,
537.0100098,3.719488144,
538.0499878,4.010924816,
538.9500122,4.390692711,
540,4.554124832,
541.0200195,4.926393509,
542.0499878,5.314226627,
542.9400024,5.791497231,
543.9699707,6.10829401,
545,6.850240707,
546.0200195,7.288099289,
547.0499878,7.973779202,
547.9400024,8.325358391,
548.9699707,8.673474312,
550,8.950885773,
551.0200195,10.03904819,
552.0499878,10.64816856,
552.9400024,10.93438053,
553.9699707,11.16893101,
555,12.24889469,
556.0200195,12.83722591,
557.0499878,12.8641634,
557.9400024,13.75828648,
558.9699707,14.4408865,
560,15.0380888,
561.0200195,15.96170807,
562.0499878,16.49872398,
562.9400024,16.88437653,
563.9699707,17.50666428,
565,17.96487999,
566.0200195,18.37874413,
567.0499878,18.98146057,
567.9400024,19.51483917,
568.9699707,19.59854507,
570,19.82870293,
571.0100098,20.28960228,
572.0200195,20.85137558,
573.039978,21.27293015,
574.0499878,22.16447449,
575.0700073,21.82115555,
575.9400024,22.37919426,
576.9500122,22.60364151,
577.9699707,22.69751167,
578.9799805,22.95817375,
580,23.22674751,
581.0200195,23.58972168,
582.0499878,23.48641586,
582.9400024,23.50209045,
583.9699707,24.08242035,
585,24.14574814,
586.0200195,24.06335068,
587.0499878,24.626791,
587.9400024,24.36464691,
588.9699707,25.15608597,
590,24.42797279,
591.0100098,24.19060898,
592.0200195,24.58594704,
593.039978,24.64344597,
594.0499878,24.53345299,
595.0700073,24.51546288,
595.9400024,24.40231895,
596.9500122,24.26696777,
597.9699707,24.33238411,
598.9799805,24.22572517,
600,24.30867386,
601.0100098,24.44147491,
602.0200195,24.28773117,
603.039978,23.97297668,
604.0499878,23.55405045,
605.0700073,24.18170166,
605.9400024,24.13983536,
606.9500122,23.47688293,
607.9699707,23.58696556,
608.9799805,23.60717583,
610,23.27998924,
611.0100098,22.48620605,
