Sample 15,,
Wavelength (nm),Intensity (a.u.),
460,0.0900112167,
461.0400085,0.09138375521,
461.9400024,0.1103567779,
462.980011,0.130021587,
464.019989,0.16712524,
465.0700073,0.1814769804,
465.9700012,0.2179397941,
467.0100098,0.2353067398,
468.0499878,0.3013590276,
468.9500122,0.3276405931,
470,0.4268262386,
471.0400085,0.5180771947,
471.9400024,0.567922771,
472.980011,0.7166289687,
474.019989,0.7949831486,
475.0700073,0.9496868253,
475.9700012,1.116956711,
477.0100098,1.292430758,
478.0499878,1.644411445,
478.9500122,1.898276567,
480,2.32537365,
481.0400085,2.552605152,
481.9400024,2.849086046,
482.980011,3.477724314,
484.019989,3.994348526,
485.0700073,4.753098488,
485.9700012,5.118493557,
487.0100098,5.881890774,
488.0499878,6.885480881,
488.9500122,7.618311882,
490,8.511157036,
491.0400085,9.600884438,
491.9400024,10.65226364,
492.980011,11.98724651,
494.019989,12.99098396,
495.0700073,13.9700222,
495.9700012,15.15746117,
497.0100098,16.10427284,
498.0499878,16.94860077,
498.9500122,17.98766899,
500,18.68444252,
501.0400085,19.5884552,
501.9400024,20.4924221,
502.980011,21.38684273,
504.019989,22.26885605,
505.0700073,22.69890976,
505.9700012,23.39971161,
507.0100098,23.94999123,
508.0499878,24.66149902,
508.9500122,24.48805809,
510,25.00979996,
511.0400085,25.54861832,
511.9400024,25.5912323,
512.9799805,26.03827095,
514.0200195,26.5422287,
515.0700073,26.64139748,
515.9699707,26.75407791,
517.0100098,27.30324745,
518.0499878,27.14216042,
518.9500122,27.03656578,
520,27.14763832,
521.0200195,27.44048309,
522.0499878,27.1015873,
522.9400024,27.05556488,
523.9699707,26.95706558,
525,27.25728989,
526.0200195,27.21358299,
527.0499878,27.36679459,
527.9400024,26.93919563,
528.9699707,27.00639725,
530,27.22423744,
531.039978,27.13680458,
531.9400024,26.89120483,
532.9799805,26.60518074,
534.0200195,26.63484764,
535.0700073,26.31787872,
535.9699707,26.5126133,
537.0100098,26.42574883,
538.0499878,26.28294563,
538.9500122,26.24562645,
540,25.98534393,
541.0200195,25.61746788,
542.0499878,25.57025337,
542.9400024,25.12581825,
543.9699707,24.82587242,
545,24.86139297,
546.0200195,24.57170486,
547.0499878,24.26744461,
547.9400024,23.75502205,
548.9699707,23.3753624,
550,23.10761833,
551.0200195,23.00493622,
552.0499878,22.62714577,
552.9400024,22.02767563,
553.9699707,21.69458008,
555,21.37004662,
556.0200195,21.05692482,
557.0499878,20.76856232,
557.9400024,20.68267632,
558.9699707,20.18962097,
560,19.7244606,
561.0200195,19.35817146,
562.0499878,18.9152832,
562.9400024,18.52321434,
563.9699707,18.49757576,
565,18.04174805,
566.0200195,17.55619812,
567.0499878,17.30998993,
567.9400024,16.99994087,
568.9699707,16.52597809,
570,16.35936928,
571.0100098,15.8729496,
572.0200195,15.43575668,
573.039978,15.09054279,
574.0499878,14.92543507,
575.0700073,14.77811718,
575.9400024,14.38948441,
576.9500122,14.16020107,
