Sample 18,,
Wavelength (nm),Intensity (a.u.),
330,0.1979757845,
331.0700073,0.06480921805,
332,0.1179625988,
333.0700073,0.1044420525,
334,0.08666234463,
335.0700073,0.1846951544,
336,0.09619913995,
337.0700073,0.1795363128,
338,0.07424432784,
339.0700073,0.1141900122,
340,0.06143221259,
341.0700073,0.1062863544,
342,0.1218692809,
343.0700073,0.1610279977,
344,0.2067745626,
345.0700073,0.2398874462,
346,0.4191993177,
347.0700073,0.6419020891,
348,0.8173260689,
349.0700073,0.9981663823,
350,1.156069279,
351.0599976,1.317069054,
351.9599915,1.540415645,
353.0299988,1.61217618,
353.9299927,1.763544559,
355,1.964992642,
356.0599976,2.299089432,
356.9599915,2.391761541,
358.0299988,2.542819977,
358.9299927,2.782022953,
360,2.901977539,
361.0700073,3.083740234,
362,3.14299655,
363.0700073,3.249982119,
364,3.334694147,
365.0700073,3.501142263,
366,3.469116211,
367.0700073,3.720565319,
368,3.787400723,
369.0700073,3.960319757,
370,4.171989918,
371.0599976,4.357665539,
371.9599915,4.50509882,
373.0299988,4.889850616,
373.9299927,5.066662788,
375,5.316972256,
376.0599976,5.516829967,
376.9599915,5.486699104,
378.0299988,5.78164196,
378.9299927,5.640523434,
380,5.445075512,
381.0700073,5.111359119,
382,4.763003826,
383.0700073,4.670619488,
384,4.352272034,
385.0700073,4.242799282,
386,4.078676224,
387.0700073,3.878204584,
388,3.833434582,
389.0700073,3.581743956,
390,3.517452955,
391.0599976,3.469571352,
391.9599915,3.340501308,
393.0299988,3.265004158,
393.9299927,3.151589632,
395,2.970338583,
396.0599976,2.926807165,
396.9599915,2.825590849,
398.0299988,2.780825615,
398.9299927,2.747949362,
400,2.417625189,
401.0599976,2.509646416,
401.9599915,2.268936634,
403.0299988,2.148963213,
403.9299927,2.090890169,
405,2.003807545,
406.0599976,1.783644557,
406.9599915,1.762894034,
408.0299988,1.639323115,
408.9299927,1.593259931,
410,1.605872154,
411.0599976,1.335188627,
411.9599915,1.370336771,
413.0299988,1.337781906,
413.9299927,1.227474928,
415,1.186343074,
416.0599976,1.231246352,
416.9599915,1.125577331,
