Sample 17,,
Wavelength (nm),Intensity (a.u.),
330,4.938301563,
331.0700073,2.981989861,
332,2.896149635,
333.0700073,3.087911844,
334,3.406080484,
335.0700073,3.520314932,
336,3.620742798,
337.0700073,3.731600046,
338,4.107293129,
339.0700073,4.28577137,
340,4.730881691,
341.0700073,5.270999432,
342,5.864091396,
343.0700073,6.753322601,
344,7.487092972,
345.0700073,8.912650108,
346,10.3397007,
347.0700073,12.26716995,
348,13.61571884,
349.0700073,15.6859045,
350,17.47801208,
351.0599976,19.63251686,
351.9599915,21.15270424,
353.0299988,22.42676353,
353.9299927,23.33637428,
355,24.09449196,
356.0599976,24.55460548,
356.9599915,24.8043766,
358.0299988,25.11442757,
358.9299927,25.06281853,
360,24.72861671,
361.0700073,24.82351112,
362,24.63784981,
363.0700073,24.96937943,
364,25.05545998,
365.0700073,25.40659904,
366,25.24745369,
367.0700073,25.88165855,
368,25.97240639,
369.0700073,26.32305145,
370,26.08339691,
371.0599976,25.90867615,
371.9599915,25.68038368,
373.0299988,25.00494766,
373.9299927,24.6705513,
375,24.23464394,
376.0599976,23.10856247,
376.9599915,22.5813694,
378.0299988,21.84745216,
378.9299927,21.02448463,
380,20.48329735,
381.0700073,19.69012451,
382,19.05415535,
383.0700073,18.32449913,
384,17.77390099,
385.0700073,17.08961868,
386,17.00806999,
387.0700073,16.55393982,
388,15.80397797,
389.0700073,15.30432796,
390,15.00615692,
391.0599976,14.35182667,
391.9599915,13.93002987,
393.0299988,13.27690983,
393.9299927,13.02344513,
395,12.38149071,
396.0599976,11.79331303,
396.9599915,11.27258015,
398.0299988,10.86868763,
398.9299927,10.40050125,
400,9.914715767,
401.0599976,9.278356552,
401.9599915,8.955416679,
403.0299988,8.598438263,
403.9299927,8.379546165,
405,7.88035059,
406.0599976,7.605587006,
406.9599915,7.081262589,
408.0299988,6.880083561,
408.9299927,6.800866127,
410,6.30405283,
411.0599976,6.049676895,
411.9599915,5.769641399,
413.0299988,5.529576778,
413.9299927,5.359865189,
