Sample 17,,
Wavelength (nm),Intensity (a.u.),
350,0.6629175544,
351.0599976,0.5987639427,
351.9599915,0.6351358891,
353.0299988,0.7338386178,
353.9299927,0.770054996,
355,0.8476712108,
356.0599976,1.003360271,
356.9599915,1.109376311,
358.0299988,1.182153463,
358.9299927,1.206881762,
360,1.279929638,
361.0700073,1.36505425,
362,1.409270167,
363.0700073,1.449855685,
364,1.446350336,
365.0700073,1.546204686,
366,1.623918772,
367.0700073,1.834045649,
368,1.921861529,
369.0700073,2.192840099,
370,2.455468655,
371.0599976,2.915177584,
371.9599915,3.384986401,
373.0299988,3.954769611,
373.9299927,4.484920979,
375,5.021344662,
376.0599976,5.427745342,
376.9599915,5.626077175,
378.0299988,5.668858051,
378.9299927,5.800142288,
380,5.59412384,
381.0700073,5.479536533,
382,5.37499094,
383.0700073,4.985551834,
384,4.744689941,
385.0700073,4.40477705,
386,4.278540134,
387.0700073,4.102398872,
388,3.941576481,
389.0700073,3.907149553,
390,3.777718306,
391.0599976,3.788599968,
391.9599915,3.812947035,
393.0299988,3.651269913,
393.9299927,3.744316816,
395,3.773016214,
396.0599976,3.664527416,
396.9599915,3.594558716,
398.0299988,3.545182705,
398.9299927,3.528488636,
400,3.380837917,
401.0599976,3.265894175,
401.9599915,3.117615223,
403.0299988,3.073488474,
403.9299927,2.988668442,
405,2.907053947,
406.0599976,2.809525728,
406.9599915,2.793714285,
408.0299988,2.698209047,
408.9299927,2.597836733,
410,2.510296345,
411.0599976,2.446313858,
411.9599915,2.444411278,
413.0299988,2.375997066,
413.9299927,2.334846258,
415,2.289233685,
416.0599976,2.289456367,
416.9599915,2.273669958,
418.0299988,2.233285904,
418.9299927,2.13862896,
420,2.153771639,
421.0599976,2.141197681,
421.9599915,2.056474924,
423.0299988,2.054172993,
423.9299927,1.966469407,
425,1.875272036,
426.0599976,1.863353968,
426.9599915,1.848665595,
428.0299988,1.848347664,
428.9299927,1.810916781,
430,1.792419195,
431.0400085,1.72456038,
431.9400024,1.747925162,
432.980011,1.676704288,
434.019989,1.598004103,
435.0700073,1.644839168,
435.9700012,1.633708596,
437.0100098,1.655109763,
438.0499878,1.610891938,
438.9500122,1.569406748,
440,1.552772999,
441.0599976,1.545045733,
441.9599915,1.54927516,
443.0299988,1.533136725,
443.9299927,1.536910176,
445,1.491095901,
446.0599976,1.497391939,
446.9599915,1.532642961,
448.0299988,1.476834893,
448.9299927,1.448024035,
450,1.438152194,
451.0599976,1.448717117,
451.9599915,1.412667394,
453.0299988,1.407026291,
453.9299927,1.445859194,
455,1.455203295,
456.0599976,1.42466116,
456.9599915,1.375947595,
458.0299988,1.383370399,
458.9299927,1.444804907,
460,1.364198565,
461.0400085,1.402776003,
461.9400024,1.400418043,
462.980011,1.380560756,
464.019989,1.365632534,
465.0700073,1.327582598,
465.9700012,1.343870401,
467.0100098,1.352339625,
468.0499878,1.298974872,
468.9500122,1.361291409,
470,1.353820205,
471.0400085,1.274831772,
471.9400024,1.25614059,
472.980011,1.266786098,
474.019989,1.264776826,
475.0700073,1.202046037,
475.9700012,1.254914165,
477.0100098,1.264905453,
478.0499878,1.188810349,
478.9500122,1.237519264,
480,1.150469661,
481.0400085,1.157158136,
481.9400024,1.208079576,
482.980011,1.126464248,
484.019989,1.16159153,
485.0700073,1.123899341,
485.9700012,1.122569323,
487.0100098,1.139626026,
488.0499878,1.142309546,
488.9500122,1.117565989,
490,1.118473768,
491.0400085,1.093517303,
491.9400024,0.9895649552,
492.980011,1.026997209,
494.019989,1.066045284,
495.0700073,0.9995552301,
495.9700012,1.003076315,
497.0100098,0.978169024,
498.0499878,1.00127542,
498.9500122,0.9790802002,
500,0.9469466209,
501.0400085,0.9422549009,
501.9400024,0.9632182121,
502.980011,0.8787274957,
504.019989,0.9426032901,
505.0700073,0.9575250149,
505.9700012,0.9187905788,
507.0100098,0.9273874164,
508.0499878,0.8631964922,
508.9500122,0.8685225844,
510,0.827177465,
511.0400085,0.9130398631,
511.9400024,0.8226037621,
512.9799805,0.8652362227,
514.0200195,0.8112590313,
515.0700073,0.7923083901,
515.9699707,0.844112277,
517.0100098,0.82742697,
518.0499878,0.8318539858,
518.9500122,0.7631732225,
520,0.7861635089,
521.0200195,0.7997018695,
522.0499878,0.7587667108,
522.9400024,0.7386928201,
523.9699707,0.731764853,
525,0.7432150245,
526.0200195,0.7774728537,
527.0499878,0.7614631057,
527.9400024,0.7125647664,
528.9699707,0.6623144746,
530,0.6893340945,
531.039978,0.666046977,
531.9400024,0.6949236393,
532.9799805,0.6783473492,
534.0200195,0.6321122646,
535.0700073,0.6898015141,
535.9699707,0.5914156437,
537.0100098,0.6396286488,
538.0499878,0.6748081446,
538.9500122,0.6038105488,
540,0.6168991923,
541.0200195,0.5405209661,
542.0499878,0.5748189092,
542.9400024,0.5952323079,
543.9699707,0.6100903153,
545,0.5859840512,
546.0200195,0.5553076863,
547.0499878,0.5273603201,
547.9400024,0.5485490561,
548.9699707,0.4846940935,
550,0.5611876845,
551.0200195,0.5012797713,
552.0499878,0.527823627,
552.9400024,0.5193520188,
553.9699707,0.5422238708,
555,0.4773001671,
556.0200195,0.466241926,
557.0499878,0.4843767583,
557.9400024,0.5339090228,
558.9699707,0.4331687093,
560,0.4336039722,
561.0200195,0.4285501838,
562.0499878,0.4853639603,
562.9400024,0.4299536645,
563.9699707,0.4463989437,
565,0.4216248989,
566.0200195,0.3864270747,
567.0499878,0.4440712333,
567.9400024,0.4462198615,
568.9699707,0.4395134151,
570,0.4236728847,
571.0100098,0.4346859753,
572.0200195,0.3903672397,
573.039978,0.4018501639,
574.0499878,0.371766001,
575.0700073,0.3941676617,
575.9400024,0.4343766868,
576.9500122,0.3775033951,
577.9699707,0.3834011853,
