Sample 18,,
Wavelength (nm),Intensity (a.u.),
350,1.107017636,
351.0599976,0.9210807085,
351.9599915,0.9347319603,
353.0299988,0.8746014833,
353.9299927,0.8503386974,
355,0.896748662,
356.0599976,0.9265648723,
356.9599915,0.8690518141,
358.0299988,0.9180814624,
358.9299927,0.959908843,
360,1.006495953,
361.0700073,1.031391382,
362,1.09351933,
363.0700073,1.10590446,
364,1.214552045,
365.0700073,1.253535032,
366,1.266685605,
367.0700073,1.383976102,
368,1.414070845,
369.0700073,1.609808445,
370,1.739596725,
371.0599976,2.066462278,
371.9599915,2.586911917,
373.0299988,3.090052843,
373.9299927,3.501760483,
375,3.766997814,
376.0599976,3.963100195,
376.9599915,3.965257168,
378.0299988,3.926586866,
378.9299927,3.877481937,
380,3.999237061,
381.0700073,4.114171028,
382,4.180037498,
383.0700073,4.178115368,
384,4.113397121,
385.0700073,4.023867607,
386,3.906452656,
387.0700073,3.920168638,
388,3.856959105,
389.0700073,3.931897163,
390,4.03414011,
391.0599976,4.153810501,
391.9599915,4.320673943,
393.0299988,4.458464622,
393.9299927,4.550457478,
395,4.614553928,
396.0599976,4.670084,
396.9599915,4.543297291,
398.0299988,4.4405756,
398.9299927,4.303488731,
400,4.25163126,
401.0599976,4.103354454,
401.9599915,4.103065968,
403.0299988,4.025431633,
403.9299927,3.987052441,
405,4.034166813,
406.0599976,4.007176399,
406.9599915,3.961449862,
408.0299988,3.932902575,
408.9299927,3.938390017,
410,4.019445419,
411.0599976,3.884383917,
411.9599915,3.985765457,
413.0299988,3.920492172,
413.9299927,3.882742643,
415,3.948800802,
416.0599976,3.976792574,
416.9599915,3.912717581,
418.0299988,3.876638889,
418.9299927,3.817980289,
420,3.87971735,
421.0599976,3.80190587,
421.9599915,3.837213039,
423.0299988,3.77929306,
423.9299927,3.706829786,
425,3.600174189,
426.0599976,3.610229731,
426.9599915,3.552297831,
428.0299988,3.52482748,
428.9299927,3.539825678,
430,3.473931789,
431.0400085,3.489961863,
431.9400024,3.428334951,
432.980011,3.452665091,
434.019989,3.433956146,
435.0700073,3.344960928,
435.9700012,3.41678834,
437.0100098,3.352785587,
438.0499878,3.314818382,
438.9500122,3.243726969,
440,3.298023701,
441.0599976,3.259870052,
441.9599915,3.300905704,
443.0299988,3.268202782,
443.9299927,3.334930658,
445,3.224001646,
446.0599976,3.321561337,
446.9599915,3.221713066,
448.0299988,3.187151909,
448.9299927,3.233211994,
450,3.103416681,
451.0599976,3.125486374,
451.9599915,3.251356602,
453.0299988,3.174258947,
453.9299927,3.191768169,
455,3.151993036,
456.0599976,3.203039408,
456.9599915,3.177794933,
458.0299988,3.240298271,
458.9299927,3.090046167,
460,3.131663084,
461.0400085,3.06112361,
461.9400024,3.038576365,
462.980011,3.048294306,
464.019989,3.069121122,
465.0700073,3.006228924,
465.9700012,3.042767525,
467.0100098,3.007590294,
468.0499878,3.036860943,
468.9500122,3.010584831,
470,2.944269419,
471.0400085,2.975226879,
471.9400024,2.960702896,
472.980011,2.884163141,
474.019989,2.966972828,
475.0700073,2.846544743,
475.9700012,2.86810708,
477.0100098,2.833475113,
478.0499878,2.824450731,
478.9500122,2.831987381,
480,2.807327509,
481.0400085,2.741518497,
481.9400024,2.673094988,
482.980011,2.688472748,
484.019989,2.689853191,
485.0700073,2.605676889,
485.9700012,2.574244261,
487.0100098,2.534088373,
488.0499878,2.511043787,
488.9500122,2.520623684,
490,2.460504055,
491.0400085,2.525957823,
491.9400024,2.423681736,
492.980011,2.40804553,
494.019989,2.448820591,
495.0700073,2.344628334,
495.9700012,2.333709002,
497.0100098,2.363567591,
498.0499878,2.30842042,
498.9500122,2.363910198,
500,2.275430441,
501.0400085,2.189171553,
501.9400024,2.203687191,
502.980011,2.255900145,
504.019989,2.255853653,
505.0700073,2.143783808,
505.9700012,2.12342453,
507.0100098,2.08578968,
508.0499878,2.096641541,
508.9500122,2.07430315,
510,2.072779655,
511.0400085,1.985525727,
511.9400024,2.019613504,
512.9799805,1.978835821,
514.0200195,1.939715266,
515.0700073,1.890491009,
515.9699707,1.884557366,
517.0100098,1.855457306,
518.0499878,1.895821333,
518.9500122,1.820828557,
520,1.85947454,
521.0200195,1.737616658,
522.0499878,1.701702952,
522.9400024,1.804338217,
523.9699707,1.710244417,
525,1.697366953,
526.0200195,1.676080346,
527.0499878,1.662376881,
527.9400024,1.650053978,
528.9699707,1.664433956,
530,1.649074316,
531.039978,1.58752048,
531.9400024,1.614283323,
532.9799805,1.55939424,
534.0200195,1.514018059,
535.0700073,1.525435686,
535.9699707,1.4588691,
537.0100098,1.509394526,
538.0499878,1.439779997,
538.9500122,1.434738994,
540,1.426422,
541.0200195,1.462601542,
542.0499878,1.330523133,
542.9400024,1.383923054,
543.9699707,1.371784806,
545,1.331230164,
546.0200195,1.316436887,
547.0499878,1.299455047,
547.9400024,1.275207758,
548.9699707,1.248283386,
550,1.22727108,
551.0200195,1.214369893,
552.0499878,1.177127719,
552.9400024,1.209472537,
553.9699707,1.217415333,
555,1.196132898,
556.0200195,1.168604732,
557.0499878,1.204457521,
557.9400024,1.113467813,
558.9699707,1.095125556,
560,1.119040132,
561.0200195,1.043309689,
562.0499878,1.029923558,
562.9400024,1.060060382,
563.9699707,1.005051255,
565,1.001552701,
566.0200195,0.997595489,
567.0499878,0.9681148529,
567.9400024,0.9403980374,
568.9699707,0.9294370413,
570,0.8980186582,
571.0100098,0.8837039471,
572.0200195,0.9155551195,
573.039978,0.8493491411,
574.0499878,0.9014354944,
575.0700073,0.8637583852,
575.9400024,0.8661210537,
576.9500122,0.81647861,
577.9699707,0.7638292313,
578.9799805,0.7921590805,
580,0.8312402964,
581.0200195,0.7979928851,
582.0499878,0.7675496936,
582.9400024,0.7440255284,
583.9699707,0.7057163119,
585,0.7740249634,
586.0200195,0.7245607972,
587.0499878,0.647247076,
587.9400024,0.6726791859,
588.9699707,0.7101714611,
590,0.6594746709,
591.0100098,0.6577045321,
592.0200195,0.6648513079,
593.039978,0.6136174202,
594.0499878,0.6557070017,
595.0700073,0.574960947,
595.9400024,0.5976641178,
596.9500122,0.6215983033,
597.9699707,0.5531912446,
598.9799805,0.6003415585,
600,0.5862793922,
601.0100098,0.5894148946,
602.0200195,0.5441884398,
603.039978,0.5592433214,
604.0499878,0.5400734544,
605.0700073,0.5225911736,
605.9400024,0.4963516295,
606.9500122,0.4510717988,
607.9699707,0.4519897103,
608.9799805,0.5195152164,
610,0.4667777419,
611.0100098,0.4485357404,
612.0200195,0.4375691414,
613.039978,0.4616559446,
614.0499878,0.4614213407,
615.0700073,0.4384208918,
615.9400024,0.3980568349,
616.9500122,0.4202237129,
617.9699707,0.401607722,
618.9799805,0.4055038691,
620,0.3504080474,
621.0100098,0.394213587,
622.0200195,0.4168118536,
623.039978,0.3820985258,
624.0499878,0.4035826325,
625.0700073,0.3597579002,
625.9400024,0.3474846482,
626.9500122,0.3623176813,
627.9699707,0.3071448505,
628.9799805,0.3235737979,
630,0.3520421684,
631,0.2538986504,
632,0.3187033236,
633,0.2993890941,
634,0.3156306446,
635,0.3219643533,
636,0.3104119003,
637,0.2704360187,
638,0.3133488297,
639,0.2770655155,
640,0.2605819404,
641.0100098,0.22223638,
642.0200195,0.2995752096,
643.039978,0.3285740912,
644.0499878,0.2433943301,
645.0700073,0.2569253445,
645.9400024,0.2307903171,
646.9500122,0.2703763843,
647.9699707,0.2409426719,
648.9799805,0.2470383495,
650,0.2129860222,

Sample 18,
Sample 18
Collection Time: 31/05/2023 4:02:57 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
