Sample 4,,
Wavelength (nm),Intensity (a.u.),
346.9200134,3.288825512,
347.8399963,3.595921755,
348.9200134,5.019495487,
349.8399963,6.896873951,
350.8999939,10.92714691,
351.9599915,15.42065525,
352.8699951,19.87600517,
353.9299927,23.62376976,
354.8399963,26.91894722,
355.8999939,27.87624359,
356.9599915,28.53561592,
357.8699951,27.79479027,
358.9299927,27.96664429,
359.8399963,26.81873131,
360.9200134,27.36032104,
361.8399963,28.32434082,
362.9200134,30.5101757,
363.8399963,32.81999207,
364.9200134,36.84087753,
365.8399963,41.43908691,
366.9200134,48.97675705,
367.8399963,57.99269485,
368.9200134,68.97193146,
369.8399963,80.13677979,
370.8999939,96.00273895,
371.9599915,113.6269913,
372.8699951,126.5547562,
373.9299927,136.0815277,
374.8399963,139.3523102,
375.8999939,136.9816589,
376.9599915,128.2390594,
377.8699951,117.2424316,
378.9299927,103.9377747,
379.8399963,93.3072052,
380.9200134,82.62799835,
381.8399963,77.01543427,
382.9200134,72.16838074,
383.8399963,68.94286346,
384.9200134,66.83657074,
385.8399963,65.54238892,
386.9200134,63.9725914,
387.8399963,61.526371,
388.9200134,59.95360565,
389.8399963,58.67366791,
390.8999939,57.19488907,
391.9599915,55.48596191,
392.8699951,55.19285965,
393.9299927,52.62989044,
394.8399963,52.6415062,
395.8999939,50.36981201,
396.9599915,47.88688278,
397.8699951,45.40937805,
398.9299927,42.80015182,
399.8399963,39.13970947,
400.8999939,35.9126358,
401.9599915,32.51211929,
402.8699951,31.04846191,
403.9299927,28.81793976,
404.8399963,26.91495323,
405.8999939,24.86358261,
406.9599915,23.67222595,
407.8699951,21.99243355,
408.9299927,21.0566864,
409.8399963,20.74365807,
410.8999939,18.8393364,
411.9599915,17.71484756,
412.8699951,16.9360218,
413.9299927,15.95053101,
414.8399963,15.21016884,
415.8999939,14.56630039,
416.9599915,13.50385475,
417.8699951,12.77103519,
418.9299927,11.91169643,
419.8399963,11.57233906,
420.8999939,11.02603436,
421.9599915,10.01384354,
422.8699951,9.494896889,
423.9299927,8.714225769,
424.8399963,8.28881073,
425.8999939,7.228357315,
426.9599915,6.946374416,
427.8699951,6.539999485,
428.9299927,6.090095997,
