Sample 3,,
Wavelength (nm),Intensity (a.u.),
346.9200134,2.961361408,
347.8399963,3.101320028,
348.9200134,4.965628624,
349.8399963,7.463965416,
350.8999939,13.72388363,
351.9599915,22.12803841,
352.8699951,29.03349686,
353.9299927,35.98895645,
354.8399963,40.03909302,
355.8999939,40.75655746,
356.9599915,39.98802948,
357.8699951,37.17621231,
358.9299927,34.74726105,
359.8399963,34.29686737,
360.9200134,35.13305283,
361.8399963,36.68528366,
362.9200134,39.99620056,
363.8399963,42.07690811,
364.9200134,46.28727722,
365.8399963,51.61440659,
366.9200134,59.21403122,
367.8399963,70.60861206,
368.9200134,84.18010712,
369.8399963,100.881012,
370.8999939,123.5730667,
371.9599915,150.9654083,
372.8699951,171.7927399,
373.9299927,188.736084,
374.8399963,193.0792389,
375.8999939,186.823761,
376.9599915,166.6613617,
377.8699951,147.7351685,
378.9299927,125.8415298,
379.8399963,107.7977676,
380.9200134,95.59768677,
381.8399963,90.40465546,
382.9200134,86.57622528,
383.8399963,85.60432434,
384.9200134,85.15081787,
385.8399963,83.92792511,
386.9200134,81.17337799,
387.8399963,79.1473999,
388.9200134,76.03679657,
389.8399963,73.68686676,
390.8999939,71.17990875,
391.9599915,70.62476349,
392.8699951,69.39987946,
393.9299927,69.82667542,
394.8399963,68.24523163,
395.8999939,66.12953949,
396.9599915,61.56198502,
397.8699951,58.7427597,
398.9299927,53.80192947,
399.8399963,49.19219971,
400.8999939,44.83867264,
401.9599915,40.15548325,
402.8699951,37.83696747,
403.9299927,34.83485413,
404.8399963,32.99588776,
405.8999939,30.23968697,
406.9599915,29.35595512,
407.8699951,27.73645401,
408.9299927,26.48177719,
409.8399963,25.33188438,
410.8999939,23.4531765,
411.9599915,21.75463486,
412.8699951,21.48099709,
413.9299927,19.94976044,
414.8399963,19.22888374,
415.8999939,17.55039215,
416.9599915,17.28069496,
417.8699951,16.48315811,
418.9299927,15.32387543,
419.8399963,13.79686546,
420.8999939,13.86259079,
421.9599915,13.18706799,
422.8699951,11.97825623,
423.9299927,11.21127701,
424.8399963,10.30927849,
425.8999939,9.519545555,
426.9599915,8.645628929,
427.8699951,8.294855118,
428.9299927,7.043289661,
429.8399963,6.967891693,
