Sample 17,,
Wavelength (nm),Intensity (a.u.),
340,1.062214494,
341.0700073,0.7319383621,
342,0.6324983835,
343.0700073,0.7271392941,
344,0.7509880066,
345.0700073,0.770980835,
346,0.7553634644,
347.0700073,0.6817654967,
348,0.8204745054,
349.0700073,0.763538301,
350,0.7651571631,
351.0599976,0.7790052891,
351.9599915,0.7006322742,
353.0299988,0.6582233906,
353.9299927,0.6780769229,
355,0.5908221602,
356.0599976,0.6898872256,
356.9599915,0.6670228839,
358.0299988,0.5919741988,
358.9299927,0.6535947919,
360,0.6013290882,
361.0700073,0.8166196942,
362,0.9296876788,
363.0700073,0.9729976058,
364,1.1681602,
365.0700073,1.539695501,
366,1.751433015,
367.0700073,1.917311668,
368,1.982240915,
369.0700073,2.021338463,
370,1.973000646,
371.0599976,1.71593833,
371.9599915,1.484122038,
373.0299988,1.118193746,
373.9299927,0.883700192,
375,0.6324455142,
376.0599976,0.6709366441,
376.9599915,0.526471138,
378.0299988,0.4926341474,
378.9299927,0.5119864941,
380,0.5065103173,
381.0700073,0.4786146283,
382,0.4651512802,
383.0700073,0.5374472141,
384,0.4490421116,
385.0700073,0.4237733483,
386,0.4289854467,
387.0700073,0.4760081768,
388,0.4074571431,
389.0700073,0.4105968475,
390,0.3540232778,
391.0599976,0.3365632296,
391.9599915,0.4190786183,
393.0299988,0.3608893156,
393.9299927,0.3713419437,
395,0.3110230565,
396.0599976,0.353954047,
396.9599915,0.3733703792,
398.0299988,0.2792696655,
398.9299927,0.3371971846,
400,0.3243516386,
401.0599976,0.292996347,
401.9599915,0.269321233,
403.0299988,0.2836743593,
403.9299927,0.3225751519,
405,0.302672714,
406.0599976,0.238768369,
406.9599915,0.3322526813,
408.0299988,0.2058286667,
408.9299927,0.2627448142,
410,0.2050916553,
411.0599976,0.2526131868,
411.9599915,0.2754337192,
413.0299988,0.2733061016,
413.9299927,0.2206189036,
415,0.2387622148,
416.0599976,0.2137303054,
416.9599915,0.2804078162,
418.0299988,0.2657034099,
418.9299927,0.1520033926,
420,0.2376199961,
421.0599976,0.2612820268,
421.9599915,0.1473899931,
423.0299988,0.2197415829,
423.9299927,0.1772456765,
425,0.1730450094,
426.0599976,0.1426325142,
426.9599915,0.1495027393,
428.0299988,0.1763303578,
428.9299927,0.1599695086,
430,0.1445553005,
431.0400085,0.1719290465,
431.9400024,0.1206737682,
432.980011,0.1483234167,
434.019989,0.2109216601,
435.0700073,0.1617449224,
435.9700012,0.2004382461,
437.0100098,0.1360433251,
438.0499878,0.2392691225,
438.9500122,0.1283081472,
440,0.1213674024,
441.0599976,0.1535464078,
441.9599915,0.1204653978,
