Sample 12,,
Wavelength (nm),Intensity (a.u.),
474.9200134,0.7994401455,
475.9700012,0.8411198854,
476.8599854,0.9846351147,
477.9100037,1.113928437,
478.9500122,1.406459689,
479.8500061,1.634115934,
480.8900146,2.065135717,
481.9400024,2.717355013,
482.980011,3.497884512,
483.8800049,4.531866074,
484.9200134,5.731171608,
485.9700012,7.274092197,
486.8599854,9.128529549,
487.9100037,11.63086319,
488.9500122,15.25904942,
489.8500061,18.93310547,
490.8900146,24.70841026,
491.9400024,31.74761772,
492.980011,41.21020889,
493.8800049,51.59230804,
494.9200134,66.0422287,
495.9700012,85.64903259,
496.8599854,105.4538498,
497.9100037,130.0713501,
498.9500122,155.4790192,
499.8500061,180.3235779,
500.8900146,211.2216187,
501.9400024,241.2167206,
502.980011,270.4619751,
503.8800049,286.7045288,
504.9200134,307.0570679,
505.9700012,325.1098328,
506.8599854,336.5300293,
507.9100037,346.4085083,
508.9500122,351.8771973,
509.8500061,354.5586853,
510.8900146,355.2001953,
511.9400024,353.5979309,
512.9799805,351.2565308,
513.8800049,347.9185181,
514.9199829,341.8312073,
515.9699707,334.3902283,
516.8599854,329.2415771,
517.9099731,319.5427856,
518.9500122,310.637085,
519.8499756,301.0171204,
520.8800049,291.0944824,
521.9099731,279.8458252,
522.9400024,269.5268555,
523.9699707,259.9086914,
524.8499756,250.4983521,
525.8800049,241.2102509,
526.9099731,230.3968048,
527.9400024,221.8958282,
528.9699707,212.7302551,
529.8499756,205.6468048,
530.8900146,198.5451508,
531.9400024,190.7291718,
532.9799805,184.0795746,
533.8800049,177.9603729,
534.9199829,172.4043121,
535.9699707,166.0714111,
536.8599854,161.7294464,
537.9099731,156.2720642,
538.9500122,151.3108826,
539.8499756,146.4712677,
540.8800049,141.5015717,
541.9099731,136.9337769,
542.9400024,132.7966766,
543.9699707,128.5112915,
544.8499756,124.1401672,
545.8800049,118.9666672,
546.9099731,115.0872116,
547.9400024,110.020668,
548.9699707,105.8959885,
549.8499756,102.8061295,
550.8800049,98.06129456,
551.9099731,94.84139252,
552.9400024,90.39142609,
553.9699707,86.24865723,
554.8499756,83.30884552,
555.8800049,79.75331116,
556.9099731,76.51776123,
557.9400024,73.31658173,
558.9699707,70.01172638,
559.8499756,67.30554199,
560.8800049,64.6840744,
561.9099731,62.11859894,
562.9400024,59.05586243,
563.9699707,56.2181015,
564.8499756,53.94776154,
565.8800049,51.23419189,
566.9099731,48.94436264,
567.9400024,46.8533783,
568.9699707,44.95966721,
569.8499756,43.00431442,
570.8599854,41.55183792,
571.8800049,39.07361221,
572.8900146,37.32057953,
573.9099731,35.45317841,
574.9199829,33.73726654,
575.9400024,32.65106964,
576.9500122,31.13421631,
577.9699707,30.02457809,
578.9799805,28.52948189,
579.8499756,27.53539848,
580.8800049,26.29117203,
581.9099731,25.1819706,
582.9400024,24.35450935,
583.9699707,23.35619354,
584.8499756,22.66371155,
585.8800049,21.55169678,
586.9099731,20.60720634,
587.9400024,19.91155243,
588.9699707,18.9317131,
589.8499756,18.33669472,
590.8599854,17.57291412,
591.8800049,16.92689514,
592.8900146,16.20188904,
593.9099731,15.47317791,
594.9199829,14.84872627,
595.9400024,14.27833557,
596.9500122,13.62044525,
597.9699707,13.01844501,
598.9799805,12.49913979,
599.8499756,11.94501972,
600.8599854,11.33713818,
601.8800049,10.89821911,
602.8900146,10.43262768,
603.9099731,10.1004591,
604.9199829,9.637065887,
605.9400024,9.237499237,
606.9500122,8.828544617,
607.9699707,8.448529243,
608.9799805,8.007056236,
609.8499756,7.677666664,
610.8599854,7.361742496,
611.8800049,7.146384716,
612.8900146,6.801911831,
613.9099731,6.441713333,
614.9199829,6.128845215,
615.9400024,5.930333138,
616.9500122,5.747998238,
617.9699707,5.472652912,
618.9799805,5.257215977,
619.8499756,5.042105675,
620.8599854,4.804780483,
621.8800049,4.655906677,
622.8900146,4.477428913,
623.9099731,4.182943821,
624.9199829,4.031391621,
625.9400024,3.873075485,
626.9500122,3.691197157,
627.9699707,3.512131453,
628.9799805,3.371166229,
629.8499756,3.253236055,
630.8499756,3.115974188,
631.8499756,2.955339909,
632.8499756,2.870135307,
633.8499756,2.70746994,
634.8499756,2.606904745,
635.8499756,2.490086317,
636.8499756,2.380934477,
637.8499756,2.283680201,
638.8499756,2.150727987,
639.8499756,2.122558832,
640.8599854,2.085556746,
641.8800049,1.910257697,
642.8900146,1.902126431,
643.9099731,1.784279704,
644.9199829,1.716152191,
645.9400024,1.713856459,
646.9500122,1.565408349,
647.9699707,1.526965141,
648.9799805,1.475426555,
649.8499756,1.407426715,
650.8499756,1.333877206,
651.8499756,1.29413712,
652.8499756,1.242354155,
653.8499756,1.213558674,
654.8499756,1.14260447,
655.8499756,1.128821373,
656.8499756,1.043017745,
657.8499756,0.9864821434,
