Sample 16,,
Wavelength (nm),Intensity (a.u.),
470,1.184514523,
471.0400085,1.168318868,
471.9400024,1.412691474,
472.980011,1.756833792,
474.019989,2.027446747,
475.0700073,2.656388521,
475.9700012,3.145361662,
477.0100098,4.066103458,
478.0499878,5.229000092,
478.9500122,6.580404282,
480,8.415596008,
481.0400085,10.6256237,
481.9400024,13.51661205,
482.980011,17.31681824,
484.019989,23.04236794,
485.0700073,28.93844795,
485.9700012,35.94966125,
487.0100098,46.19081116,
488.0499878,59.18470001,
488.9500122,74.63841248,
490,95.53782654,
491.0400085,124.212326,
491.9400024,149.8650665,
492.980011,185.3524933,
494.019989,228.5909119,
495.0700073,273.3892517,
495.9700012,319.9949341,
497.0100098,372.5204468,
498.0499878,423.3671875,
498.9500122,462.6962585,
500,501.6600037,
501.0400085,541.0786743,
501.9400024,572.675415,
502.980011,596.1547852,
504.019989,612.1680298,
505.0700073,623.3522949,
505.9700012,626.2088623,
507.0100098,631.8085938,
508.0499878,629.1596069,
508.9500122,625.2403564,
510,617.3922119,
511.0400085,606.524231,
511.9400024,599.8522949,
512.9799805,587.2011719,
514.0200195,571.9796753,
515.0700073,558.114563,
515.9699707,541.1853638,
517.0100098,521.7283325,
518.0499878,503.6334839,
518.9500122,492.7220154,
520,468.8156738,
521.0200195,452.191925,
522.0499878,434.0086975,
522.9400024,422.0604248,
523.9699707,407.1437988,
525,389.46698,
526.0200195,379.4561462,
527.0499878,362.9070129,
527.9400024,351.9907532,
528.9699707,343.4278564,
530,331.1332703,
531.039978,320.6328735,
531.9400024,311.07547,
532.9799805,301.0952759,
534.0200195,291.8980408,
535.0700073,282.8380432,
535.9699707,274.85495,
537.0100098,266.3291626,
538.0499878,256.9072876,
538.9500122,248.6807251,
540,240.4035034,
541.0200195,230.1212616,
542.0499878,222.6908569,
542.9400024,217.5382385,
543.9699707,207.816391,
545,199.184967,
546.0200195,191.3056793,
547.0499878,184.3263092,
547.9400024,176.7879486,
548.9699707,170.2885132,
550,162.6745148,
551.0200195,156.7808838,
552.0499878,149.9474792,
552.9400024,142.9286346,
553.9699707,137.3324127,
555,131.2364044,
556.0200195,125.8002853,
557.0499878,120.9524994,
557.9400024,114.8326187,
558.9699707,110.4689484,
560,104.6132965,
561.0200195,100.1650391,
562.0499878,95.68319702,
562.9400024,92.70100403,
563.9699707,88.57624054,
565,84.67284393,
566.0200195,80.97641754,
567.0499878,77.1860733,
567.9400024,74.48088074,
568.9699707,70.93266296,
570,68.48842621,
571.0100098,65.39815521,
572.0200195,62.64697647,
573.039978,59.70014572,
574.0499878,57.43042755,
575.0700073,54.88524628,
575.9400024,53.38269424,
576.9500122,50.93800735,
577.9699707,48.69057083,
578.9799805,46.66337585,
580,44.53162766,
581.0200195,43.34835815,
582.0499878,40.7496376,
582.9400024,39.98501968,
583.9699707,38.2791214,
585,36.8230896,
586.0200195,34.82239532,
587.0499878,33.64673615,
587.9400024,32.18887711,
588.9699707,30.94086075,
590,30.07043648,
591.0100098,28.93449593,
592.0200195,27.62853432,
593.039978,26.5540905,
594.0499878,25.15438271,
595.0700073,24.05752182,
595.9400024,23.33866692,
596.9500122,22.36047935,
597.9699707,21.57184601,
598.9799805,20.52717209,
600,19.64358902,
601.0100098,18.80073166,
602.0200195,18.09756851,
603.039978,17.53548431,
604.0499878,16.44293594,
605.0700073,15.72128582,
605.9400024,15.2679081,
606.9500122,14.53318119,
607.9699707,14.00712299,
608.9799805,13.31574535,
610,12.63540268,
611.0100098,12.06668949,
612.0200195,11.72414017,
613.039978,11.03620625,
614.0499878,10.88803768,
615.0700073,10.27796364,
615.9400024,9.742848396,
616.9500122,9.382100105,
617.9699707,9.105112076,
618.9799805,8.696797371,
620,8.214096069,
621.0100098,8.069757462,
622.0200195,7.746818066,
623.039978,7.273580551,
624.0499878,6.938138962,
625.0700073,6.726085186,
625.9400024,6.424533367,
626.9500122,6.14668417,
627.9699707,5.981883526,
628.9799805,5.716377258,
630,5.550726414,
631,5.112289906,
632,4.987202168,
633,4.843966007,
634,4.482788086,
635,4.538551807,
636,4.177872658,
637,4.026510715,
638,3.903166771,
639,3.71796298,
640,3.588066101,
641.0100098,3.374353886,
642.0200195,3.329560041,
643.039978,3.150753498,
644.0499878,3.033802509,
645.0700073,2.887807608,
645.9400024,2.845211744,
646.9500122,2.672212839,
647.9699707,2.559520721,
648.9799805,2.453469992,
650,2.343113661,
651,2.277637005,
652,2.226941347,
653,2.109907866,
654,2.012046099,
655,1.878298521,
656,1.845251322,
657,1.789717078,
658,1.724219918,
659,1.644914865,
660,1.558661342,
661,1.506963134,
662,1.44389987,
663,1.384691834,
664,1.33374095,
665,1.300038218,
666,1.2154603,
667,1.118055344,
668,1.090737939,
669,1.069595933,
670,1.03383255,
670.9799805,1.031092048,
671.9699707,1.00175631,
672.9500122,0.9471541047,
673.9400024,0.9180299044,
675.0700073,0.7970722318,
676.0499878,0.8641089201,
677.039978,0.7805516124,
678.0200195,0.7384128571,
679.0100098,0.7531530261,
