Sample 23,,
Wavelength (nm),Intensity (a.u.),
480,4.879991531,
481.0400085,6.396044254,
481.9400024,7.903006077,
482.980011,10.23522186,
484.019989,13.65771484,
485.0700073,17.23590469,
485.9700012,21.44144249,
487.0100098,27.89734077,
488.0499878,35.79274368,
488.9500122,45.80674744,
490,58.70851898,
491.0400085,75.87541199,
491.9400024,92.74625397,
492.980011,115.5517273,
494.019989,145.2388611,
495.0700073,175.3863678,
495.9700012,207.0314484,
497.0100098,242.2516937,
498.0499878,281.1702576,
498.9500122,304.818634,
500,334.0141602,
501.0400085,365.548584,
501.9400024,387.2493286,
502.980011,406.6389771,
504.019989,415.8137512,
505.0700073,425.9984436,
505.9700012,433.168335,
507.0100098,432.3773804,
508.0499878,432.3573303,
508.9500122,432.9710999,
510,424.6039124,
511.0400085,419.4064636,
511.9400024,412.4207458,
512.9799805,405.5114136,
514.0200195,393.8408508,
515.0700073,384.8192749,
515.9699707,374.2889709,
517.0100098,365.1655884,
518.0499878,351.8977356,
518.9500122,341.993103,
520,328.0733032,
521.0200195,316.4811707,
522.0499878,305.1878662,
522.9400024,294.5560303,
523.9699707,283.6729126,
525,274.0271912,
526.0200195,263.5739441,
527.0499878,254.5915527,
527.9400024,247.7212677,
528.9699707,238.9816284,
530,230.9764862,
531.039978,222.5490112,
531.9400024,217.9214783,
532.9799805,210.2012939,
534.0200195,203.8482971,
535.0700073,197.5104675,
535.9699707,190.365097,
537.0100098,183.8787231,
538.0499878,179.2947083,
538.9500122,173.95401,
540,168.1185913,
541.0200195,162.7225494,
542.0499878,156.4297791,
542.9400024,151.937149,
543.9699707,145.9932404,
545,140.3591614,
546.0200195,134.2034607,
547.0499878,129.0437775,
547.9400024,124.4773636,
548.9699707,119.7656403,
550,114.3243561,
551.0200195,110.0902328,
552.0499878,104.9538269,
552.9400024,100.4268188,
553.9699707,96.45492554,
555,91.85314941,
556.0200195,88.54019928,
557.0499878,84.89890289,
557.9400024,82.27935791,
558.9699707,78.75004578,
560,74.0103302,
561.0200195,71.54625702,
562.0499878,67.4855957,
562.9400024,66.12376404,
563.9699707,62.67990112,
565,59.9047966,
566.0200195,57.60137939,
567.0499878,54.98595428,
567.9400024,52.9153595,
568.9699707,50.72358704,
570,48.42586517,
571.0100098,46.06226349,
572.0200195,44.52780914,
573.039978,42.130867,
574.0499878,40.61465836,
575.0700073,38.80493546,
575.9400024,37.64588165,
576.9500122,35.61947632,
577.9699707,34.22486877,
578.9799805,33.34797668,
580,31.78561401,
581.0200195,30.20314217,
582.0499878,29.06941223,
582.9400024,27.85829735,
583.9699707,26.97566414,
585,26.27995491,
586.0200195,25.00573349,
587.0499878,23.78522491,
587.9400024,22.76073074,
588.9699707,21.88495636,
590,21.23908234,
591.0100098,20.41287041,
592.0200195,19.63555145,
593.039978,18.48741722,
594.0499878,18.05102348,
595.0700073,17.11235046,
595.9400024,16.58593369,
596.9500122,15.93039703,
597.9699707,15.04115963,
598.9799805,14.43303204,
600,13.88474369,
601.0100098,13.42332172,
602.0200195,12.78575516,
603.039978,12.23205757,
604.0499878,11.62679386,
605.0700073,11.26057339,
605.9400024,10.86447906,
606.9500122,10.33327389,
607.9699707,9.771052361,
608.9799805,9.532875061,
610,9.107221603,
611.0100098,8.710178375,
612.0200195,8.380820274,
613.039978,7.863080025,
614.0499878,7.723331928,
615.0700073,7.309572697,
615.9400024,6.811338425,
616.9500122,6.724041462,
617.9699707,6.285651684,
618.9799805,6.31231308,
620,5.971277714,
621.0100098,5.613439083,
622.0200195,5.5176754,
623.039978,5.26788044,
624.0499878,4.986382008,
625.0700073,4.76005888,
625.9400024,4.628152847,
626.9500122,4.341710567,
627.9699707,4.382381439,
628.9799805,4.031841278,
630,4.024334431,
631,3.493515491,
632,3.525046349,
633,3.321699619,
634,3.250145197,
635,3.177779913,
636,3.085605383,
637,2.858334303,
638,2.697207928,
639,2.739649534,
640,2.516946316,
641.0100098,2.350688934,
642.0200195,2.432953119,
643.039978,2.190038681,
644.0499878,2.1208601,
645.0700073,2.060244799,
645.9400024,2.022926569,
646.9500122,1.935474992,
647.9699707,1.94815135,
648.9799805,1.927279234,
650,1.726660609,
651,1.63160944,
652,1.511435628,
653,1.433215737,
654,1.375430703,
655,1.347634315,
656,1.253896952,
657,1.176980734,
658,1.229597449,
659,1.17504704,
660,1.233569622,
661,1.012228727,
662,1.090105891,
663,0.9198480844,
664,0.927906096,
665,0.90175879,
666,0.8761845827,
667,0.91964674,
668,0.7916556597,
669,0.8243223429,
670,0.7190403342,
670.9799805,0.675691247,
671.9699707,0.7226843238,
672.9500122,0.7403979301,
673.9400024,0.6257602572,
675.0700073,0.6468623877,
676.0499878,0.5775681138,
677.039978,0.6024267077,
678.0200195,0.568169415,
679.0100098,0.5457674861,
680,0.5034739971,
681,0.5205208063,
682,0.4671441913,
683,0.4424312711,
684,0.4352399409,
685,0.4990850091,
686,0.3726236224,
687,0.4352061152,
688,0.3513258994,
689,0.3417825699,
690,0.246527493,
690.9799805,0.3467718959,
691.9699707,0.2798396349,
692.9500122,0.2971891463,
693.9400024,0.2757460773,
695.0700073,0.3338079154,
696.0499878,0.2891984582,
697.039978,0.1932180524,
698.0200195,0.1982729733,
699.0100098,0.2557191253,
700,0.2066498548,

Sample 23,
Sample 23
Collection Time: 21/05/2023 2:05:10 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        480.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               470.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 339.00, New: 553.00
Emission Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 349.00, New: 563.00
Stop Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 650.00, New: 850.00
PMT Volts Changed: 21/05/2023 1:31:49 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 1:31:49 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 1:33:46 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 630.00
Excitation Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 563.00, New: 630.00
Stop Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 850.00, New: 620.00
Scan mode: Changed: 21/05/2023 1:43:42 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 220.00, New: 352.00
Emission Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 630.00, New: 362.00
Stop Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 620.00, New: 650.00
Scan mode: Changed: 21/05/2023 1:45:14 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 352.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 362.00, New: 377.00
Stop Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 650.00, New: 367.00
Scan mode: Changed: 21/05/2023 1:48:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 220.00, New: 350.00
Emission Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 377.00, New: 360.00
Stop Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 367.00, New: 550.00
Excitation Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 360.00, New: 350.00
PMT Volts Changed: 21/05/2023 1:49:10 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:49:10 PM, Old: 600, New: 800
Excitation Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 350.00, New: 480.00
Stop Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 550.00, New: 700.00
PMT Volts Changed: 21/05/2023 2:05:04 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 2:05:04 PM, Old: 800, New: 600
End Method Modifications

