Sample 16,,
Wavelength (nm),Intensity (a.u.),
478.9500122,8.406541824,
480,10.30881119,
481.0400085,13.31532478,
481.9400024,16.75202942,
482.980011,21.93393135,
484.019989,29.15711594,
485.0700073,36.52739716,
485.9700012,45.05269623,
487.0100098,58.28321838,
488.0499878,75.47707367,
488.9500122,96.51261902,
490,124.3069916,
491.0400085,161.879425,
491.9400024,196.8260803,
492.980011,245.6026459,
494.019989,303.5742798,
495.0700073,362.6745911,
495.9700012,423.190979,
497.0100098,483.9872131,
498.0499878,547.7404785,
498.9500122,581.6278687,
500,622.0734863,
501.0400085,655.6706543,
501.9400024,678.109375,
502.980011,691.5869751,
504.019989,702.6836548,
505.0700073,702.0637207,
505.9700012,701.9475098,
507.0100098,695.2526245,
508.0499878,688.1575928,
508.9500122,681.9026489,
510,668.4898071,
511.0400085,654.5982666,
511.9400024,644.0825806,
512.9799805,627.7764282,
514.0200195,611.7097168,
515.0700073,593.3310547,
515.9699707,572.4490967,
517.0100098,553.4579468,
518.0499878,534.2086182,
518.9500122,516.1552124,
520,495.6839905,
521.0200195,476.4853821,
522.0499878,456.201355,
522.9400024,445.1516418,
523.9699707,428.4507446,
525,412.4168701,
526.0200195,400.0619202,
527.0499878,386.8820801,
527.9400024,375.6574707,
528.9699707,365.4558716,
530,354.0883484,
531.039978,343.4658203,
531.9400024,333.5973206,
532.9799805,323.9780884,
534.0200195,313.4951782,
535.0700073,303.083313,
535.9699707,295.5090637,
537.0100098,287.2334595,
538.0499878,277.410614,
538.9500122,268.2171631,
540,260.1845093,
541.0200195,249.0113373,
542.0499878,240.1813049,
542.9400024,233.9096985,
543.9699707,224.5862885,
545,214.2047272,
546.0200195,206.3640289,
547.0499878,198.2032318,
547.9400024,191.3257294,
548.9699707,182.2527008,
550,174.9473114,
551.0200195,168.333252,
552.0499878,160.3117065,
552.9400024,155.5701294,
553.9699707,147.6875916,
555,141.7602539,
556.0200195,136.5869751,
557.0499878,129.8017578,
557.9400024,125.2001648,
558.9699707,119.1386185,
560,114.3101044,
561.0200195,109.0438004,
562.0499878,104.3788223,
562.9400024,100.744606,
563.9699707,96.24964142,
565,92.38084412,
566.0200195,88.59861755,
567.0499878,84.21453857,
567.9400024,81.55571747,
568.9699707,77.86495972,
570,75.12782288,
571.0100098,72.3709259,
572.0200195,69.52160645,
573.039978,66.15855408,
574.0499878,63.13169861,
575.0700073,60.52515411,
575.9400024,58.73604965,
576.9500122,55.78842926,
577.9699707,54.18560791,
578.9799805,52.31074524,
580,49.64557266,
581.0200195,47.77941895,
582.0499878,45.61235046,
582.9400024,44.03832245,
583.9699707,42.47238159,
585,41.12876129,
586.0200195,39.33354187,
587.0499878,37.24710846,
587.9400024,35.8518219,
588.9699707,34.9305687,
590,33.33289719,
591.0100098,32.16021729,
592.0200195,30.6686306,
593.039978,29.52199554,
594.0499878,28.23572159,
595.0700073,27.03534126,
595.9400024,26.00872993,
596.9500122,25.0834465,
597.9699707,24.00109291,
598.9799805,23.01924324,
600,22.1082859,
601.0100098,21.19205284,
602.0200195,20.2683506,
603.039978,19.1990509,
604.0499878,18.68849373,
605.0700073,18.06112099,
605.9400024,17.35347748,
606.9500122,16.48546219,
607.9699707,15.76578045,
608.9799805,15.09383678,
610,14.32547951,
611.0100098,13.83604527,
612.0200195,13.23888302,
613.039978,12.83157253,
614.0499878,12.33681202,
615.0700073,11.6713953,
615.9400024,11.04110432,
616.9500122,10.77305794,
617.9699707,10.01994801,
618.9799805,9.888579369,
620,9.634119987,
621.0100098,9.155721664,
622.0200195,8.774130821,
623.039978,8.356827736,
624.0499878,7.976018906,
625.0700073,7.859023094,
625.9400024,7.406168461,
626.9500122,7.113910198,
627.9699707,6.827584267,
628.9799805,6.581105232,
630,6.222877026,
631,6.065144062,
632,5.644492149,
633,5.321964741,
634,5.384768009,
635,5.036255836,
636,5.044025421,
637,4.727729321,
638,4.49695015,
639,4.408577442,
640,4.141612053,
641.0100098,4.006872654,
642.0200195,3.784828663,
643.039978,3.633357286,
644.0499878,3.420464039,
645.0700073,3.411829948,
645.9400024,3.247977495,
646.9500122,3.091354132,
647.9699707,2.767533779,
648.9799805,2.829954386,
650,2.702557325,
651,2.69494915,
652,2.590191841,
653,2.359381437,
654,2.312200069,
655,2.269099474,
656,2.104503393,
657,1.994473815,
658,2.078118801,
659,1.999604106,
660,1.894263268,
661,1.92542851,
662,1.69481349,
663,1.638441443,
664,1.454231024,
665,1.50237608,
666,1.496897459,
667,1.417775631,
668,1.405791879,
669,1.304496169,
670,1.274951458,
670.9799805,1.248198986,
671.9699707,1.139321804,
672.9500122,1.191691041,
673.9400024,1.102208376,
675.0700073,0.9976431131,
676.0499878,0.9654743671,
677.039978,1.00943017,
678.0200195,0.7946861982,
679.0100098,0.9087543488,
680,0.922352314,
681,0.8008471727,
682,0.7263519168,
683,0.8032448292,
684,0.8083543181,
685,0.7866771817,
686,0.7275008559,
687,0.7038501501,
688,0.5770946145,
689,0.5387250185,
690,0.6592001319,
690.9799805,0.5817797184,
691.9699707,0.6423381567,
692.9500122,0.6036586761,
693.9400024,0.5762276053,
695.0700073,0.4085182846,
696.0499878,0.4596200585,
697.039978,0.4714725316,
698.0200195,0.4123876095,
699.0100098,0.4184961915,
700,0.3841421008,

Sample 16,
Sample 16
Collection Time: 4/05/2023 12:07:36 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        479.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               469.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
Excitation Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 350.00, New: 339.00
Emission Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 400.00, New: 349.00
Scan mode: Changed: 4/05/2023 11:17:29 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 339.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 349.00, New: 374.00
Stop Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 600.00, New: 364.00
Scan mode: Changed: 4/05/2023 11:18:46 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 220.00, New: 337.00
Emission Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 374.00, New: 347.00
Stop Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 364.00, New: 600.00
Excitation Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 337.00, New: 422.00
Emission Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 347.00, New: 432.00
Stop Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 600.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:33:22 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 11:33:22 AM, Old: 450.00, New: 525.00
User Delta Increment Changed: 4/05/2023 11:33:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 422.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 432.00, New: 525.00
Stop Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 700.00, New: 515.00
Scan mode: Changed: 4/05/2023 11:54:35 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 525.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 515.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:56:27 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 331.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 341.00, New: 508.00
Stop Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 700.00, New: 500.00
Scan mode: Changed: 4/05/2023 11:58:40 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 508.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:58:40 AM, Old: 500.00, New: 700.00
Excitation Wavelength Changed: 4/05/2023 12:04:52 PM, Old: 331.00, New: 469.00
Emission Wavelength Changed: 4/05/2023 12:04:52 PM, Old: 341.00, New: 479.00
End Method Modifications

