Sample 4,,
Wavelength (nm),Intensity (a.u.),
480,0.05423324183,
481.0400085,0.08055637777,
481.9400024,0.0934785381,
482.980011,0.06122782454,
484.019989,0.0826543048,
485.0700073,0.06923241913,
485.9700012,0.07622426003,
487.0100098,0.06295159459,
488.0499878,0.03504247218,
488.9500122,0.1004477069,
490,0.07079596072,
491.0400085,0.04254745692,
491.9400024,0.1206264049,
492.980011,0.070571132,
494.019989,0.06938373297,
495.0700073,0.07629140466,
495.9700012,0.0793427527,
497.0100098,0.04141844437,
498.0499878,0.09116537869,
498.9500122,0.07667535543,
500,0.07013852149,
501.0400085,0.02123352699,
501.9400024,0.04251278937,
502.980011,0.01395196375,
504.019989,0.04218637943,
505.0700073,0.06311537325,
505.9700012,0.02123593166,
507.0100098,0.05640953034,
508.0499878,0.05608013645,
508.9500122,0.0282328371,
510,0.04888097569,
511.0400085,0.007058657706,
511.9400024,-0.007127533201,
512.9799805,0.06392680854,
514.0200195,0.02087769844,
515.0700073,0.006889566779,
515.9699707,-0.02088424005,
517.0100098,0,
518.0499878,0.04175481573,
518.9500122,0.03453110158,
520,0.04177254811,
521.0200195,-0.01377391536,
522.0499878,-0.01375932153,
522.9400024,0,
523.9699707,0.02059788816,
525,-0.05609862134,
526.0200195,0.01382829435,
527.0499878,0.04119407758,
527.9400024,0.05481967703,
528.9699707,-0.06152373552,
530,0.02771580219,
531.039978,0.02060680091,
531.9400024,0.02720274217,
532.9799805,0,
534.0200195,0.01362583507,
535.0700073,0.03405878693,
535.9699707,0.04112800583,
537.0100098,0.04806074873,
538.0499878,0.01374107692,
538.9500122,0.00685053505,
540,0.1109746993,
541.0200195,0.1310444176,
542.0499878,0.1493672282,
542.9400024,0.234275952,
543.9699707,0.2190475464,
545,0.192427963,
546.0200195,0.2271882445,
547.0499878,0.1522565186,
547.9400024,0.1992798448,
548.9699707,0.1291770041,
550,0.08314682543,
551.0200195,0.0624592267,
552.0499878,0.08913511783,
552.9400024,0,
553.9699707,-0.04097661003,
555,-0.02072409913,
556.0200195,0.02780113742,
557.0499878,0.01374466531,
557.9400024,0.02053388022,
558.9699707,0,
560,0.02081540972,
561.0200195,-0.04175365344,
562.0499878,0,
562.9400024,0.03456978127,
563.9699707,0.08241475374,
565,-0.01358723361,
566.0200195,0.04765989631,
567.0499878,0.05454198271,
567.9400024,-0.01381873991,
568.9699707,-0.01377069019,
570,-0.00689403154,
571.0100098,0.08294624835,
572.0200195,0,
573.039978,-0.02849185467,
574.0499878,-0.02796029486,
575.0700073,0.02823682129,
575.9400024,0.02803967707,
576.9500122,0.01410268154,
577.9699707,0.00707914494,
578.9799805,0.07915889472,
580,-0.007052136585,
581.0200195,0.02112497576,
582.0499878,-0.0282729473,
582.9400024,0.07114652544,
583.9699707,-0.00708170142,
585,0.01396969985,
586.0200195,-0.007185921073,
587.0499878,-0.02141572349,
587.9400024,-0.0350218527,
588.9699707,0.01407707203,
590,-0.02131514437,
591.0100098,0,
592.0200195,0.04948570207,
593.039978,0.03525695205,
594.0499878,-0.01392185595,
595.0700073,0.02815553173,
595.9400024,0.02094431035,
596.9500122,0.03572321683,
597.9699707,0.04224072769,
598.9799805,0.007138064597,
600,0.02838449739,
601.0100098,-0.1096972302,
602.0200195,0.007106007542,
603.039978,-0.006933706813,
604.0499878,-0.02777353488,
605.0700073,-0.02894376963,
605.9400024,-0.02776697837,
606.9500122,-0.03501621261,
607.9699707,-0.035628777,
608.9799805,-0.01426299475,
610,0.04983128235,
611.0100098,-0.02849449217,
612.0200195,0.02803771012,
613.039978,0,
614.0499878,0.05783355609,
615.0700073,0.0214192383,
615.9400024,-0.0218775291,
616.9500122,-0.06341064721,
617.9699707,0.08495996147,
618.9799805,0.05613247305,
620,0.08616913855,
621.0100098,-0.06452907622,
622.0200195,0.02105484717,
623.039978,0.04177632928,
624.0499878,0.03582457453,
625.0700073,0.05032387003,
625.9400024,-0.04198858142,
626.9500122,-0.02071136609,
627.9699707,0.06278646737,
628.9799805,-0.006996382959,
630,-0.04206895083,
631,0.006974035874,
632,0.03498264775,
633,0,
634,0.04933364317,
635,0.02755371295,
636,0.00698738778,
637,0,
638,0,
639,-0.08504968137,
640,0.04151904583,
641.0100098,0.04856995866,
642.0200195,0.01392748021,
643.039978,0.02124390006,
644.0499878,0.01410944667,
645.0700073,0.01409095712,
645.9400024,0.0282117296,
646.9500122,0.05578022823,
647.9699707,0.02079189382,
648.9799805,0.04196038842,
650,0.02081280947,
651,0.02090373822,
652,-0.05548119545,
653,-0.007042055018,
654,0.1053237617,
655,-0.006933418103,
656,0.06855983287,
657,0.05636462569,
658,-0.04316857457,
659,0,
660,-0.04164006189,
661,-0.04166811332,
662,0,
663,0.02151725255,
664,0.02074043453,
665,-0.01406400464,
666,0.006939288229,
667,-0.01383843645,
668,0.007025234401,
669,0.04832552001,
670,-0.02066571079,
670.9799805,0.04884482175,
671.9699707,0,
672.9500122,-0.04162099957,
673.9400024,0.04161147401,
675.0700073,0.02781254239,
676.0499878,0.03470439091,
677.039978,0.006912951823,
678.0200195,-0.007034575101,
679.0100098,0.01366269495,
680,-0.01393485535,
681,0.03420650959,
682,0.02113777585,
683,-0.006842098199,
684,0.04073126242,
685,0.006860075053,
686,0.04171011597,
687,-0.01380205154,
688,0.007097735535,
689,0.01495304797,
690,0.007221467793,
690.9799805,0.01379986014,
691.9699707,-0.01404711418,
692.9500122,0.02118808776,
693.9400024,-0.02075664885,
695.0700073,-0.02780964226,
696.0499878,0.0139520606,
697.039978,0.02093816921,
698.0200195,0.02898298763,
699.0100098,0.00708230352,
700,0.02070407756,

Sample 4,
Sample 4
Collection Time: 14/04/2023 3:56:47 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        480.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               470.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\Users\fluorimeteruser\Desktop\DATA Must Be Saved In This Folder\Adrea\fluor\BOD493\bod493_nhex.FBSW
Date/Time stamp: 14/04/2023 3:56:16 PM
Method Modifications:
User Delta Stop Changed: 14/04/2023 3:54:02 PM, Old: 450.00, New: 498.00
User Delta Increment Changed: 14/04/2023 3:54:02 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 14/04/2023 3:54:02 PM, Old: 350.00, New: 498.00
Emission Wavelength Changed: 14/04/2023 3:54:02 PM, Old: 400.00, New: 508.00
Em. Slit Width (nm): Changed: 14/04/2023 3:54:22 PM, Old:5, New:2.5
Excitation Wavelength Changed: 14/04/2023 3:55:12 PM, Old: 498.00, New: 470.00
Emission Wavelength Changed: 14/04/2023 3:55:12 PM, Old: 508.00, New: 480.00
Stop Wavelength Changed: 14/04/2023 3:55:12 PM, Old: 600.00, New: 700.00
Overlayed Graphs Changed: 14/04/2023 3:55:21 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 14/04/2023 3:55:21 PM, Old:2.5, New:5
End Method Modifications

