Sample 20,,
Wavelength (nm),Intensity (a.u.),
470,0.5000424981,
471.0400085,0.522488296,
471.9400024,0.6174067855,
472.980011,0.7442630529,
474.019989,0.8500665426,
475.0700073,1.049790859,
475.9700012,1.254660368,
477.0100098,1.564642549,
478.0499878,1.986359239,
478.9500122,2.527778864,
480,3.217272282,
481.0400085,4.163612366,
481.9400024,5.259924889,
482.980011,6.966980457,
484.019989,9.15571785,
485.0700073,11.71625614,
485.9700012,14.36149311,
487.0100098,18.67295074,
488.0499878,23.86377335,
488.9500122,30.59457588,
490,39.63074493,
491.0400085,52.03419876,
491.9400024,64.22305298,
492.980011,82.12555695,
494.019989,103.5993347,
495.0700073,127.6245575,
495.9700012,152.6721191,
497.0100098,181.8832397,
498.0499878,211.0796356,
498.9500122,230.0483856,
500,254.2027893,
501.0400085,274.8343811,
501.9400024,289.7915955,
502.980011,303.0645447,
504.019989,310.5752563,
505.0700073,314.7515564,
505.9700012,316.5224304,
507.0100098,316.2515259,
508.0499878,314.7623291,
508.9500122,312.2908936,
510,307.5588074,
511.0400085,303.3415527,
511.9400024,298.5411072,
512.9799805,292.7714233,
514.0200195,285.1939697,
515.0700073,276.6522522,
515.9699707,270.0220947,
517.0100098,261.654541,
518.0499878,253.7876892,
518.9500122,245.6062469,
520,235.1224213,
521.0200195,227.220871,
522.0499878,218.1495514,
522.9400024,212.0673218,
523.9699707,204.3144073,
525,196.9131165,
526.0200195,189.7653503,
527.0499878,183.4091492,
527.9400024,177.743042,
528.9699707,171.5919342,
530,166.2685852,
531.039978,161.725296,
531.9400024,156.7961426,
532.9799805,152.375412,
534.0200195,147.7125854,
535.0700073,143.5172577,
535.9699707,139.1498718,
537.0100098,135.5460968,
538.0499878,130.8777466,
538.9500122,126.9423218,
540,122.4444427,
541.0200195,118.1431656,
542.0499878,113.9210968,
542.9400024,110.9952393,
543.9699707,106.495842,
545,102.4703674,
546.0200195,98.10404968,
547.0499878,94.86593628,
547.9400024,91.30063629,
548.9699707,87.43636322,
550,84.11039734,
551.0200195,80.41490936,
552.0499878,77.33708191,
552.9400024,74.33579254,
553.9699707,71.27571106,
555,67.91117859,
556.0200195,65.34313965,
557.0499878,62.66789246,
557.9400024,60.13051224,
558.9699707,57.68198013,
560,54.95918274,
561.0200195,52.58967972,
562.0499878,50.10940933,
562.9400024,48.32957458,
563.9699707,46.44524384,
565,44.48946381,
566.0200195,42.57720947,
567.0499878,40.35447693,
567.9400024,39.13300323,
568.9699707,37.31579971,
570,36.06296921,
571.0100098,34.56203079,
572.0200195,32.88121796,
573.039978,31.63930702,
574.0499878,30.26044846,
575.0700073,28.86712265,
575.9400024,27.92054176,
576.9500122,26.72470474,
577.9699707,25.76125145,
578.9799805,24.74496269,
580,23.84429169,
581.0200195,22.69462013,
582.0499878,21.75240135,
582.9400024,20.98337936,
583.9699707,20.13850212,
585,19.53481293,
586.0200195,18.67158699,
587.0499878,17.89463234,
587.9400024,17.23477173,
588.9699707,16.64721489,
590,15.99236774,
591.0100098,15.29663467,
592.0200195,14.72624779,
593.039978,14.0387125,
594.0499878,13.5078783,
595.0700073,12.81770229,
595.9400024,12.4619894,
596.9500122,11.94105911,
597.9699707,11.46090698,
598.9799805,11.03472614,
600,10.47217655,
601.0100098,10.02182388,
602.0200195,9.637389183,
603.039978,9.190423012,
604.0499878,8.814307213,
605.0700073,8.447793007,
605.9400024,8.231484413,
606.9500122,7.79720974,
607.9699707,7.454773426,
608.9799805,7.191020966,
610,6.891720772,
611.0100098,6.520694256,
612.0200195,6.389708042,
613.039978,6.031569958,
614.0499878,5.765298367,
615.0700073,5.550410748,
615.9400024,5.292110443,
616.9500122,5.100695133,
617.9699707,4.927359581,
618.9799805,4.666773319,
620,4.474690437,
621.0100098,4.32213068,
622.0200195,4.15003109,
623.039978,3.878187895,
624.0499878,3.806201696,
625.0700073,3.613636017,
625.9400024,3.456205368,
626.9500122,3.342517614,
627.9699707,3.162557602,
628.9799805,3.050825357,
630,2.919655323,
631,2.820402861,
632,2.714067936,
633,2.608408451,
634,2.482970953,
635,2.413398266,
636,2.311500311,
637,2.219724178,
638,2.109502554,
639,2.002445698,
640,1.964596391,
641.0100098,1.855305791,
642.0200195,1.777264953,
643.039978,1.677487731,
644.0499878,1.625665069,
645.0700073,1.596975088,
645.9400024,1.51798439,
646.9500122,1.433643937,
647.9699707,1.3734864,
648.9799805,1.378081203,
650,1.309848547,
651,1.280004382,
652,1.19293046,
653,1.14818728,
654,1.107116222,
655,1.061677575,
656,1.019062638,
657,0.9683082104,
658,0.94629246,
659,0.8740472198,
660,0.8599153161,
661,0.8144598007,
662,0.7973726988,
663,0.7820362449,
664,0.765268743,
665,0.7094871402,
666,0.6840135455,
667,0.6542420387,
668,0.620246172,
669,0.5717218518,
670,0.5691168308,
670.9799805,0.5440368652,
671.9699707,0.529886663,
672.9500122,0.5062548518,
673.9400024,0.5026283264,
675.0700073,0.4717884958,
676.0499878,0.43753016,
677.039978,0.427590698,
678.0200195,0.3900102973,
679.0100098,0.4084068835,
680,0.3869052827,
681,0.375690639,
682,0.3451199234,
683,0.3518094122,
684,0.3138281703,
685,0.329183042,
686,0.3129665256,
687,0.2830296457,
688,0.2778018713,
689,0.289876461,
690,0.2716318369,
690.9799805,0.2430719882,
691.9699707,0.228971377,
692.9500122,0.2508799434,
