Sample 21,,
Wavelength (nm),Intensity (a.u.),
470,0.08095285296,
471.0400085,0.04512991011,
471.9400024,0.04928219691,
472.980011,0.01772440039,
474.019989,0.02579869144,
475.0700073,0.05584195629,
475.9700012,0.04375730827,
477.0100098,0.04559892789,
478.0499878,0.06154965982,
478.9500122,0.06365991384,
480,0.09170402586,
481.0400085,0.08260132372,
481.9400024,0.09927944094,
482.980011,0.09583245218,
484.019989,0.09454451501,
485.0700073,0.0790162012,
485.9700012,0.08343452215,
487.0100098,0.08029321581,
488.0499878,0.07424588501,
488.9500122,0.06898535043,
490,0.05462174863,
491.0400085,0.07715082914,
491.9400024,0.06307482719,
492.980011,0.07991979271,
494.019989,0.05388952047,
495.0700073,0.07361561805,
495.9700012,0.05546266586,
497.0100098,0.04425354302,
498.0499878,0.0425144136,
498.9500122,0.04757420719,
500,0.02809727006,
501.0400085,0.02868956886,
501.9400024,0.02532854676,
502.980011,0.0313225165,
504.019989,0.03503637016,
505.0700073,0.02762896381,
505.9700012,0.01320152916,
507.0100098,0.02145540901,
508.0499878,0.02746615,
508.9500122,0.02973297238,
510,0.02558431588,
511.0400085,0.03461175039,
511.9400024,0.04233158752,
512.9799805,0.02613029256,
514.0200195,0.0434974432,
515.0700073,0.04268862307,
515.9699707,0.02204241417,
517.0100098,0.03111074306,
518.0499878,0.04602963477,
518.9500122,0.03669142351,
520,0.01971578784,
521.0200195,0.03055726551,
522.0499878,0.03928038478,
522.9400024,0.03630011529,
523.9699707,0.05707543716,
525,0.0385286808,
526.0200195,0.06145991385,
527.0499878,0.06230175495,
527.9400024,0.0908780843,
528.9699707,0.147876814,
530,0.1716815084,
531.039978,0.2291930765,
531.9400024,0.2603586316,
532.9799805,0.2614589632,
534.0200195,0.2600649595,
535.0700073,0.2352779657,
535.9699707,0.1828374267,
537.0100098,0.1638902873,
538.0499878,0.1245773882,
538.9500122,0.08080241829,
540,0.05402267724,
541.0200195,0.05170215666,
542.0499878,0.03111791424,
542.9400024,0.03710073605,
543.9699707,0.03909773007,
545,0.03299744427,
546.0200195,0.01829103194,
547.0499878,0.01238912903,
547.9400024,0.02201349474,
548.9699707,0.002642359352,
550,0.01686286926,
551.0200195,0.01685105264,
552.0499878,0.0224846229,
