Sample 5,,
Wavelength (nm),Intensity (a.u.),
460,0.2138517201,
461.0400085,0.11935018,
461.9400024,0.1212823465,
462.980011,0.1120428666,
464.019989,0.09252845496,
465.0700073,0.1374658495,
465.9700012,0.1192602813,
467.0100098,0.1494934708,
468.0499878,0.1284617484,
468.9500122,0.1519354135,
470,0.1526744664,
471.0400085,0.1728143096,
471.9400024,0.2019442469,
472.980011,0.1854074001,
474.019989,0.2030344754,
475.0700073,0.2101611197,
475.9700012,0.2195809633,
477.0100098,0.2332889736,
478.0499878,0.2390271574,
478.9500122,0.298384279,
480,0.3180077374,
481.0400085,0.403924346,
481.9400024,0.4812901616,
482.980011,0.6133243442,
484.019989,0.7937797904,
485.0700073,1.021586418,
485.9700012,1.287250996,
487.0100098,1.591912985,
488.0499878,2.021449327,
488.9500122,2.554092407,
490,3.306956768,
491.0400085,4.298948765,
491.9400024,5.268280506,
492.980011,6.911524296,
494.019989,9.022147179,
495.0700073,11.62306023,
495.9700012,14.91288185,
497.0100098,19.35538292,
498.0499878,24.34788513,
498.9500122,28.52384567,
500,33.83464432,
501.0400085,40.14704895,
501.9400024,45.47821045,
502.980011,51.5628891,
504.019989,56.23688889,
505.0700073,59.94113541,
505.9700012,62.35960007,
507.0100098,64.29369354,
508.0499878,66.30549622,
508.9500122,67.29042816,
510,67.679039,
511.0400085,67.48258972,
511.9400024,67.12850952,
512.9799805,66.44576263,
514.0200195,65.378685,
515.0700073,64.80866241,
515.9699707,63.90221405,
517.0100098,62.22736359,
518.0499878,60.72216797,
518.9500122,59.31732941,
520,57.38107681,
521.0200195,55.00493622,
522.0499878,52.67213058,
522.9400024,50.98691177,
523.9699707,49.09873581,
525,47.13945007,
526.0200195,45.14439774,
527.0499878,43.43890381,
527.9400024,41.60681915,
528.9699707,40.09278488,
530,38.85180664,
531.039978,37.43772125,
531.9400024,36.3660965,
532.9799805,35.1770668,
534.0200195,33.4173851,
535.0700073,32.42903137,
535.9699707,31.73664284,
537.0100098,30.7258358,
538.0499878,29.47968102,
538.9500122,28.54012489,
540,27.71524239,
541.0200195,26.66640282,
542.0499878,25.78787231,
542.9400024,25.2059288,
543.9699707,24.1418972,
545,23.17591476,
546.0200195,22.59142876,
547.0499878,21.5984478,
547.9400024,20.73413086,
548.9699707,19.9659481,
550,19.25436401,
551.0200195,18.50614929,
552.0499878,17.65573502,
552.9400024,16.97564507,
553.9699707,16.24571419,
555,15.63700676,
556.0200195,14.88967037,
557.0499878,14.37858963,
557.9400024,13.82177734,
558.9699707,13.19293976,
560,12.50749111,
561.0200195,12.00889587,
562.0499878,11.37804985,
562.9400024,11.01189423,
563.9699707,10.51162529,
565,9.999674797,
566.0200195,9.632805824,
567.0499878,9.159871101,
567.9400024,8.833299637,
568.9699707,8.417180061,
570,8.097390175,
571.0100098,7.62287569,
572.0200195,7.32928896,
573.039978,7.00875473,
574.0499878,6.676697731,
575.0700073,6.373574734,
575.9400024,6.153395176,
576.9500122,5.950226307,
577.9699707,5.762733459,
578.9799805,5.440621853,
580,5.254273891,
581.0200195,5.026813984,
582.0499878,4.834907055,
582.9400024,4.6472435,
583.9699707,4.42939043,
585,4.274071217,
586.0200195,4.083077908,
587.0499878,3.968296051,
587.9400024,3.746576548,
588.9699707,3.579068661,
590,3.447689772,
591.0100098,3.325721502,
592.0200195,3.156488657,
593.039978,3.088258982,
594.0499878,2.951602459,
595.0700073,2.781472206,
595.9400024,2.685174465,
596.9500122,2.570881128,
597.9699707,2.493417501,
598.9799805,2.373189211,
600,2.274894714,
601.0100098,2.157679319,
602.0200195,2.072678089,
603.039978,2.017920494,
604.0499878,1.91396451,
605.0700073,1.81999135,
605.9400024,1.746726513,
606.9500122,1.687948585,
607.9699707,1.618137002,
608.9799805,1.539201379,
610,1.477699995,
611.0100098,1.420433402,
612.0200195,1.368250132,
613.039978,1.285153747,
614.0499878,1.265402794,
615.0700073,1.189406991,
615.9400024,1.148533702,
616.9500122,1.079653502,
617.9699707,1.066036105,
618.9799805,0.9815878272,
620,0.9744777083,
621.0100098,0.9127241969,
622.0200195,0.8646020889,
623.039978,0.8345046639,
624.0499878,0.793186605,
625.0700073,0.7999177575,
625.9400024,0.7174354792,
626.9500122,0.7105372548,
627.9699707,0.6732133627,
628.9799805,0.6577453613,
630,0.6485524178,
631,0.6084970236,
632,0.5557254553,
633,0.5312235951,
634,0.5252522826,
635,0.5165873766,
636,0.4702298045,
637,0.4618074894,
638,0.4263847172,
639,0.4028594494,
640,0.4135046005,
641.0100098,0.3766973317,
