Sample 5,,
Wavelength (nm),Intensity (a.u.),
430,1.087271571,
431.0400085,0.9241170883,
431.9400024,0.9676206112,
432.980011,1.07284832,
434.019989,1.208951116,
435.0700073,1.402819753,
435.9700012,1.677608132,
437.0100098,1.93733418,
438.0499878,2.280481815,
438.9500122,2.580983639,
440,3.007477522,
441.0599976,3.418697357,
441.9599915,3.730974197,
443.0299988,4.174726486,
443.9299927,4.44938612,
445,4.778739929,
446.0599976,5.22136116,
446.9599915,5.601201057,
448.0299988,6.047400475,
448.9299927,6.606358051,
450,7.369982719,
451.0599976,8.449543953,
451.9599915,9.568314552,
453.0299988,11.53534126,
453.9299927,13.56818581,
455,16.52999496,
456.0599976,20.32707405,
456.9599915,24.22992325,
458.0299988,30.65951347,
458.9299927,37.54369354,
460,47.79689789,
461.0400085,58.75662613,
461.9400024,70.4017334,
462.980011,89.3871994,
464.019989,112.6711044,
465.0700073,144.3277893,
465.9700012,172.233551,
467.0100098,211.8367157,
468.0499878,260.0144043,
468.9500122,310.8416443,
470,380.2607422,
471.0400085,453.4377136,
471.9400024,522.4157104,
472.980011,604.208374,
474.019989,683.7756348,
475.0700073,761.8825684,
475.9700012,816.1661377,
477.0100098,871.2004395,
478.0499878,900.0251465,
478.9500122,910.8884888,
480,903.7484741,
481.0400085,881.6455688,
481.9400024,852.9642944,
482.980011,809.6809082,
484.019989,758.3613892,
485.0700073,715.9346924,
485.9700012,676.3748169,
487.0100098,625.5546875,
488.0499878,578.6746826,
488.9500122,536.59021,
490,496.394104,
491.0400085,455.910553,
491.9400024,429.4695129,
492.980011,398.1204529,
494.019989,372.0829468,
495.0700073,352.4877625,
495.9700012,338.5687561,
497.0100098,330.436676,
498.0499878,324.9222717,
498.9500122,325.2029724,
500,330.9421387,
501.0400085,339.0958862,
501.9400024,350.5587769,
502.980011,365.4233704,
504.019989,380.2821045,
505.0700073,396.5697327,
505.9700012,410.560791,
507.0100098,423.3781128,
508.0499878,435.0084229,
508.9500122,439.324646,
510,443.2753296,
511.0400085,442.5322266,
511.9400024,438.8501587,
512.9799805,430.4147644,
514.0200195,419.6833801,
515.0700073,403.5535278,
515.9699707,390.2230835,
517.0100098,373.914032,
518.0499878,353.6584473,
518.9500122,336.4277649,
520,314.8518982,
521.0200195,295.4564514,
522.0499878,277.493927,
522.9400024,263.2299194,
523.9699707,248.690506,
525,233.5182037,
526.0200195,219.8974304,
527.0499878,207.7469025,
527.9400024,199.4231567,
528.9699707,190.2784729,
530,182.732605,
531.039978,176.3165894,
531.9400024,170.5489197,
532.9799805,165.6432037,
534.0200195,160.0027771,
535.0700073,156.4639893,
535.9699707,152.6360016,
537.0100098,148.9687958,
538.0499878,145.7816315,
538.9500122,143.0489044,
540,140.0745087,
541.0200195,137.6416473,
542.0499878,135.4881287,
542.9400024,133.1657867,
543.9699707,130.901886,
545,128.0462952,
546.0200195,124.7302551,
547.0499878,121.7973633,
547.9400024,119.6407394,
548.9699707,115.7804565,
550,111.7107086,
551.0200195,107.8276672,
552.0499878,103.4055099,
552.9400024,99.48469543,
553.9699707,95.23857117,
555,90.81210327,
556.0200195,87.09339905,
557.0499878,82.90538025,
557.9400024,78.68650818,
558.9699707,74.60908508,
560,70.03231049,
561.0200195,67.07048035,
562.0499878,63.53042984,
562.9400024,60.64125824,
563.9699707,57.70758057,
565,54.84528732,
566.0200195,52.4276886,
567.0499878,49.80569839,
567.9400024,48.29102707,
568.9699707,46.25132751,
570,44.50238419,
571.0100098,42.80383301,
572.0200195,41.13934326,
573.039978,39.74883652,
574.0499878,38.30316544,
575.0700073,37.09302521,
575.9400024,36.14184189,
576.9500122,34.80588913,
577.9699707,33.77096558,
578.9799805,32.40147018,
580,31.37965965,
581.0200195,30.23444557,
582.0499878,29.20504379,
582.9400024,28.39422798,
583.9699707,27.38903236,
585,26.46158409,
586.0200195,25.36686325,
587.0499878,24.39284515,
587.9400024,23.49868965,
588.9699707,22.71093941,
590,21.81996346,
591.0100098,20.84432793,
592.0200195,19.95999718,
593.039978,19.11290169,
594.0499878,18.29371834,
595.0700073,17.46564293,
595.9400024,16.84153557,
596.9500122,16.07084846,
597.9699707,15.45694447,
598.9799805,14.69151878,
600,14.04909706,
601.0100098,13.41351318,
602.0200195,12.71065903,
603.039978,12.13750172,
604.0499878,11.53469658,
605.0700073,11.08158779,
605.9400024,10.59086227,
606.9500122,10.11710644,
607.9699707,9.660925865,
608.9799805,9.153740883,
610,8.797480583,
611.0100098,8.376599312,
612.0200195,8.071146011,
613.039978,7.812391281,
614.0499878,7.471200466,
615.0700073,7.105121136,
615.9400024,6.796191216,
616.9500122,6.642222404,
617.9699707,6.372461796,
618.9799805,6.121840954,
620,5.873100281,
621.0100098,5.621124268,
622.0200195,5.419095039,
623.039978,5.219666481,
624.0499878,5.025754452,
625.0700073,4.818422794,
625.9400024,4.65419054,
626.9500122,4.510314465,
627.9699707,4.282663345,
628.9799805,4.155439854,
630,3.949719429,
631,3.79436636,
632,3.619986773,
633,3.526094437,
634,3.366180658,
635,3.195687056,
636,3.095026255,
637,2.920129061,
638,2.80105114,
639,2.633347034,
640,2.553983927,
641.0100098,2.463042974,
642.0200195,2.357435465,
643.039978,2.249067068,
644.0499878,2.153316021,
645.0700073,2.077982187,
645.9400024,1.980713367,
646.9500122,1.86994493,
647.9699707,1.779148817,
648.9799805,1.719688177,
650,1.651553512,
651,1.565553308,
652,1.492636919,
653,1.460179567,
654,1.408506632,
655,1.31750381,
656,1.250286579,
657,1.228031039,
658,1.156975865,
659,1.115167022,
660,1.078319788,
661,0.9803574085,
662,0.9888218641,
663,0.9563814998,
664,0.9148577452,
665,0.8828203678,
666,0.8380031586,
667,0.8351277709,
668,0.7850069404,
669,0.7154278159,
670,0.7521070838,
