Sample 10,,
Wavelength (nm),Intensity (a.u.),
430,0.4374889433,
431.0400085,0.1867596805,
431.9400024,0.1730536371,
432.980011,0.1351568848,
434.019989,0.1330365539,
435.0700073,0.1131591126,
435.9700012,0.132715717,
437.0100098,0.1000493765,
438.0499878,0.140055567,
438.9500122,0.09170165658,
440,0.1034580842,
441.0599976,0.1524395198,
441.9599915,0.105829902,
443.0299988,0.1393617243,
443.9299927,0.1405876577,
445,0.1359944046,
446.0599976,0.1899192184,
446.9599915,0.1997092813,
448.0299988,0.2390902787,
448.9299927,0.2277836651,
450,0.2298616618,
451.0599976,0.2391662598,
451.9599915,0.2464365363,
453.0299988,0.2232271284,
453.9299927,0.1783938706,
455,0.1476470083,
456.0599976,0.1190881804,
456.9599915,0.09404335916,
458.0299988,0.09186201543,
458.9299927,0.08757589757,
460,0.1222639233,
461.0400085,0.0952077657,
461.9400024,0.09023234993,
462.980011,0.104892239,
464.019989,0.05881718546,
465.0700073,0.1011548489,
465.9700012,0.08815836906,
467.0100098,0.091866225,
468.0499878,0.09032141417,
468.9500122,0.09919270128,
470,0.07995419949,
471.0400085,0.1032681093,
471.9400024,0.1199196205,
472.980011,0.09375070781,
474.019989,0.1491052061,
475.0700073,0.1845102012,
475.9700012,0.1987656951,
477.0100098,0.2800903916,
478.0499878,0.3506438732,
478.9500122,0.3553976119,
480,0.454120934,
481.0400085,0.4674810767,
481.9400024,0.5105193257,
482.980011,0.4418727756,
484.019989,0.3683433533,
485.0700073,0.3003391027,
485.9700012,0.2694236338,
487.0100098,0.2243019789,
488.0499878,0.1469949335,
488.9500122,0.1635167897,
490,0.09765720367,
491.0400085,0.1198054627,
491.9400024,0.07880738378,
492.980011,0.07746258378,
494.019989,0.07088473439,
495.0700073,0.08428559452,
495.9700012,0.1068189293,
497.0100098,0.0490590483,
498.0499878,0.07561486214,
498.9500122,0.04911382496,
500,0.04580087587,
501.0400085,0.08147329837,
501.9400024,0.1006902158,
502.980011,0.06852511317,
504.019989,0.08490877599,
505.0700073,0.0761032477,
505.9700012,0.07512927055,
507.0100098,0.07210797817,
508.0499878,0.0784503445,
508.9500122,0.05850386247,
510,0.07788237929,
511.0400085,0.04922535643,
511.9400024,0.07171706855,
512.9799805,0.0643633604,
514.0200195,0.05323732644,
515.0700073,0.09348656982,
515.9699707,0.09432704002,
517.0100098,0.06432088464,
518.0499878,0.02984668687,
518.9500122,0.04225553572,
520,0.0611811839,
521.0200195,0.05506518483,
522.0499878,0.0257810019,
522.9400024,0.0452782847,
523.9699707,0.08711448312,
525,0.06177034229,
526.0200195,0.05227084085,
527.0499878,0.07172384858,
527.9400024,0.0878803283,
528.9699707,0.08183547109,
530,0.06308184564,
531.039978,0.03239139169,
531.9400024,0.04895689338,
532.9799805,0.06099606678,
534.0200195,0.05240454897,
535.0700073,0.03865693137,
535.9699707,0.01936889812,
537.0100098,0.06780448556,
538.0499878,0.01947565004,
