Sample 2,,
Wavelength (nm),Intensity (a.u.),
430,0.7205911279,
431.0400085,0.7045641541,
431.9400024,0.7328460813,
432.980011,0.8224654198,
434.019989,0.8776857853,
435.0700073,0.8967635632,
435.9700012,0.956857264,
437.0100098,0.9774013758,
438.0499878,0.9926347733,
438.9500122,1.019319057,
440,1.052334905,
441.0599976,1.114204645,
441.9599915,1.195701838,
443.0299988,1.227797508,
443.9299927,1.254983783,
445,1.327961922,
446.0599976,1.418548584,
446.9599915,1.46108377,
448.0299988,1.614396811,
448.9299927,1.646067262,
450,1.704130888,
451.0599976,1.790169954,
451.9599915,1.87527895,
453.0299988,1.90803206,
453.9299927,1.997272491,
455,2.049206257,
456.0599976,2.12153244,
456.9599915,2.198781013,
458.0299988,2.346946478,
458.9299927,2.380359173,
460,2.502369165,
461.0400085,2.546859264,
461.9400024,2.606126785,
462.980011,2.699582577,
464.019989,2.773141146,
465.0700073,2.864210129,
465.9700012,2.887690306,
467.0100098,2.9457829,
468.0499878,3.005659103,
468.9500122,3.042787075,
470,3.165294409,
471.0400085,3.164905071,
471.9400024,3.282361031,
472.980011,3.31831193,
474.019989,3.324881077,
475.0700073,3.451294899,
475.9700012,3.47056675,
477.0100098,3.616167784,
478.0499878,3.725684643,
478.9500122,3.829969645,
480,3.817079544,
481.0400085,3.855086327,
481.9400024,3.95232296,
482.980011,3.965952396,
484.019989,3.95102334,
485.0700073,3.87329936,
485.9700012,3.774408579,
487.0100098,3.767492771,
488.0499878,3.68010211,
488.9500122,3.670054436,
490,3.682672262,
491.0400085,3.701855898,
491.9400024,3.679919481,
492.980011,3.668173552,
494.019989,3.713417768,
495.0700073,3.690559149,
495.9700012,3.669951677,
497.0100098,3.637526751,
498.0499878,3.660095453,
498.9500122,3.603566408,
500,3.621849298,
501.0400085,3.585567236,
501.9400024,3.655025005,
502.980011,3.592478752,
504.019989,3.537004232,
505.0700073,3.568127394,
505.9700012,3.53331542,
507.0100098,3.502179384,
508.0499878,3.462487221,
508.9500122,3.440312147,
510,3.403902531,
511.0400085,3.412257195,
511.9400024,3.376807451,
512.9799805,3.358587503,
514.0200195,3.305009842,
515.0700073,3.309584379,
515.9699707,3.253536701,
517.0100098,3.247266054,
518.0499878,3.201010227,
518.9500122,3.161015034,
520,3.139710903,
521.0200195,3.093453169,
522.0499878,3.089990139,
522.9400024,3.068205595,
523.9699707,3.012499332,
525,2.97519803,
526.0200195,2.925503254,
527.0499878,2.911031961,
527.9400024,2.897413969,
528.9699707,2.867548466,
530,2.84798336,
531.039978,2.791625023,
531.9400024,2.736970425,
532.9799805,2.726783037,
534.0200195,2.665076971,
535.0700073,2.648469448,
535.9699707,2.664687157,
537.0100098,2.599889994,
538.0499878,2.57166338,
538.9500122,2.517084122,
540,2.516999483,
541.0200195,2.490802288,
542.0499878,2.438218355,
542.9400024,2.353806734,
543.9699707,2.360152483,
545,2.338593245,
546.0200195,2.289610624,
547.0499878,2.231332302,
547.9400024,2.20132947,
548.9699707,2.19865799,
550,2.127084732,
551.0200195,2.123385668,
552.0499878,2.056001902,
552.9400024,2.103647232,
553.9699707,1.992280364,
555,1.992342472,
556.0200195,1.95590663,
557.0499878,1.924936295,
557.9400024,1.89670825,
558.9699707,1.86549592,
560,1.811841011,
561.0200195,1.856065392,
562.0499878,1.780982852,
562.9400024,1.771052122,
563.9699707,1.722644687,
565,1.713045597,
566.0200195,1.694562554,
567.0499878,1.648157001,
567.9400024,1.610440254,
568.9699707,1.589866757,
570,1.582009673,
571.0100098,1.560079336,
572.0200195,1.514308333,
573.039978,1.48354876,
574.0499878,1.460811257,
575.0700073,1.402318239,
575.9400024,1.405346036,
576.9500122,1.35500598,
577.9699707,1.351557374,
578.9799805,1.314511299,
580,1.337871909,
581.0200195,1.318410039,
582.0499878,1.244578481,
582.9400024,1.206809163,
583.9699707,1.211675167,
585,1.189188361,
586.0200195,1.169968009,
587.0499878,1.1242522,
587.9400024,1.11928153,
588.9699707,1.097112417,
590,1.08996284,
591.0100098,1.063077331,
592.0200195,1.064918995,
593.039978,1.024116158,
594.0499878,0.9777912498,
595.0700073,0.9788116217,
595.9400024,0.9581453204,
596.9500122,0.9332507849,
597.9699707,0.9106413126,
598.9799805,0.9060953856,
600,0.8941757083,
601.0100098,0.8677772284,
