Sample 2,,
Wavelength (nm),Intensity (a.u.),
410,0.5175662041,
411.0599976,0.3406156898,
411.9599915,0.2900153697,
413.0299988,0.2844634354,
413.9299927,0.3456619382,
415,0.2814760804,
416.0599976,0.3494109809,
416.9599915,0.3721675873,
418.0299988,0.3844089508,
418.9299927,0.3276229799,
420,0.4114642441,
421.0599976,0.4318441749,
421.9599915,0.5389764905,
423.0299988,0.5211419463,
423.9299927,0.6950143576,
425,0.7407138348,
426.0599976,0.8288377523,
426.9599915,0.8992934227,
428.0299988,1.089111924,
428.9299927,1.315057397,
430,1.382159948,
431.0400085,1.664828897,
431.9400024,1.90389967,
432.980011,2.312286377,
434.019989,2.533813477,
435.0700073,2.889296532,
435.9700012,3.12275815,
437.0100098,3.403982878,
438.0499878,3.621067047,
438.9500122,3.740065575,
440,3.919348955,
441.0599976,4.233085632,
441.9599915,4.547254562,
443.0299988,4.982924938,
443.9299927,5.490719795,
445,6.381565571,
446.0599976,7.702628613,
446.9599915,8.830084801,
448.0299988,10.88412189,
448.9299927,13.52946281,
450,17.22762299,
451.0599976,21.80410576,
451.9599915,26.22245407,
453.0299988,34.13004303,
453.9299927,42.20661545,
455,55.27928543,
456.0599976,67.97393799,
456.9599915,82.43296814,
458.0299988,105.3419113,
458.9299927,129.6099396,
460,168.1992798,
461.0400085,203.3395844,
461.9400024,239.137146,
462.980011,291.7835693,
464.019989,351.3670654,
465.0700073,415.8775635,
465.9700012,461.9858093,
467.0100098,512.0146484,
468.0499878,550.961853,
468.9500122,566.170105,
470,573.2315063,
471.0400085,568.9966431,
471.9400024,551.6277466,
472.980011,523.0344238,
474.019989,494.1271973,
475.0700073,462.9128723,
475.9700012,434.2747192,
477.0100098,401.2157288,
478.0499878,370.1296692,
478.9500122,341.9394531,
480,314.8311157,
481.0400085,288.5842896,
481.9400024,271.2013855,
482.980011,247.4450684,
484.019989,226.5901184,
485.0700073,214.0592804,
485.9700012,203.7727661,
487.0100098,197.0871735,
488.0499878,192.8553009,
488.9500122,194.4444427,
490,197.1352997,
491.0400085,205.1526337,
491.9400024,212.822403,
492.980011,222.8235321,
494.019989,234.2832489,
495.0700073,248.5787354,
