Sample 12,,
Wavelength (nm),Intensity (a.u.),
410,0.3450237811,
411.0599976,0.2035813332,
411.9599915,0.1518024355,
413.0299988,0.1675337106,
413.9299927,0.1751389503,
415,0.1936300099,
416.0599976,0.2192176878,
416.9599915,0.2535395324,
418.0299988,0.2571232617,
418.9299927,0.2901773453,
420,0.3020867407,
421.0599976,0.2904414833,
421.9599915,0.2920098305,
423.0299988,0.2993977368,
423.9299927,0.287827909,
425,0.339944154,
426.0599976,0.3240341842,
426.9599915,0.335054934,
428.0299988,0.3513529897,
428.9299927,0.357526958,
430,0.422906518,
431.0400085,0.4630069137,
431.9400024,0.4896588624,
432.980011,0.5706472993,
434.019989,0.7088968754,
435.0700073,0.8141192794,
435.9700012,0.9624922276,
437.0100098,1.065928102,
438.0499878,1.167637944,
438.9500122,1.223479152,
440,1.353183985,
441.0599976,1.40177393,
441.9599915,1.44923234,
443.0299988,1.542143941,
443.9299927,1.59087956,
445,1.669987798,
446.0599976,1.820506215,
446.9599915,2.006399155,
448.0299988,2.320111275,
448.9299927,2.696482182,
450,3.170634031,
451.0599976,3.811183929,
451.9599915,4.555090427,
453.0299988,5.712796211,
453.9299927,7.105732918,
455,8.914870262,
456.0599976,10.91046333,
456.9599915,13.17641163,
458.0299988,16.42162514,
458.9299927,20.26586151,
460,25.89109802,
461.0400085,32.03376389,
461.9400024,37.94392014,
462.980011,47.84368134,
464.019989,59.2951622,
465.0700073,73.94450378,
465.9700012,86.99319458,
467.0100098,105.0914078,
468.0499878,122.8106003,
468.9500122,137.9337006,
470,155.288681,
471.0400085,170.135498,
471.9400024,179.5459747,
472.980011,184.9483185,
474.019989,185.4240875,
475.0700073,182.538559,
475.9700012,177.0801086,
477.0100098,166.8445435,
478.0499878,156.2217865,
478.9500122,146.7793274,
480,137.0858154,
481.0400085,126.8656845,
481.9400024,118.0397339,
482.980011,107.9383469,
484.019989,98.78517914,
485.0700073,91.01293182,
485.9700012,84.76429749,
487.0100098,78.02141571,
488.0499878,72.55307007,
488.9500122,67.98307037,
490,64.82022858,
491.0400085,61.85312653,
491.9400024,60.74691391,
492.980011,60.52853012,
494.019989,61.58892059,
495.0700073,63.2168808,
495.9700012,65.48323059,
497.0100098,69.13658905,
498.0499878,72.84763336,
498.9500122,75.52082062,
500,78.92465973,
501.0400085,82.4079895,
501.9400024,84.60081482,
502.980011,86.70373535,
504.019989,87.33335114,
505.0700073,87.53627014,
505.9700012,86.39242554,
507.0100098,84.99079132,
508.0499878,82.5941391,
508.9500122,79.81506348,
510,76.23318481,
511.0400085,72.74169922,
511.9400024,69.1348114,
512.9799805,64.73904419,
514.0200195,60.62403107,
515.0700073,56.13009262,
515.9699707,52.68486786,
517.0100098,49.16404343,
518.0499878,46.34779739,
518.9500122,43.87570953,
520,41.13383102,
521.0200195,38.60217285,
522.0499878,36.64515686,
522.9400024,35.57833099,
523.9699707,34.04912949,
525,32.69775772,
526.0200195,31.727005,
527.0499878,30.48643112,
527.9400024,30.02472878,
528.9699707,29.23966408,
530,28.42963982,
531.039978,27.93473434,
531.9400024,27.44093704,
532.9799805,26.92042923,
534.0200195,26.52747154,
535.0700073,25.98039436,
535.9699707,25.43272018,
537.0100098,25.38967133,
538.0499878,24.79657173,
538.9500122,24.58056068,
540,23.76519585,
541.0200195,23.0914669,
542.0499878,22.48570251,
542.9400024,21.82938385,
543.9699707,21.21221352,
545,20.18968582,
546.0200195,19.35139656,
547.0499878,18.47436905,
547.9400024,17.84427261,
548.9699707,16.76341629,
550,15.80370426,
551.0200195,15.10462952,
552.0499878,14.30134296,
552.9400024,13.49338341,
553.9699707,12.77819157,
555,12.11835861,
