Sample 13,,
Wavelength (nm),Intensity (a.u.),
410,0.4484788477,
411.0599976,0.1609589756,
411.9599915,0.09888050705,
413.0299988,0.103213124,
413.9299927,0.1206111312,
415,0.1347483397,
416.0599976,0.176735729,
416.9599915,0.1969415098,
418.0299988,0.2508387864,
418.9299927,0.2809205353,
420,0.2559893429,
421.0599976,0.3156824112,
421.9599915,0.31631127,
423.0299988,0.293744266,
423.9299927,0.2581833899,
425,0.2553952336,
426.0599976,0.1777835786,
426.9599915,0.1845534593,
428.0299988,0.1601777375,
428.9299927,0.09574075043,
430,0.09409164637,
431.0400085,0.1167984232,
431.9400024,0.08436786383,
432.980011,0.04818892479,
434.019989,0.07734460384,
435.0700073,0.07221908867,
435.9700012,0.05013170466,
437.0100098,0.09835092723,
438.0499878,0.100374043,
438.9500122,0.07071299106,
440,0.03209542483,
441.0599976,0.05296898633,
441.9599915,0.07350713015,
443.0299988,0.06599982828,
443.9299927,0.05987333134,
445,0.05135662109,
446.0599976,0.100469619,
446.9599915,0.0995760709,
448.0299988,0.1260441244,
448.9299927,0.1426932216,
450,0.203247577,
451.0599976,0.3069530129,
451.9599915,0.3810464144,
453.0299988,0.4527542889,
453.9299927,0.5728018284,
455,0.5821074247,
456.0599976,0.6507211328,
456.9599915,0.5964128971,
458.0299988,0.5153431892,
458.9299927,0.450955689,
460,0.3463576138,
461.0400085,0.257189095,
461.9400024,0.2211076319,
462.980011,0.1548670679,
464.019989,0.1187498719,
465.0700073,0.05695442855,
465.9700012,0.0857270509,
467.0100098,0.08561934531,
468.0499878,0.06824926287,
468.9500122,0.04245389253,
470,0.04477057979,
471.0400085,0.09467063099,
471.9400024,0.09714791179,
472.980011,0.07569945604,
474.019989,0.07937837392,
475.0700073,0.09958321601,
475.9700012,0.05503322184,
477.0100098,0.09297568351,
478.0499878,0.04498483986,
478.9500122,0.09349571913,
480,0.07450294495,
481.0400085,0.1162223816,
481.9400024,0.08102543652,
482.980011,0.06116412953,
484.019989,0.07958500087,
485.0700073,0.08685657382,
485.9700012,0.07388669997,
487.0100098,0.07011291385,
488.0499878,0.08570399135,
488.9500122,0.09564386308,
490,0.09174605459,
491.0400085,0.07570596039,
491.9400024,0.05544466525,
492.980011,0.07968231291,
494.019989,0.08195917308,
495.0700073,0.09286411852,
495.9700012,0.07663501054,
497.0100098,0.100163646,
498.0499878,0.09862290323,
498.9500122,0.08180712163,
500,0.05103030428,
501.0400085,0.106298238,
501.9400024,0.05082511157,
502.980011,0.0411982201,
504.019989,0.05279621854,
505.0700073,0.104390882,
505.9700012,0.08781905472,
507.0100098,0.05687867478,
508.0499878,0.03908619285,
508.9500122,0.06260765344,
510,0.05347330868,
511.0400085,0.06634242088,
511.9400024,0.06571549922,
512.9799805,0.05756168813,
514.0200195,0.0608375594,
515.0700073,0.07760505378,
515.9699707,0.055256892,
517.0100098,0.06335342675,
518.0499878,0.06836333871,
518.9500122,0.07315955311,
520,0.04948650673,
521.0200195,0.06212741509,
522.0499878,0.05846694112,
522.9400024,0.0414798893,
523.9699707,0.03038519807,
525,0.07110827416,
526.0200195,0.04606696218,
527.0499878,0.07875097543,
527.9400024,0.05441368371,
528.9699707,0.03413850442,
530,0.07741505653,
531.039978,0.05425912142,
531.9400024,0.06913910061,
532.9799805,0.05049288273,
534.0200195,0.0568718724,
535.0700073,0.0538197495,
535.9699707,0.02042000927,
537.0100098,0.0408006236,
538.0499878,0.0452529639,
538.9500122,0.03612283245,
540,0.02748460881,
541.0200195,0.05234254897,
542.0499878,0.04613058269,
542.9400024,0.02066353522,
543.9699707,0.04661712423,
545,0.059867125,
546.0200195,0.04057465494,
547.0499878,0.04475390166,
547.9400024,0.06559824198,
548.9699707,0.06027225778,
550,0.04171749577,
551.0200195,0.03740119562,
552.0499878,0.02015731297,
552.9400024,0.01591034792,
553.9699707,0.02145477571,
555,0.02303261869,
556.0200195,0.06382670999,
557.0499878,0.02863417752,
557.9400024,0.08268987387,
558.9699707,0.04010111466,
560,0.02560178563,
561.0200195,0.05106397346,
562.0499878,0.03248844668,
562.9400024,0.02274847031,
563.9699707,0.01709849946,
565,0.05246545002,
566.0200195,0.02138851397,
567.0499878,0.009921970777,
567.9400024,0.01835053973,
568.9699707,0.01274255104,
570,0.02117041312,
571.0100098,-0.007097655442,
572.0200195,0.03456564993,
573.039978,0.04447626323,
574.0499878,0.02422629111,
575.0700073,0.05144995824,
575.9400024,0.02897635289,
576.9500122,0.01577866264,
577.9699707,0.03492951393,
578.9799805,0.0338126421,
580,0.0115905581,
581.0200195,0.005797504913,
582.0499878,0.0265293438,
582.9400024,0.02352152392,
583.9699707,0.0191335436,
585,0.01159975119,
586.0200195,0.005743289366,
587.0499878,0.01740505174,
587.9400024,0.0331765376,
588.9699707,0.0174140688,
590,0.02755608037,
591.0100098,0.02597417496,
592.0200195,0.05118096247,
593.039978,0.02457958087,
594.0499878,0.03371366113,
595.0700073,-0.001440007123,
595.9400024,0.01150817517,
596.9500122,0.02287070081,
597.9699707,0.01580568776,
598.9799805,0.00588032091,
600,-0.029151503,
601.0100098,0.03998652101,
602.0200195,0.03298356384,
603.039978,0.03440633416,
604.0499878,0.02846813016,
605.0700073,0.03006808273,
605.9400024,0.02862950601,
606.9500122,0.01721597649,
607.9699707,0.01899149269,
608.9799805,0.02170927264,
610,0.02338648029,
611.0100098,0.05344814807,
612.0200195,0.005905881058,
613.039978,0.001453815959,
614.0499878,0.0144560067,
615.0700073,0.03620449454,
615.9400024,0.0508040823,
616.9500122,0.01601215824,
617.9699707,0.01303875446,
618.9799805,0.02628281899,
620,0.04854254797,
621.0100098,0.03072138131,
622.0200195,0.005839006975,
623.039978,0.00578913046,
624.0499878,0.03035862185,
625.0700073,0.004368751775,
625.9400024,0.024626581,
626.9500122,0.00732755335,
627.9699707,0.03189815953,
628.9799805,0.005848654546,
630,0.004377842881,
631,0.002913188422,
632,0.02023589239,
633,0.001455097809,
634,-0.02752438374,
635,0.03940627724,
636,-0.01023308095,
637,-0.01601008326,
638,0.0290515665,
639,-0.008759725839,
640,0.02016785368,
641.0100098,0.03639921546,
642.0200195,0.008886216208,
643.039978,-0.004421406891,
644.0499878,0.02914389782,
645.0700073,0.02162835561,
645.9400024,0.02165289596,
646.9500122,-0.001442214707,
647.9699707,0.007226801477,
648.9799805,0.02740283124,
650,0,
651,0.008662145585,
652,-0.002909712959,
653,-0.01171556953,
654,0.01298555173,
655,0.001455337158,
656,0.01742795482,
657,0.007194399834,
658,-0.007327177562,
659,0.01443703473,
660,0.01437157393,
661,0.01739075035,
662,-0.005797378719,
663,0.01458429731,
664,0.005760128144,
665,-0.0316346027,
666,0.01004911121,
667,0.01886384562,
668,0.01607233286,
669,0.02330975048,
670,0.008683683351,
670.9799805,0.0201121103,
671.9699707,0.02311340347,
672.9500122,0.02720231377,
673.9400024,0.03445300832,
675.0700073,0.005770023912,
676.0499878,0.008562535979,
677.039978,0.005746523384,
678.0200195,0.01720977947,
679.0100098,0.007176267914,
680,0.01009476092,
681,0.002881873399,
682,0.01878143102,
683,0.002876505954,
684,0.008626403287,
685,0.007145317271,
686,0.002862909576,
687,0.008570045233,
688,0.03593249992,
689,-0.01863139495,
690,0.01455932576,
690.9799805,0.01726941764,
691.9699707,0.004293965176,
692.9500122,0.01152010635,
693.9400024,0.008571489714,
695.0700073,0.01137849037,
696.0499878,-0.005696025677,
697.039978,-0.001462125103,
698.0200195,0.005806172267,
699.0100098,0.01009679865,
700,0.03013859503,
700.9799805,0,
701.9699707,0.03404549882,
702.9500122,0.001439140877,
703.9400024,0.005716556218,
705.0700073,0,
706.0499878,0.01008187886,
707.039978,0.007237157319,
708.0200195,0.05048312247,
709.0100098,0.02598512545,
710,0.001438809559,
710.9799805,-0.004384900909,
711.9699707,0,
712.9500122,0.01445995737,
713.9400024,0.002885877853,
715.0700073,0.00863082055,
716.0499878,-0.01894140802,
717.039978,0.002870688448,
718.0200195,0,
719.0100098,0.02327902615,
720,0.007174805272,
720.9699707,0.02592897788,
721.9400024,0.002939011203,
723.0499878,0.01888741553,
724.0200195,0.02598966472,
725,0.03296772763,
725.9699707,0.01017619297,
726.9400024,-0.001449124189,
728.0499878,0.02588155493,
729.0200195,0.03618505597,
730,0.001428889809,
730.9799805,0.04004319012,
731.9699707,0.02183819376,
732.9500122,0.03042296693,
733.9400024,0.02160710841,
735.0700073,-0.001449670293,
736.0499878,0.0101177264,
737.039978,0.01589117758,
738.0200195,0.02439094335,
739.0100098,0.01005199738,
740,-0.00865833275,
740.9500122,0.01159717795,
742.0499878,0.01017180178,
743.0100098,0.04167427123,
743.9699707,0.02447116934,
745.0599976,0.02589417621,
746.0200195,0.01584199443,
746.9799805,0.03001861088,
747.9400024,0.010108741,
749.039978,-0.004324736074,
750,0.0100943828,

Sample 13,
Sample 13
Collection Time: 22/08/2023 12:30:17 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        410.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               400.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 22/08/2023 11:38:10 AM
Method Modifications:
Overlayed Graphs Changed: 22/08/2023 11:47:15 AM, Old:OFF, New:ON
Scan Control Changed: 22/08/2023 11:47:15 AM, Old:Medium, New:Slow
Ave. time (s): Changed: 22/08/2023 11:47:15 AM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 22/08/2023 11:47:15 AM, Old: 600.00, New: 750.00
Excitation Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 340.00, New: 378.00
Emission Wavelength Changed: 22/08/2023 11:48:29 AM, Old: 350.00, New: 390.00
PMT Volts Changed: 22/08/2023 11:52:22 AM, Old:600, New:800
Emission PMT (V): Changed: 22/08/2023 11:52:22 AM, Old: 600, New: 800
Scan mode: Changed: 22/08/2023 11:59:48 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 22/08/2023 11:59:48 AM, Old: 450.00, New: 483.00
User Delta Increment Changed: 22/08/2023 11:59:48 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 378.00, New: 220.00
Emission Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 390.00, New: 483.00
Stop Wavelength Changed: 22/08/2023 11:59:48 AM, Old: 750.00, New: 373.00
Stop Wavelength Changed: 22/08/2023 12:02:41 PM, Old: 373.00, New: 473.00
PMT Volts Changed: 22/08/2023 12:08:26 PM, Old:800, New:600
Emission PMT (V): Changed: 22/08/2023 12:08:26 PM, Old: 800, New: 600
Scan mode: Changed: 22/08/2023 12:08:56 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 220.00, New: 325.00
Emission Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 483.00, New: 335.00
Stop Wavelength Changed: 22/08/2023 12:08:56 PM, Old: 473.00, New: 750.00
Scan mode: Changed: 22/08/2023 12:18:15 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 22/08/2023 12:18:15 PM, Old: 483.00, New: 500.00
Excitation Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 325.00, New: 220.00
Emission Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 335.00, New: 500.00
Stop Wavelength Changed: 22/08/2023 12:18:15 PM, Old: 750.00, New: 490.00
Scan mode: Changed: 22/08/2023 12:25:59 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 22/08/2023 12:25:59 PM, Old: 220.00, New: 400.00
Emission Wavelength Changed: 22/08/2023 12:25:59 PM, Old: 500.00, New: 410.00
Stop Wavelength Changed: 22/08/2023 12:25:59 PM, Old: 490.00, New: 750.00
End Method Modifications

