Sample 7,,
Wavelength (nm),Intensity (a.u.),
510,0.2060967088,
511.0400085,0.1458071321,
511.9400024,0.1024008319,
512.9799805,0.02753430232,
514.0200195,0.102018103,
515.0700073,0.09182483703,
515.9699707,0.166591078,
517.0100098,0.2207708657,
518.0499878,0.2220104933,
518.9500122,0.1383393705,
520,0.05570978671,
521.0200195,0.0842878148,
522.0499878,0.1322501451,
522.9400024,0.07625366002,
523.9699707,0.04700043052,
525,0.1515137106,
526.0200195,0.07563295215,
527.0499878,0.1600497067,
527.9400024,0.2309957743,
528.9699707,0.2321413606,
530,0.14891617,
531.039978,0.2135244608,
531.9400024,0.1765257865,
532.9799805,0.2028659433,
534.0200195,0.278287977,
535.0700073,0.3333950639,
535.9699707,0.3974636197,
537.0100098,0.4348630607,
538.0499878,0.4713275731,
538.9500122,0.5954943895,
540,0.5811861753,
541.0200195,0.6491037607,
542.0499878,0.9211959243,
542.9400024,1.047543883,
543.9699707,1.252348185,
545,1.460336685,
546.0200195,1.552477479,
547.0499878,1.807781696,
547.9400024,2.149717093,
548.9699707,2.45050621,
550,2.945083857,
551.0200195,3.358305454,
552.0499878,4.003157616,
552.9400024,4.808576107,
553.9699707,5.666727066,
555,6.810778618,
556.0200195,8.043341637,
557.0499878,9.648054123,
557.9400024,11.39066887,
558.9699707,14.16304207,
560,17.27276039,
561.0200195,20.30400467,
562.0499878,24.17242622,
562.9400024,27.22896385,
563.9699707,32.90006256,
565,38.2815361,
566.0200195,43.85446548,
567.0499878,50.82054901,
567.9400024,56.36097717,
568.9699707,62.748909,
570,68.76113129,
571.0100098,74.20188904,
572.0200195,79.54841614,
573.039978,83.76113892,
574.0499878,85.92092896,
575.0700073,87.33737183,
575.9400024,86.96713257,
576.9500122,85.75048828,
577.9699707,83.41993713,
578.9799805,80.43479919,
580,77.35573578,
581.0200195,73.44491577,
582.0499878,69.41992188,
582.9400024,67.03022766,
583.9699707,63.22702026,
585,61.26993179,
586.0200195,58.02973938,
587.0499878,55.62185287,
587.9400024,54.26173782,
588.9699707,52.88922501,
590,51.42783737,
591.0100098,50.25516891,
592.0200195,49.03725433,
593.039978,48.45441437,
594.0499878,47.48200226,
595.0700073,46.06596375,
595.9400024,45.40458298,
596.9500122,44.56496429,
597.9699707,43.70793152,
598.9799805,43.07172012,
600,42.18455887,
601.0100098,41.20886993,
602.0200195,39.20119476,
603.039978,38.10824585,
604.0499878,36.80701828,
605.0700073,35.86565399,
605.9400024,34.60902405,
606.9500122,33.76675034,
607.9699707,32.58838654,
608.9799805,31.44913483,
610,30.68552208,
611.0100098,30.54705048,
612.0200195,29.67313576,
613.039978,28.66371346,
614.0499878,28.375494,
615.0700073,28.50845718,
615.9400024,27.59223747,
616.9500122,26.79924393,
617.9699707,26.2715683,
618.9799805,26.39270592,
620,25.57741165,
621.0100098,25.37378883,
622.0200195,24.53238678,
623.039978,23.87524223,
624.0499878,23.14200974,
625.0700073,22.63651085,
625.9400024,21.69599342,
626.9500122,20.55932999,
627.9699707,20.07934952,
628.9799805,19.11771774,
630,18.14359474,
631,16.98378754,
632,16.61353302,
633,15.67439365,
634,14.8088007,
635,14.30606747,
636,13.34379864,
637,12.34895706,
638,12.11103344,
639,11.48849297,
640,10.80883503,
641.0100098,10.45377636,
642.0200195,9.953057289,
643.039978,9.522091866,
644.0499878,9.327488899,
645.0700073,9.112325668,
645.9400024,8.798197746,
646.9500122,8.150854111,
647.9699707,7.886212349,
648.9799805,7.772284985,
650,7.317903519,
651,6.766450882,
652,6.713646889,
653,6.275654793,
654,6.419757843,
655,5.73556757,
656,5.555659771,
657,5.232903004,
658,4.945561409,
659,4.790252209,
660,4.585678101,
661,4.561514854,
662,4.119755268,
663,4.012533665,
664,3.975951195,
665,3.731690645,
666,3.587913275,
667,3.387647629,
668,3.376562119,
669,3.21780777,
670,3.033442497,
670.9799805,2.771540642,
671.9699707,2.842561483,
672.9500122,2.525111437,
673.9400024,2.672458649,
675.0700073,2.546944618,
676.0499878,2.423604727,
677.039978,2.379823685,
678.0200195,2.271802187,
679.0100098,2.180422783,
680,2.035857439,
681,2.023836374,
682,1.807917953,
683,1.744126439,
684,1.728224754,
685,1.633300662,
686,1.766834259,
687,1.520555735,
688,1.496035933,
689,1.339083672,
690,1.435204744,
690.9799805,1.205690861,
691.9699707,1.235422969,
692.9500122,1.271449804,
693.9400024,1.178271651,
695.0700073,0.9604373574,
696.0499878,1.080721617,
697.039978,0.9219818711,
698.0200195,0.8780779243,
699.0100098,0.8978527188,
700,0.7544038296,
700.9799805,0.8879666328,
701.9699707,0.7665524483,
702.9500122,0.8589478135,
703.9400024,0.7265546322,
705.0700073,0.6987664104,
706.0499878,0.642223835,
707.039978,0.6835333705,
708.0200195,0.6907603741,
709.0100098,0.5018447638,
710,0.5593866706,
710.9799805,0.533927381,
711.9699707,0.5932091475,
