Sample 8,,
Wavelength (nm),Intensity (a.u.),
510,0.06405798346,
511.0400085,0.0828050673,
511.9400024,0.1356152892,
512.9799805,0.1091564074,
514.0200195,0.009081002325,
515.0700073,0.02744638734,
515.9699707,0.05602711812,
517.0100098,0.06630608439,
518.0499878,0.1225871518,
518.9500122,0.130644545,
520,-0.01847131364,
521.0200195,0.04650427401,
522.0499878,0,
522.9400024,0.03719615564,
523.9699707,0.1856906712,
525,0,
526.0200195,0.0841223672,
527.0499878,0.1121013388,
527.9400024,0.04619278759,
528.9699707,0.00929627195,
530,0.0854838863,
531.039978,0.04710493237,
531.9400024,0.05559467897,
532.9799805,0.07630238682,
534.0200195,0.02795951441,
535.0700073,0.07396654785,
535.9699707,-0.01853946224,
537.0100098,0.1014938056,
538.0499878,0.1307433695,
538.9500122,0.1117734686,
540,0.1028460339,
541.0200195,0.06505516171,
542.0499878,0.05637084693,
542.9400024,0.1677524,
543.9699707,0.01871660165,
545,0.01864801906,
546.0200195,0.129633233,
547.0499878,0.1022894233,
547.9400024,0.06659689546,
548.9699707,0.07584088296,
550,0.1100664958,
551.0200195,0.08404930681,
552.0499878,-0.04697923735,
552.9400024,0.03749742359,
553.9699707,0.0928703472,
555,0.1010054648,
556.0200195,0.009149298072,
557.0499878,0.04582363367,
557.9400024,-0.04575360939,
558.9699707,0.09270504117,
560,0,
561.0200195,-0.04647919908,
562.0499878,0.03716953844,
562.9400024,0.0560648106,
563.9699707,0.05617556721,
565,0.08308868855,
566.0200195,0.06528328359,
567.0499878,0.08360505104,
567.9400024,-0.02739150636,
568.9699707,0.08289277554,
570,0.02791632526,
571.0100098,0.05497828498,
572.0200195,0.1186380312,
573.039978,-0.02767655253,
574.0499878,0.1113730446,
575.0700073,0,
575.9400024,-0.04578712583,
576.9500122,0.08431781828,
577.9699707,-0.01860742085,
578.9799805,0.05526744947,
580,0.0839920491,
581.0200195,0.08346548676,
582.0499878,0.1576570421,
582.9400024,0.09264492244,
583.9699707,0.0824341923,
585,0.1189713553,
586.0200195,0.1102829725,
587.0499878,0.1021052226,
587.9400024,0.1955398321,
588.9699707,0.09245733172,
590,0.04599858075,
591.0100098,0.1699877232,
592.0200195,0.1294534355,
593.039978,0.05615348741,
594.0499878,0.01836817153,
595.0700073,0.04621584713,
595.9400024,0.03709095344,
596.9500122,0.09202595055,
597.9699707,-0.02769443765,
598.9799805,0.01840857789,
600,0.07479850948,
601.0100098,-0.04642525688,
602.0200195,0.009327749722,
603.039978,-0.02800022438,
604.0499878,0.03662467003,
605.0700073,0.0928048417,
605.9400024,0.0184102729,
606.9500122,0.01856992953,
607.9699707,0.02741253003,
608.9799805,0.04642223939,
610,0.07504619658,
611.0100098,0.01867518201,
612.0200195,0.03714158386,
613.039978,-0.00931784045,
614.0499878,0.1185385138,
615.0700073,0.08356235921,
615.9400024,-0.009181471542,
616.9500122,0.07353819907,
617.9699707,0.03730230033,
618.9799805,0,
620,0.04570049793,
621.0100098,0,
622.0200195,0.07316761464,
623.039978,0.01883487403,
624.0499878,0.009300248697,
625.0700073,0.07352671027,
625.9400024,0.009080096148,
626.9500122,0.1125893667,
627.9699707,0.02788596414,
628.9799805,0.09311506897,
630,-0.05618924648,
631,-0.009376464412,
632,-0.009323921986,
633,-0.03676065058,
634,-0.07490496337,
635,0,
636,0.04621456563,
637,0.009341865778,
638,0.0369474031,
639,0.009354362264,
640,-0.009211920202,
641.0100098,0.04620815814,
642.0200195,-0.03701681644,
643.039978,0.01910365559,
644.0499878,-0.03696686774,
645.0700073,0.07405418903,
645.9400024,0.04667967185,
646.9500122,-0.08548144996,
647.9699707,0.02784145251,
648.9799805,0.09514838457,
650,0.01873238012,
651,0,
652,-0.02834681422,
653,0.09508957714,
654,-0.0189288184,
655,0,
656,0.009579461068,
657,0.028261628,
658,0.01886632293,
659,0.009669870138,
660,0.03850893304,
661,-0.06606702507,
662,-0.009762669913,
663,0.03030364402,
664,-0.02860793844,
665,-0.05683109537,
666,0.06682386249,
667,-0.07515547425,
668,-0.06734330952,
669,-0.01905814745,
670,0.07554867119,
670.9799805,0,
671.9699707,0.01920546964,
672.9500122,-0.03841388971,
673.9400024,0.1173869669,
675.0700073,0.1226901188,
676.0499878,0.03817777708,
677.039978,0.0380948782,
678.0200195,0.04043058679,
679.0100098,0.03853267431,
680,0.06772773713,
681,-0.04745949432,
682,-0.009499653243,
683,-0.05721532926,
684,-0.1056940258,
685,0,
686,-0.02777906321,
687,-0.009458053857,
688,0,
689,-0.009434407577,
690,0.009688889608,
690.9799805,0.009561966173,
691.9699707,-0.02907343023,
692.9500122,0.02839699015,
693.9400024,-0.0477860719,
695.0700073,-0.03795282543,
696.0499878,0.02750375867,
697.039978,0.0276683867,
698.0200195,0.009427736513,
699.0100098,0.0381119363,
700,0.05646102503,
700.9799805,-0.04686298966,
701.9699707,-0.0559033975,
702.9500122,0.02812886797,
703.9400024,0.02835270762,
705.0700073,-0.028042363,
706.0499878,-0.03808399662,
707.039978,0.05534749106,
708.0200195,0.01966143027,
709.0100098,0.07130561024,
710,0,
710.9799805,0.02769341506,
711.9699707,-0.1403466612,
712.9500122,-0.05634384975,
713.9400024,-0.01899695955,
715.0700073,-0.05585968122,
716.0499878,0.08422077447,
717.039978,0.009377960116,
718.0200195,-0.01903601736,
719.0100098,0.07530049235,
720,0.009406364523,
720.9699707,-0.05592058972,
721.9400024,0,
723.0499878,-0.03701338917,
724.0200195,0.04711558297,
725,0.02825949714,
725.9699707,0,
726.9400024,0,
728.0499878,0.03756080195,
729.0200195,0.01853258908,
730,0.03745809197,
730.9799805,-0.009276007302,
731.9699707,-0.03819563612,
732.9500122,0,
733.9400024,0.03933833167,
735.0700073,-0.0282448642,
736.0499878,0.01858597808,
737.039978,0.009314542636,
738.0200195,0.03825188801,
739.0100098,-0.06670923531,
740,-0.009430225939,
740.9500122,0,
742.0499878,0.01890841685,
743.0100098,0,
743.9699707,-0.0196103435,
745.0599976,-0.03696721047,
746.0200195,0.03781040013,
746.9799805,0.0190585088,
747.9400024,0.1405415535,
749.039978,-0.07534375787,
750,0.01867867075,
750.9699707,-0.0501017049,
751.9400024,0.0562899299,
753.0499878,-0.02922466956,
754.0200195,0.05783578753,
755,-0.03747809678,
755.9699707,0.02906216495,
