Sample 51,,
Wavelength (nm),Intensity (a.u.),
521.9099731,0.2969917655,
522.9400024,0.234677881,
523.9699707,0.3199939728,
524.8499756,0.261408627,
525.8800049,0.2130122781,
526.9099731,0.2081736624,
527.9400024,0.2639890611,
528.9699707,0.1715167761,
529.8499756,0.2936468124,
530.8900146,0.2673082054,
531.9400024,0.2186623663,
532.8300171,0.2768998742,
533.8800049,0.1998800784,
534.9199829,0.2363976836,
535.9699707,0.150210768,
536.8599854,0.2975609303,
537.9099731,0.3186623752,
538.9500122,0.3353110552,
539.8499756,0.2926543951,
540.8800049,0.3916266561,
541.9099731,0.5321731567,
542.9400024,0.5868433714,
543.9699707,0.5181059241,
544.8499756,0.5402132869,
545.8800049,0.6520362496,
546.9099731,0.870346427,
547.9400024,0.9108237624,
548.9699707,1.070774436,
549.8499756,1.296115398,
550.8800049,1.416174769,
551.9099731,1.796345234,
552.9400024,2.046869516,
553.9699707,2.366361856,
554.8499756,2.845259428,
555.8800049,3.305414677,
556.9099731,3.866482496,
557.9400024,4.582829475,
558.9699707,5.654747486,
559.8499756,6.730165958,
560.8800049,7.843137741,
561.9099731,9.283228874,
562.9400024,11.28621292,
563.9699707,13.44027519,
564.8499756,15.94835663,
565.8800049,18.79072571,
566.9099731,21.94688797,
567.9400024,25.34126091,
568.9699707,28.97375298,
569.8499756,32.6730423,
570.8599854,36.08450699,
571.8800049,40.58914948,
572.8900146,45.0039711,
573.9099731,48.31636429,
574.9199829,51.35262299,
575.9400024,52.92689133,
576.9500122,54.85016632,
577.9699707,54.89812088,
578.8400269,55.27932739,
579.8499756,54.81038666,
580.8800049,53.0076828,
581.9099731,51.00080109,
582.9400024,49.60523224,
583.9699707,47.2623024,
584.8499756,45.24631119,
585.8800049,43.06824875,
586.9099731,41.03845215,
587.9400024,39.24769974,
588.9699707,37.24143219,
589.8499756,35.80196762,
590.8599854,34.79203796,
591.8800049,33.60646057,
592.8900146,32.48937988,
593.9099731,31.63147354,
594.9199829,31.04411697,
595.9400024,30.14878273,
596.9500122,29.62934685,
597.9699707,29.22396088,
598.8400269,28.82434082,
599.8499756,27.79343605,
600.8599854,27.64522171,
601.8800049,27.03591537,
602.8900146,26.26520157,
603.9099731,25.92485237,
604.9199829,24.85001755,
605.9400024,23.69704819,
606.9500122,23.44068527,
607.9699707,22.77203941,
608.8400269,21.87463188,
609.8499756,21.08627319,
610.8599854,20.43995857,
611.8800049,19.90588188,
612.8900146,19.51068497,
613.9099731,19.00746536,
614.9199829,18.67831421,
615.9400024,17.99390411,
616.9500122,17.72719574,
617.9699707,17.72232246,
618.8400269,17.26654053,
619.8499756,16.88208961,
620.8599854,16.37236977,
621.8800049,16.43374252,
622.8900146,16.11883736,
623.9099731,15.30563259,
624.9199829,15.05252838,
625.9400024,15.17993355,
626.9500122,13.9962883,
627.9699707,14.30203533,
628.8400269,13.66185665,
629.8499756,12.9554739,
630.8499756,12.74173737,
631.8499756,12.02529716,
632.8499756,11.6532011,
633.8499756,10.96423912,
634.8499756,10.70730114,
635.8499756,10.00667763,
636.8499756,9.455324173,
637.8499756,9.050764084,
638.8499756,8.615120888,
639.8499756,8.229640007,
640.8599854,7.790267944,
641.8800049,7.529309273,
642.8900146,7.002681732,
643.9099731,6.729962826,
644.9199829,6.502717972,
645.9400024,6.208707809,
646.9500122,5.878177166,
647.9699707,5.665695667,
648.8400269,5.295590878,
649.8499756,5.260188103,
650.8499756,5.029935837,
651.8499756,4.909021854,
652.8499756,4.638915539,
653.8499756,4.505187988,
654.8499756,4.331510067,
655.8499756,4.217378616,
656.8499756,3.852703094,
657.8499756,3.70065403,
658.8499756,3.625342369,
659.8499756,3.426120043,
660.8499756,3.347537994,
661.8499756,3.217102528,
662.8499756,3.174331665,
663.8499756,2.998558998,
664.8499756,2.786345005,
665.8499756,2.662350655,
666.8499756,2.589051962,
667.8499756,2.378031015,
668.8499756,2.275160551,
669.8499756,2.288938046,
670.8400269,2.061348915,
671.8300171,2.189505339,
672.9500122,2.025349617,
673.9400024,1.816815615,
674.9199829,1.682253718,
675.9099731,1.831484318,
676.9000244,1.650180817,
677.8800049,1.604530454,
678.8699951,1.487584472,
679.8499756,1.35817945,
680.8499756,1.600506067,
681.8499756,1.404698491,
682.8499756,1.312943459,
683.8499756,1.192628384,
684.8499756,1.309701324,
685.8499756,1.270293355,
686.8499756,1.134630084,
687.8499756,1.14498353,
688.8499756,0.954126358,
689.8499756,1.156280994,
690.8400269,0.9803174734,
691.8300171,0.8413031697,
692.9500122,0.8185433745,
693.9400024,0.7958348393,
694.9199829,0.8495365381,
695.9099731,0.6607360244,
696.9000244,0.8383587003,
697.8800049,0.5910966992,
698.8699951,0.7232722044,
699.8499756,0.5253304839,
700.8400269,0.6343795657,
701.8300171,0.6297347546,
702.9500122,0.6795530319,
703.9400024,0.5529262424,
704.9199829,0.5695239305,
705.9099731,0.4924009442,
706.9000244,0.5122708082,
707.8800049,0.5219801068,
708.8699951,0.5005099773,
709.8499756,0.4581376612,
710.8400269,0.4263503253,
711.8300171,0.4718984365,
712.9500122,0.3176056147,
713.9400024,0.4323633313,
714.9199829,0.4170734584,
715.9099731,0.3410253525,
716.9000244,0.282294482,
717.8800049,0.3309254646,
718.8699951,0.3619150817,
719.8499756,0.265750438,
720.8300171,0.2355734706,
721.9400024,0.3552841246,
722.9099731,0.2565393746,
723.8800049,0.3330922425,
724.8599854,0.3173418045,
725.8300171,0.2907631099,
726.9400024,0.1709856391,
727.9099731,0.1507357806,
728.8800049,0.2433454394,
729.8599854,0.141903013,
730.8400269,0.2254261971,
731.8300171,0.2086811364,
732.9500122,0.1427429467,
733.9400024,0.1711400896,
734.9199829,0.1528964341,
735.9099731,0.114504911,
736.9000244,0.1614342928,
737.8800049,0.189119935,
738.8699951,0.1907486916,
739.8499756,0.08786316961,
740.9500122,0.2176669985,
741.9099731,0.1907177716,
742.8699951,0.1311180741,
743.8300171,-0.03766904026,
744.9299927,0.1956928968,
745.8900146,0.1128180102,
746.8400269,0.131343171,
747.9400024,0.08401165158,
748.9000244,0.2052200586,
749.8599854,0.1398888379,
750.8300171,0.03766017407,

Sample 51,
Sample 51
Collection Time: 21/05/2023 5:09:38 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        522.00
Stop (nm)                         750.00
Ex. Wavelength (nm)               512.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
