Sample 2,,
Wavelength (nm),Intensity (a.u.),
540,1.693913221,
541.0200195,2.031424522,
542.0499878,2.468443155,
542.9400024,2.697820663,
543.9699707,3.135290146,
545,3.87778759,
546.0200195,4.538226128,
547.0499878,5.626719475,
547.9400024,6.391377449,
548.9699707,7.479536533,
550,9.27550602,
551.0200195,10.9559288,
552.0499878,13.31664848,
552.9400024,15.99236584,
553.9699707,19.33071136,
555,23.36070442,
556.0200195,28.00458145,
557.0499878,33.12205505,
557.9400024,38.97820663,
558.9699707,46.24114609,
560,54.30860901,
561.0200195,61.9909668,
562.0499878,70.85371399,
562.9400024,78.82901001,
563.9699707,88.0255661,
565,97.59868622,
566.0200195,105.5597992,
567.0499878,113.9037857,
567.9400024,119.5382843,
568.9699707,124.8304062,
570,128.1696472,
571.0100098,130.9634552,
572.0200195,131.2120819,
573.039978,131.0561066,
574.0499878,127.9936295,
575.0700073,125.7504196,
575.9400024,122.8029251,
576.9500122,118.4086075,
577.9699707,114.3756638,
578.9799805,109.148201,
580,105.0415878,
581.0200195,100.2031097,
582.0499878,95.99913025,
582.9400024,93.65634155,
583.9699707,91.27744293,
585,87.99624634,
586.0200195,85.0655899,
587.0499878,82.87738037,
587.9400024,81.25644684,
588.9699707,79.59254456,
590,78.03137207,
591.0100098,76.16501617,
592.0200195,74.46122742,
593.039978,73.21406555,
594.0499878,71.50634003,
595.0700073,69.50138855,
595.9400024,67.85128784,
596.9500122,66.21443176,
597.9699707,64.62485504,
598.9799805,63.08572006,
600,61.04058838,
601.0100098,59.06332779,
602.0200195,57.99495316,
603.039978,56.48297882,
604.0499878,54.33686066,
605.0700073,52.85453033,
605.9400024,52.03683853,
606.9500122,51.17493439,
607.9699707,50.16925049,
608.9799805,48.466259,
610,48.27449417,
611.0100098,46.77629852,
612.0200195,45.98954773,
613.039978,45.04570007,
614.0499878,44.34382248,
615.0700073,43.01511765,
615.9400024,42.55318832,
616.9500122,41.53829193,
617.9699707,40.68090057,
618.9799805,38.84820175,
620,38.12470245,
621.0100098,36.43785095,
622.0200195,35.38514328,
623.039978,34.11790848,
624.0499878,32.5542984,
625.0700073,31.35046387,
625.9400024,30.50598717,
626.9500122,29.0434494,
627.9699707,27.5606041,
628.9799805,26.27364349,
630,24.70313263,
631,23.74757385,
632,22.65420341,
633,21.58653641,
634,20.58998108,
635,19.85381699,
636,19.07923698,
637,18.26799774,
638,17.18109894,
639,16.4658432,
640,15.99202633,
641.0100098,15.55257416,
642.0200195,14.59218311,
643.039978,14.01170063,
644.0499878,13.38869762,
645.0700073,12.88620377,
645.9400024,12.37347889,
646.9500122,11.91977406,
647.9699707,11.38740444,
648.9799805,11.03960037,
650,10.44815826,
651,10.05179024,
652,9.643565178,
653,9.212976456,
654,8.937099457,
655,8.393914223,
656,8.237819672,
657,7.713720322,
658,7.449895859,
659,7.179580688,
660,6.995100975,
661,6.437081337,
662,6.359848976,
663,6.057319164,
664,5.679536819,
665,5.508274078,
666,5.351158619,
667,5.148794651,
668,4.976346493,
669,4.692239285,
670,4.463525772,
670.9799805,4.231602669,
671.9699707,4.186182499,
672.9500122,3.978908539,
673.9400024,3.809849739,
675.0700073,3.732426167,
676.0499878,3.397985458,
677.039978,3.565689802,
678.0200195,3.22560358,
679.0100098,3.099543095,
680,2.92417717,
681,2.777541161,
682,2.754852295,
683,2.566539526,
684,2.612970114,
685,2.494499207,
686,2.327464819,
687,2.174540997,
688,2.067988634,
689,2.014315128,
690,1.948960066,
690.9799805,1.82153523,
691.9699707,1.748469472,
692.9500122,1.655290127,
693.9400024,1.545136809,
695.0700073,1.570461512,
696.0499878,1.533612609,
697.039978,1.329089403,
698.0200195,1.302449346,
699.0100098,1.190240026,
700,1.178493381,
700.9799805,1.193884611,
701.9699707,1.094703078,
702.9500122,1.120219946,
703.9400024,1.011758924,
705.0700073,1.103953719,
706.0499878,0.9468682408,
707.039978,0.9537650943,
708.0200195,0.9012839198,
709.0100098,0.9279131293,
710,0.9386769533,
710.9799805,0.8978046775,
711.9699707,0.7641727924,
712.9500122,0.8311794996,
713.9400024,0.7222228646,
715.0700073,0.6692712903,
716.0499878,0.7388756275,
717.039978,0.7144153118,
718.0200195,0.7004236579,
719.0100098,0.6086287498,
720,0.5569802523,
720.9699707,0.5658476949,
721.9400024,0.5314157009,
723.0499878,0.5411810279,
724.0200195,0.4341319203,
725,0.483692646,
725.9699707,0.502292037,
726.9400024,0.4004072547,
728.0499878,0.4167341888,
729.0200195,0.475312382,
730,0.411174804,
730.9799805,0.3468268216,
731.9699707,0.3526480198,
732.9500122,0.2986994982,
733.9400024,0.3532723486,
735.0700073,0.3285491765,
736.0499878,0.3452471793,
737.039978,0.2723537385,
738.0200195,0.2949132919,
739.0100098,0.2836845815,
740,0.255317688,
740.9500122,0.2313965708,
742.0499878,0.2943340838,
743.0100098,0.2710379064,
743.9699707,0.2168170214,
745.0599976,0.1977054477,
746.0200195,0.2188675255,
746.9799805,0.2108963132,
747.9400024,0.2341796905,
749.039978,0.242540434,
750,0.1750465333,
750.9699707,0.1321603656,
751.9400024,0.1553590298,
753.0499878,0.151066184,
754.0200195,0.1401857734,
755,0.1630447507,
755.9699707,0.1350343823,
756.9400024,0.097968027,
758.0499878,0.1513431668,
759.0200195,0.1627954394,
760,0.1121347547,
760.9699707,0.1481551677,
761.9400024,0.1622445434,
763.0499878,0.1112933457,
764.0200195,0.1582269222,
765,0.1164049432,
765.9699707,0.1621759385,
766.9400024,0.08177665621,
768.0499878,0.123583205,
769.0200195,0.117187269,
770,0.09254118055,
770.9500122,0.04138583317,
772.0499878,0.09513164312,
773.0100098,0.1082140431,
773.9699707,0.09179522842,
775.0599976,0.1194878742,
776.0200195,0.08323573321,
